time	species_0000001	species_0000002	species_0000006	species_0000007	species_0000008	species_0000009	species_0000011	species_0000016	species_0000017
0.0.	0.0	4.9999999999999996e-06	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05
10.0.	4.122423374453863e-11	4.9999999999999996e-06	9.71194431291594e-10	4.111491099903874e-09	4.507336319838365e-23	5.632293403586953e-08	9.730865277679294e-13	1e-05	1e-05
20.0.	4.1224232701077336e-11	4.9999999999999996e-06	9.711944067098575e-10	8.163916617605784e-09	4.5073361896040847e-23	1.308602744828979e-07	1.918652549760324e-12	1e-05	1e-05
30.0.	4.122423168715186e-11	4.9999999999999996e-06	9.711943828227157e-10	1.210163567223999e-08	4.507336063050566e-23	2.0400278800472091e-07	2.8374537715088062e-12	1e-05	1e-05
40.0.	4.1224230715425125e-11	4.9999999999999996e-06	9.711943599296456e-10	1.587546994549923e-08	4.507335941763678e-23	2.743667478176019e-07	3.718015246226911e-12	1e-05	1e-05
50.0.	4.122422979642758e-11	4.9999999999999996e-06	9.711943382787492e-10	1.9444523018440073e-08	4.507335827057844e-23	3.4114554736333267e-07	4.550794468908615e-12	1e-05	1e-05
60.0.	4.122422893812906e-11	4.9999999999999996e-06	9.711943180578048e-10	2.2777842969917162e-08	4.5073357199279065e-23	4.037201938447332e-07	5.328569316687404e-12	1e-05	1e-05
70.0.	4.122422814585924e-11	4.9999999999999996e-06	9.711942993923897e-10	2.585473141282246e-08	4.507335621039158e-23	4.6165977186789816e-07	6.0465101579885246e-12	1e-05	1e-05
80.0.	4.122422742241004e-11	4.9999999999999996e-06	9.711942823482966e-10	2.8664345422622823e-08	4.5073355307401534e-23	5.147177062376283e-07	6.7020869697583815e-12	1e-05	1e-05
90.0.	4.1224226768302204e-11	4.9999999999999996e-06	9.711942669378082e-10	3.120466277607634e-08	4.507335449095957e-23	5.62815495967424e-07	7.294827893568312e-12	1e-05	1e-05
100.0.	4.12242261821553e-11	4.9999999999999996e-06	9.711942531284082e-10	3.3481046046853404e-08	4.5073353759343195e-23	6.060179405229649e-07	7.82598419148177e-12	1e-05	1e-05
110.0.	4.1224225661101445e-11	4.9999999999999996e-06	9.71194240852561e-10	3.550462808163331e-08	4.507335310897344e-23	6.445040312516937e-07	8.298153523871463e-12	1e-05	1e-05
