time	bound	free	lytic	translocate
0.0.	0.0	1.0	0.0	0.0
2.0.5.0	0.11327031361812001	0.8650222931045811	0.00024295893202900003	0.021464434345269002
5.0.	0.17760228437373102	0.7482635675864181	0.0017119665378890001	0.07242218150196
7.0.5.0	0.20959776729482302	0.6472646671097231	0.005107241262447	0.13803032433300602
10.0.	0.22064812951619803	0.5598983666151981	0.010737668776151002	0.208715835092451
12.0.5.0	0.21851973681629502	0.48432456900178905	0.018663067360744003	0.27849262682117104
15.0.	0.20846336121049003	0.41895154928667006	0.028790638694365003	0.34379445080847404
17.0.5.0	0.193989625133273	0.362402429872048	0.040939694983702	0.40266825001097606
20.0.	0.177410286155941	0.313486180921833	0.054884502456310005	0.45421903046591505
22.0.5.0	0.16021543634929802	0.271172535083866	0.07038210176632201	0.49822992680051204
25.0.	0.14333580530202802	0.234570288130647	0.08718987928779001	0.534904027279533
27.0.5.0	0.12732468245505002	0.202908528537662	0.10507620299794701	0.5646905860093391
30.0.	0.11248366937697701	0.17552040065017901	0.12382641591906202	0.58816951405378
32.0.5.0	0.09894923548042801	0.15182905946056002	0.143245767470394	0.605975937588616
35.0.	0.08675196960136501	0.13133552117752	0.163160366410878	0.618752142810236
37.0.5.0	0.07585685345736101	0.11360815369768801	0.18341689360062402	0.627118099244326
40.0.	0.06619038059457101	0.098273585629222	0.203881573156822	0.631654460619383
42.0.5.0	0.057658589332675	0.08500884239456201	0.22443873486840202	0.632893833404359
45.0.	0.050158847891044	0.073534543784009	0.244989186626957	0.6313174216979881
47.0.5.0	0.04358736797541601	0.06360901968791201	0.265448537478227	0.627355074858443
50.0.	0.037843819779819	0.055023220073843006	0.28574555874033103	0.621387401406006
52.0.5.0	0.032833999454800006	0.047596312003373005	0.305820634806776	0.6137490537350491
55.0.	0.028471205419797002	0.04117187095343	0.32562433139801705	0.6047325922287541
57.0.5.0	0.024676774402197003	0.035614586224365	0.34511609340841404	0.5945925459650231
60.0.	0.021380085055068002	0.030807411044482	0.36426307451327505	0.583549429387173
62.0.5.0	0.018518237691614002	0.026649097346929003	0.383039094545067	0.571793570416389
65.0.	0.016035549924779	0.023052063296740002	0.40142371706573804	0.559488669712742
67.0.5.0	0.013882960592051002	0.019940548654199003	0.419401437688356	0.5467750530653931
70.0.	0.012017401814599002	0.017249019123017	0.436960972941526	0.5337726061208571
72.0.5.0	0.010401176859727001	0.014920786075941002	0.454094639417957	0.5205833976463731
75.0.	0.009001366478506	0.012906812586632002	0.47079781332896403	0.507294007605897
77.0.5.0	0.007789276362388	0.011164680620617	0.48706846121471603	0.493977581802277
80.0.	0.006739931758081	0.00965769763245	0.502906733313436	0.48069563729603204
82.0.5.0	0.005831621021877001	0.008354123752325	0.518314611892228	0.467499643333568
85.0.	0.005045487234141	0.007226503285283001	0.5332956076375001	0.45443240184307504
87.0.5.0	0.004365165412168	0.006251086443107	0.5478544979638751	0.44152925018084804
90.0.	0.0037764619961380003	0.005407329129537001	0.5619971018099841	0.42881910706434
92.0.5.0	0.003267072891135	0.004677460243311	0.575730086139245	0.41632538072630704
95.0.	0.002826336259124	0.004046107385668	0.5890607999510491	0.404066756404158
97.0.5.0	0.0024450163531270002	0.0034999730889780003	0.601997132133614	0.392057878424279
100.0.	0.002115114894416	0.0030275547473020002	0.614547389957073	0.380309940401208
102.0.5.0	0.0018297067605900002	0.0026189023500720002	0.626720195418343	0.368831195470994
105.0.	0.001582797044457	0.002265408916328	0.63852439701273	0.35762739702648405
107.0.5.0	0.0013691968390540001	0.001959629215667	0.649968994825824	0.346702179119453
110.0.	0.0011844153898550001	0.0016951229578100002	0.661063077117914	0.33605738453442
112.0.5.0	0.00102456652351	0.001466319148093	0.671815766816234	0.325693347512162
115.0.	0.0008862875094350001	0.001268398751936	0.6822361765421591	0.31560913719646805
117.0.5.0	0.000766668734679	0.001097193196996	0.6923333709846571	0.30580276708366705
120.0.	0.000663192773677	0.0009490965752660001	0.702116335591331	0.296271375059724
122.0.5.0	0.000573681613751	0.0008209896959330001	0.7115939506873571	0.287011378002957
