time	E	E_M	E_M1	E_P1	E_P2	E_P21	E_P_1	E_P_2	M	M1	P	P2	P21	T
0.0.	0.00015000000000000001	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
9.0.	7.881766245012382e-05	2.442915786232814e-06	4.817127580054502e-13	0	1.850203307244583e-08	1.1095545852734802e-22	5.9512401142117714e-05	7.156544407809134e-06	0.043000844783528	6.1462509036990895e-09	0.9524160224432041	0.002133058035911	6.998506656335149e-12	0.002380938220255
18.0.	7.834558399610578e-05	4.482030890687578e-06	1.8046280359757212e-12	0	3.5802781528377954e-08	8.606850024344803e-22	5.636259520421736e-05	6.7777528790989745e-06	0.079348082712709	2.3096948622559583e-08	0.907444823356482	0.0041470872840910005	2.749424832529129e-11	0.008992325338713001
27.0.	7.800924698180796e-05	6.183841476356037e-06	3.8041987529217025e-12	0	5.202445270575461e-08	2.816294239261828e-21	5.348389589898552e-05	6.431570730409717e-06	0.10993913928618901	4.885165659975343e-08	0.8648112965643281	0.006049451406492001	6.072661570127146e-11	0.019133912494243
36.0.	7.779009683136634e-05	7.602931496181542e-06	6.347111887774003e-12	0	6.732744999064761e-08	6.478181729632796e-21	5.08364977356663e-05	6.113204340409904e-06	0.13554335675624202	8.169689219113341e-08	0.8243209796403981	0.007849288557354001	1.059995214414742e-10	0.032221673275743004
45.0.	7.76730871409877e-05	8.782894654511818e-06	9.323924812782439e-12	0	8.18403710597173e-08	1.229113471954458e-20	4.8388366191521826e-05	5.818802688163572e-06	0.156811378809701	1.2015934061995768e-07	0.78580714839688	0.00955443258145	1.626719435542809e-10	0.047763847976725005
54.0.	7.764583850000124e-05	9.759055207062232e-06	1.264373538636768e-11	0	9.566738566869745e-08	2.065308562086391e-20	4.6113359381821174e-05	5.545221655159519e-06	0.174298165786507	1.629686873679217e-07	0.749125568568186	0.011171660106432	2.301502784589531e-10	0.065342929023762
63.0.	7.76980240451876e-05	1.0560356002196571e-05	1.6230254384392818e-11	0	1.0889357124679558e-07	3.192210909525853e-20	4.398992845763771e-05	5.289869547066605e-06	0.18848062149980102	2.090276841997347e-07	0.71415044641034	0.012706881210901001	3.078821078306811e-10	0.08460189247958201
72.0.	7.782091579620701e-05	1.1210760272704341e-05	2.001886204832512e-11	0	1.215888594636201e-07	4.642206692505672e-20	4.2000145353494124e-05	5.050590167542791e-06	0.19977128505037703	2.5738775246603695e-07	0.6807712588127881	0.014165288713557002	3.9535106490460764e-10	0.10523352653550001
81.0.	7.800704412621524e-05	1.173029887168567e-05	2.3954372421358168e-11	0	1.338110106060603e-07	6.444719563295382e-20	4.0128972237441324e-05	4.825574941794483e-06	0.208529102693251	3.0722888189303827e-07	0.648890239006338	0.015551476616044	4.920725670671715e-10	0.126972055282395
90.0.	7.824993859871974e-05	1.213586392695943e-05	2.7989313369670392e-11	0	1.4560788476251769e-07	8.626585387286654e-20	3.836370446747357e-05	4.6132959151563784e-06	0.21506800005645701	3.578429042824717e-07	0.618420358458456	0.016869535199112003	5.97590239767025e-10	0.149586489345295
99.0.	7.854392834596599e-05	1.2441817927538511e-05	3.208258902367673e-11	0	1.570192007690756e-07	1.121235923592515e-19	3.66935403072565e-05	4.412453998989762e-06	0.219663774879116	4.0861944880430217e-07	0.5892836894925371	0.018123128203786	7.114728984249845e-10	0.17287529323012002
108.0.	7.888398671244067e-05	1.2660466514102021e-05	3.619842982467065e-11	0	1.68077916505307e-07	1.4224567051433e-19	3.510924455036056e-05	4.221938512302923e-06	0.22255969175991402	4.590340496607089e-07	0.5614100637172	0.019315556091686	8.333119854141831e-10	0.196662068800144
117.0.	7.926560929551811e-05	1.2802429252425582e-05	4.030556167397064e-11	0	1.788113259221374e-07	1.7683911616425041e-19	3.360288262614014e-05	4.04079520109015e-06	0.22397106265841202	5.086379972139078e-07	0.534735962958648	0.020449808361854	9.627193816773609e-10	0.22079203146165702
126.0.	7.968471753858175e-05	1.2876933095150981e-05	4.437654393558536e-11	0	1.8924194192280218e-07	2.1609440425471771e-19	3.216760823013648e-05	3.86820069566298e-06	0.22408902691683003	5.570496131424185e-07	0.5092035949097471	0.021528607171106003	1.0993255294179222e-09	0.24512911082503702
135.0.	8.013758213654685e-05	1.289204658013879e-05	4.838723890186239e-11	0	1.993882158516507e-07	2.601868155068822e-19	3.0797492038539405e-05	3.7034419095648497e-06	0.223083693762667	6.039466975984128e-07	0.484760117017046	0.022554443972773	1.2427778151020882e-09	0.269553547640906
144.0.	8.062076199912284e-05	1.2854868116523031e-05	5.231638451641847e-11	0	2.092651312967547e-07	3.092775247074789e-19	2.948738226707734e-05	3.54589926868891e-06	0.221106772878594	6.49059947739126e-07	0.46135698047204005	0.023529610496012	1.392739171827262e-09	0.293959888233566
153.0.	8.113105557827406e-05	1.277167835081261e-05	5.614524879454642e-11	0	2.1888470050297588e-07	3.635144598876931e-19	2.8232790134610985e-05	3.395032935870439e-06	0.21829379080053202	6.921671866407858e-07	0.43894937240476806	0.024456225094599	1.548886867715507e-09	0.318255299541759
162.0.	8.166546213242015e-05	1.264806417409242e-05	5.985734924743804e-11	0	2.282563848091876e-07	4.2303296725797617e-19	2.702979496593478e-05	3.2503713976128187e-06	0.21476596995478	7.33088272488379e-07	0.41749573908160903	0.025336255272812	1.7109114529330562e-09	0.342358144344834
171.0.	8.222115105792452e-05	1.2489020151523972e-05	6.343822422055321e-11	0	2.373874554189991e-07	4.879563119001835e-19	2.5874964901869383e-05	3.1115019279870162e-06	0.21063183120546103	7.716805822376937e-07	0.396957376494026	0.026171537027339	1.8785158426186693e-09	0.36619676877619906
180.0.	8.279543782794918e-05	1.2299031838884612e-05	6.687524575541173e-11	0	2.462833069782754e-07	5.58396040482896e-19	2.4765290104160862e-05	2.9780625553374216e-06	0.20598856853560601	8.078349832463034e-07	0.37729807748106403	0.026963791514558	2.051414516721433e-09	0.38970846384769203
189.0.	8.338576538113459e-05	1.2082144467765542e-05	7.015746562884274e-11	0	2.549477335134896e-07	6.344522293678623e-19	2.369812603535341e-05	2.8497352407403262e-06	0.20092323498533302	8.414722218289176e-07	0.35848382666335604	0.027714639452164003	2.229332820722578e-09	0.41283857017395703
198.0.	8.398969002702446e-05	1.1842019740323132e-05	7.327548779194334e-11	0	2.6338317403719353e-07	7.162136391915299e-19	2.26711449209673e-05	2.726240040569367e-06	0.195513771535949	8.725396701725728e-07	0.34048253613121204	0.028425613585941003	2.4120063536123402e-09	0.435539700934068
