time	II	IIa	M	P2
0.0.	1.0	0.0	0.0	0.0
9.0.	0.955911446003972	0.0019361735987600001	0.042064389265256005	8.799113200928919e-05
18.0.	0.913766692532285	0.007407435936778	0.078653788464331	0.00017208306660400002
27.0.	0.873480040302513	0.015946323851801	0.110321188127613	0.000252447718071
36.0.	0.8349695683178121	0.027132803452895003	0.137568378807905	0.000329249421385
45.0.	0.7981569673594151	0.040589870783686005	0.160850516590668	0.00040264526623000005
54.0.	0.762967380748777	0.055979545047603003	0.18058028878718602	0.000472785416431
63.0.	0.729329252130074	0.07299922005407901	0.197131714400537	0.000539813415308
72.0.	0.6971741799637411	0.09137834247159701	0.210843611087098	0.000603866477562
81.0.	0.666436778435193	0.110875388196357	0.22202275760015502	0.000665075768292
90.0.	0.6370545444958651	0.131275110639464	0.23094677819494702	0.000723566669722
99.0.	0.608967730766225	0.15238603701407502	0.237866773183548	0.00077945903615
108.0.	0.58211922404232	0.174038190785254	0.24300971773475402	0.0008328674376710001
117.0.	0.5564544291587711	0.19608102034652103	0.24658064910155603	0.000883901393151
126.0.	0.531921157972105	0.21838151572366202	0.248764660711308	0.0009326655929240001
135.0.	0.508469523238631	0.240822496692621	0.24972871995706702	0.000979260111679
144.0.	0.48605183717110106	0.26330105714711904	0.24962332506982401	0.001023780611955
153.0.	0.464622514467851	0.28572715187492403	0.24858401511855502	0.0010663185386690002
162.0.	0.44413797961725704	0.308022313110344	0.24673274596733902	0.001106961305059
171.0.	0.424556578288992	0.330118485334269	0.24417914390629403	0.0011457924704430002
180.0.	0.405838492631928	0.35195696780123403	0.24102164765671202	0.001182891910125
189.0.	0.38794566030641503	0.37348745519353804	0.237348548522222	0.001218335977824
198.0.	0.37084169708632503	0.394667167643221	0.23323893760952202	0.001252197660931
207.0.	0.35449182287345204	0.415460062130376	0.228763568267244	0.0012845467289280001
216.0.	0.33886279097382704	0.435836117967343	0.223985641183568	0.0013154498752600001
225.0.	0.32392282049214804	0.45577068971842105	0.218961518936473	0.0013449708529560001
234.0.	0.309641531706833	0.475243921489206	0.21374137619969702	0.0013731706042620002
243.0.	0.295989884294299	0.49424021705329	0.20836979126784003	0.0014001073845690002
252.0.	0.282940118276838	0.5127477607712461	0.202886284071044	0.001425836880871
261.0.	0.27046569757402	0.530758084701587	0.197325805399391	0.001450412325
270.0.	0.258541256042832	0.548265677709421	0.19171918164586801	0.001473884601877
279.0.	0.24714254589683002	0.565267632749159	0.18609351900103502	0.0014963023529740002
288.0.	0.236246388399411	0.5817633288359261	0.18047257068942701	0.001517712075234
297.0.	0.22583062673095702	0.597754144529132	0.17487707052429402	0.0015381582156140002
306.0.	0.21587408093398902	0.6132432000334741	0.169325035771067	0.0015576832614690001
315.0.	0.206356504844726	0.6282351252798131	0.163832042048514	0.001576327826945
324.0.	0.19725854492347603	0.6427358515831081	0.158411472757843	0.0015941307355700001
333.0.	0.18856170090012903	0.6567524246887221	0.15307474531195	0.001611129099198
342.0.	0.18024828815473	0.670292837213826	0.147831516237969	0.001627358393473
351.0.	0.172301401756652	0.6833658786689301	0.142689867044449	0.0016428525299670002
360.0.	0.16470488208921202	0.695981001407152	0.137656472578493	0.0016576439251420002
369.0.	0.15744328198986302	0.7081482009972611	0.132736753446613	0.0016717635662620001
378.0.	0.150501835339119	0.7198779096517911	0.127935013934684	0.001685241074405
387.0.	0.14386642703435001	0.7311809014649511	0.12325456673599801	0.0016981047647010002
396.0.	0.13752356428739201	0.7420682083276181	0.118697845681086	0.0017103817039020002
405.0.	0.13146034918760402	0.7525510454892901	0.11426650755767401	0.001722097765429
414.0.	0.125664452474572	0.762640745830449	0.10996152401299801	0.0017332776819780002
423.0.	0.120124088467149	0.772348701994079	0.10578326444295501	0.001743945095815
432.0.	0.11482799109782602	0.7816863156028271	0.10173157069249301	0.0017541226068520002
441.0.	0.10976539100372401	0.7906649528591431	0.09780582431852801	0.001763831818603
450.0.	0.10492599362759701	0.7992959058903231	0.09400500709996501	0.0017730933821130002
459.0.	0.10029995828434801	0.8075903592591741	0.090327755418525	0.001781927037952
468.0.	0.09587787815045201	0.8155593611146631	0.08677240907852901	0.0017903516563550002
477.0.	0.091650761135635	0.8232137985056851	0.083337055083085	0.001798385275594
486.0.	0.08761001159788101	0.830564376425571	0.08001956683788701	0.0018060451386600002
495.0.	0.08374741286459901	0.8376216001954261	0.07681763921164901	0.0018133477283250002
504.0.	0.08005511052441401	0.844395760831243	0.07372881984368501	0.0018203088006560001
513.0.	0.07652559645559301	0.850896923073278	0.070750537054069	0.0018269434170590001
522.0.	0.07315169355863001	0.8571349157867041	0.06788012467976201	0.0018332659749020002
531.0.	0.06992654116196201	0.863119324470335	0.065114844130907	0.0018392902367940001
540.0.	0.066843581071114	0.868859485635444	0.062451903934871	0.0018450293585680001
549.0.	0.063896544232923	0.874364482839722	0.05988847701131501	0.0018504959160370001
558.0.	0.06107943798771501	0.8796431441822611	0.057421715899461004	0.0018557019305610002
567.0.	0.058386533883515	0.8847040410844531	0.055048766138534	0.0018606588934960001
576.0.	0.055812356027515005	0.889555488198945	0.05276677798398	0.0018653777895580002
585.0.	0.053351669951101	0.89420554430444	0.05057291662529401	0.0018698691191640002
