time	C1	C2	C3	C4	C5	C6	C7	C8	C9	MAPK	MAPKMEKpp	MAPKPH	MAPKp	MAPKpMAPKPH	MAPKpMEKpp	MAPKpp	MAPKppMAPKPH	MEK	MEKPH	MEKRAFp	MEKp	MEKpMEKPH	MEKpRAFp	MEKpp	MEKppMEKPH	RAF	RAFK	RAFPH	RAFRAFK	RAFp	RAFpRAFPH
0.0.	0	0	0	0	0	0	0	0	0	0.4	0.0	0.30000000000000004	0.0	0.0	0.0	0.0	0.0	0.2	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.30000000000000004	0.2	0.30000000000000004	0.0	0.0	0.0
5.0.	0	0	0	0	0	0	0	0	0	0.39999848187032006	1.4134196812272098e-06	0.299999953918676	5.862855081503061e-08	4.6081322028147114e-08	1.2104948468581542e-13	3.1656792610699844e-15	1.4763266341296992e-15	0.188721544207429	0.19904797971255	0.009606414926759	0.0006964815144230001	0.0009517014069500001	2.1811847846845603e-05	3.137962890100335e-07	3.188804997853392e-07	0.21532931807177702	0.13947854255206202	0.297916031723995	0.06052145744793701	0.012437029429673	0.0020839682760040003
10.0.	0	0	0	0	0	0	0	0	0	0.39994864245431405	4.4255849387201764e-05	0.299995893461074	2.994922441702884e-06	4.106529802449142e-06	2.248020538183865e-10	1.0128967745222239e-11	9.123647306672608e-12	0.16961276601372502	0.19490206342253402	0.022071456680643	0.002887763466483	0.005088655488107	0.000279415320943	6.4058665484835865e-06	9.281089358217404e-06	0.19154086958011102	0.14331193903643602	0.294962139249258	0.056688060963563006	0.024382336703996	0.0050378607507410005
15.0.	0	0	0	0	0	0	0	0	0	0.39967744091052504	0.00025897632659200003	0.299959535477128	2.3106434810150035e-05	4.046369045705592e-05	1.113509717833056e-08	6.701028132241112e-10	8.324143972878519e-10	0.150876134308351	0.18917269295116101	0.031277180378420005	0.005748111028967001	0.010775996381285001	0.000980673720667	3.160605306469784e-05	5.131066755359779e-05	0.17182133190933102	0.147623506856045	0.292190363089933	0.052376493143954005	0.035734683937559006	0.007809636910066001
20.0.	0	0	0	0	0	0	0	0	0	0.39892442004842005	0.0008102065478320001	0.29982287011054704	8.809152900676323e-05	0.00017711409983500002	1.415378985153149e-07	1.044738925175976e-08	1.578961790738323e-08	0.13411887866726202	0.18337124399963903	0.037551372036904	0.008675222855958	0.016475550640392002	0.0021250979491070003	9.032440467413217e-05	0.00015320535996800002	0.155085455352863	0.151526379508229	0.28962284785493003	0.04847362049177	0.046387302024283004	0.010377152145069
25.0.	0	0	0	0	0	0	0	0	0	0.39743214982137404	0.001825900996552	0.29949078856828504	0.00023178089647600002	0.000509079447206	8.80412452480405e-07	7.644143003529777e-08	1.319845079658734e-07	0.11979392742311001	0.17824458309774302	0.04153665942377	0.011316841294263	0.021422692649568	0.00357753628361	0.00019283726398300002	0.00033272425268800004	0.14098528052713002	0.15499511500454602	0.28728718747549603	0.04500488499545301	0.056182826245532	0.012712812524503
30.0.	0	0	0	0	0	0	0	0	0	0.395016150191893	0.0033629066411540003	0.29886782339537304	0.000484888122811	0.0011315090333230001	3.527159835284534e-06	3.51279678107864e-07	6.675713028455038e-07	0.10781059463732001	0.174042750895984	0.043853470615292	0.013508129544969001	0.025360901940498	0.005160645954194	0.00034347634321800003	0.0005963471635170001	0.12918901241417102	0.158034914661685	0.28519896484545904	0.041965085338314	0.065030750523486	0.014801035154540001
35.0.	0	0	0	0	0	0	0	0	0	0.39159729189081305	0.005405243336563	0.297882501169806	0.0008682836802650001	0.00211509175874	1.0502838858634601e-05	1.179423306156962e-06	2.407071452708529e-06	0.09785690330813301	0.170751775414674	0.045008051610624	0.015211542116420002	0.028306679395217003	0.0067183364546450006	0.0005411957494280001	0.000941545190107	0.11938185229767401	0.16066516235391	0.28335699885639404	0.039334837646090005	0.07291392084735901	0.016643001143605
40.0.	0	0	0	0	0	0	0	0	0	0.387200243947226	0.007881930497892	0.29650089414937203	0.0013902582027390002	0.003492294091065	2.529887320871349e-05	3.16262830677819e-06	6.811759561683903e-06	0.089574904274827	0.16824522721482402	0.045375282004742	0.016463003697855	0.030394740447386003	0.008143609313723	0.0007811985525750001	0.0013600323377880002	0.11127497473087201	0.162914946735101	0.28174756438923904	0.037085053264899005	0.07986864507500101	0.018252435610760002
45.0.	0	0	0	0	0	0	0	0	0	0.381931139697376	0.010690862754201001	0.29472836589732704	0.002047145422993	0.005255546791627001	5.2047873442613854e-05	7.170149314833634e-06	1.6087311044747163e-05	0.082638580029691	0.16636738303474602	0.045217781048159	0.017331694642983002	0.031792148086593	0.009379794786840001	0.001056621899427	0.0018404688786610001	0.104610149770577	0.164819058089083	0.28035019193209304	0.035180941910916	0.08596152441559901	0.019649808067906
50.0.	0	0	0	0	0	0	0	0	0	0.37594794062344605	0.013719924916152001	0.29260290790105503	0.002825865733804	0.007364036280057	9.489180180784451e-05	1.4284825844262222e-05	3.30558188870207e-05	0.076778412187471	0.16497188671968901	0.044714904649928	0.017894850022216	0.032657816497605005	0.010409082200887002	0.0013598209412250001	0.0023702967827050002	0.099160715081284	0.16641476568374	0.279142098580348	0.033585234316259004	0.09127216233198801	0.020857901419651003
