time	MAPK	MAPKMEKpp	MAPKPH	MAPKp	MAPKpMAPKPH	MAPKpMEKpp	MAPKpp	MAPKppMAPKPH	MEK	MEKPH	MEKRAFp	MEKp	MEKpMEKPH	MEKpRAFp	MEKpp	MEKppMEKPH	RAF	RAFK	RAFPH	RAFRAFK	RAFp	RAFpRAFPH
0.0.	0.4	0.0	0.30000000000000004	0.0	0.0	0.0	0.0	0.0	0.2	0.2	0.0	3.009265538105056e-36	0.0	0.0	0.0	0.0	0.30000000000000004	0.2	0.30000000000000004	0.0	0.0	0.0
5.0.	0.39999848187028003	1.413419711562592e-06	0.29999995391867	5.862855432510069e-08	4.6081328346327254e-08	1.2104959812998911e-13	3.165674021104576e-15	1.4763164990688382e-15	0.188721544207122	0.19904797971286	0.009606414927409001	0.000696481514435	0.0009517014066340001	2.181184776969846e-05	3.137962909033103e-07	3.188805052054228e-07	0.215329318014812	0.139478542491577	0.29791603172456704	0.06052145750842201	0.012437029426153	0.002083968275433
10.0.	0.39994864245384604	4.4255849517661975e-05	0.299995893460818	2.994922523161534e-06	4.10653005791303e-06	2.2480220005102442e-10	1.0128972139691869e-11	9.12364751680672e-12	0.169612766017708	0.19490206341495	0.022071456668429003	0.0028877634682130003	0.005088655495698	0.00027941531973	6.405866547947416e-06	9.281089351645096e-06	0.19154086947999602	0.143311938928533	0.294962139252173	0.056688061071467004	0.024382336712549003	0.005037860747827001
15.0.	0.39967744091100904	0.000258976325597	0.299959535476683	2.3106434881399262e-05	4.046369090390759e-05	1.1135093983654222e-08	6.70102204623711e-10	8.324128258704136e-10	0.150876134317251	0.189172692944913	0.031277180364053005	0.005748111029447001	0.010775996387793	0.000980673720491	3.160605297826329e-05	5.131066729329692e-05	0.17182133183547502	0.147623506778734	0.29219036308858604	0.052376493221265	0.035734683947301005	0.007809636911413001
20.0.	0.39892442006161105	0.0008102065369050001	0.29982287011207404	8.809152812379796e-05	0.000177114098273	1.415380273727617e-07	1.044740616587487e-08	1.578965268530236e-08	0.134118878562797	0.18337124392231502	0.037551372058797	0.00867522288202	0.016475550719502	0.0021250979400230002	9.032440374388877e-05	0.00015320535818200002	0.15508545536328902	0.151526379527004	0.28962284785750203	0.048473620472995006	0.04638730202239601	0.010377152142497001
25.0.	0.39743214983933706	0.00182590098615	0.299490788573951	0.00023178089444600002	0.0005090794414640001	8.804125596702149e-07	7.644145762742276e-08	1.319845848596952e-07	0.119793927380931	0.17824458305514201	0.041536659412848	0.011316841317514	0.021422692692573003	0.003577536283042	0.00019283726209400002	0.000332724252283	0.14098528052668002	0.154995115008177	0.287287187474763	0.045004884991822	0.05618282626037	0.012712812525236001
30.0.	0.39501615020943104	0.0033629066327600004	0.29886782340240103	0.00048488812050600003	0.001131509026194	3.527159987705146e-06	3.512797157845688e-07	6.675714045462682e-07	0.1078105946262	0.17404275087759302	0.043853470597443	0.013508129556562	0.025360901959771	0.005160645961861001	0.00034347634277700004	0.0005963471626350001	0.129189012414896	0.158034914663917	0.285198964843198	0.041965085336082	0.065030750532915	0.014801035156801002
35.0.	0.391597291904195	0.0054052433319680005	0.29788250117666903	0.0008682836782140001	0.0021150917517690003	1.0502838946758012e-05	1.17942334440488e-06	2.4070715606146706e-06	0.09785690331117401	0.170751775409924	0.0450080515932	0.015211542122571002	0.028306679400478003	0.006718336462907	0.000541195749155	0.000941545189596	0.119381852299553	0.16066516235546402	0.283356998854987	0.039334837644536005	0.07291392085479101	0.016643001145012
40.0.	0.38720024395537905	0.007881930496734	0.296500894154829	0.001390258201174	0.0034922940855210004	2.5298873203307642e-05	3.1626283372035558e-06	6.811759649523543e-06	0.089574904280664	0.16824522721522903	0.045375281992952	0.016463003699447	0.030394740447102	0.008143609319736001	0.0007811985524890001	0.001360032337668	0.11127497473334601	0.16291494673605703	0.281747564388498	0.037085053263942	0.07986864507852001	0.018252435611501
45.0.	0.38193113970089504	0.010690862755347	0.294728365900913	0.002047145421997	0.005255546787997001	5.204787334375963e-05	7.1701493296619316e-06	1.6087311088979992e-05	0.08263858003644	0.16636738303772	0.045217781039580004	0.017331694642608	0.031792148083602	0.009379794790938001	0.001056621899461	0.001840468878676	0.104610149773237	0.164819058089612	0.280350191931788	0.035180941910387	0.08596152441764501	0.019649808068211
