time	C1	C2	C2a	C2b	C3	C3a	C3b	C4	C4BP	C4BP_C4b	C4BP_GlcNac_LF_CRP	C4BP_PC_CRP	C4BP_PC_CRP_LF	C4a	C4b	C4b_C2a	C4b_C2a_C4BP	CRP	GlcNac	GlcNac_HF	GlcNac_HF_MASP	GlcNac_LF	GlcNac_LF_C1_MASP	GlcNac_LF_CRP	GlcNac_LF_CRP_C1	GlcNac_LF_CRP_MASP	GlcNac_LF_MASP	HF	LF	MASP	PC	PC_CRP	PC_CRP_C1	PC_CRP_LF	PC_CRP_LF_C1	PC_CRP_LF_C1_MASP	PC_CRP_LF_MASP	X	dC3b	dC4b_C2a	dC4b_C2a_C4BP	iC4b_C2a
0.0.	2470.0	310.0	0.0	0.0	4650.0	0.0	0.0	770.0	260.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	20.0	6.8	0.0327796	0.0	0.0	0.0	0.0	0.0	0.0	0.0005	0.0	0.0	0.0	0.0
200.0.	2469.9971580926226	309.6631866244977	0.33526495588315103	0.336813375502284	4649.9997850061745	0.00021499382764	1.040090517682027e-05	769.6455996009635	242.42666941423815	0.350510500687964	0.0	0.029926580037852004	0	0.354400399036566	0.002341478729468	1.973870570047738e-06	0.000292486499585	1.967222775002226	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	19.999997556195307	6.799998279116024	2.3750022232124158e-06	8.729369100427943e-06	0.002839471786104	6.4051893949208316e-09	7.165155547681305e-07	1.719074339927308e-06	1.809634998791597e-09	0.0005	4.234040311132868e-06	4.933991152348262e-07	7.273947815882144e-05	0.001177043283234
400.0.	2469.994864678824	308.7307843123094	1.227190604613102	1.269215687690618	4649.993141867242	0.006858132759824001	0.00016642743799	768.6625098565733	225.4762467644478	1.286275452508237	0.0	0.027633853810899	0	1.337490143426866	0.009189607841113001	3.067146133472558e-05	0.0042722319844780005	1.967222141466262	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	19.999995098346353	6.799996522849022	1.7414662597933138e-06	8.673897121787143e-06	0.005130429172050001	6.7890126946227846e-09	1.4177136771002848e-06	3.4742900026038713e-06	2.8609761345716123e-09	0.0005	6.847728853159e-05	1.592268966526739e-05	0.002211726264211	0.035377042989888
600.0.	2469.9930227549585	307.3276040445944	2.4037010809259582	2.672395955405575	4649.951621215194	0.04837878480707301	0.000753235062598	767.1781489206343	209.3279894032393	2.533695598444487	0.0	0.025791867193466003	0	2.8218510793655023	0.019460606441398	0.000137333245698	0.017827775777364	1.967222150208888	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	19.999992640258284	6.799994766723964	1.750208886216075e-06	8.726386711407809e-06	0.006969896469196	7.2469443439638785e-09	2.1192187580417376e-06	5.229354212170351e-06	3.9218242084447015e-09	0.0005	0.000311113417167	0.000113927267737	0.014758842723488002	0.23502820763812501
800.0.	2469.9915124793506	305.54823789647224	3.54122636662894	4.45176210352772	4649.822323957697	0.177676042300795	0.001930099048803	765.287649945154	194.22648305811842	3.770634304854217	0.0	0.024281431985938	0	4.712350054845529	0.031180013092533	0.000349806904821	0.042224100875419	1.9672221755555461	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	19.99999015536944	6.799992991682693	1.775555543496808e-06	8.8590427795735e-06	0.008477688785164	7.76448976317103e-09	2.828548776626023e-06	7.003316132279097e-06	5.00117536067634e-09	0.0005	0.0007988986273860001	0.00042089061366500004	0.05071677732366801	0.8137803106799281
1000.0.	2469.990246237289	303.46347749021993	4.403220474657183	6.536522509780123	4649.553055700021	0.446944299977291	0.0035308268761910003	763.0611578149523	180.32621636150975	4.763144047499879	0.0	0.023014962069727002	0	6.938842185047519	0.042396102424701	0.000637565048214	0.071545419280663	1.9672222126229242	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	19.999987624514972	6.799991183963533	1.8126229212717422e-06	9.048161642345924e-06	0.009741401660664001	8.328676524117378e-09	3.551119899259199e-06	8.809931267472935e-06	6.105200373945611e-09	0.0005	0.001463396146254	0.0010508048097470002	0.11774493421750801	1.934666280430205
1200.0.	2469.9891602241696	301.126544800252	4.926011139063446	8.873455199748092	4649.117978166355	0.8820218336413591	0.005243866920904	760.5505766038083	167.61753573039874	5.449813273444582	-1.2043213520267132e-26	0.021928672151037002	0	9.449423396191454	0.052166062062230005	0.0009448134764140001	0.09863092734765501	1.967222258057253	-7.382916250221151e-26	9.7909607378231e-27	-7.567728459191609e-25	-2.6286594967142747e-24	0	-7.332860411828098e-30	-3.446060911535253e-28	-1.425691535026672e-29	-6.173511194031331e-24	-1.5860137913943751e-27	19.999985034177445	6.799989333862133	1.8580572504675632e-06	9.277792905482953e-06	0.010824826176235001	8.930875605083037e-09	4.2907538283444115e-06	1.0658899550265972e-05	7.238316986370538e-09	0.0005	0.002175138760931	0.0020269379402070003	0.211340499588089	3.619389413590322
1400.0.	2469.988207203912	298.57767678058417	5.168329477758941	11.422323219416118	4648.5172022599045	1.482797740091254	0.006878547265071	757.7944243376646	155.9782113283745	5.890997703148973	-8.591275061452025e-26	0.020975337024807	0	12.205575662334915	0.060584217528775006	0.0012378538506010001	0.12030475152295302	1.967222309952597	-8.623213610598919e-26	-3.8611880744195374e-26	-1.109728960258404e-25	-3.088535464067354e-24	0	-4.158492395491087e-29	-8.322659185674318e-27	-9.960526404378759e-29	-7.732008625001119e-24	-6.287088581740576e-25	19.99998237429494	6.799987434163307	1.909952595720295e-06	9.53896644115504e-06	0.011775188351078	9.56665540588916e-09	5.050301731165711e-06	1.255743262434964e-05	8.404066467209781e-09	0.0005	0.0028545330212510003	0.003283872228764	0.31884986416424405	5.784911339975087
1600.0.	2469.987351512922	295.84737173511405	5.219416790050825	14.152628264886285	4647.760908412681	2.239091587314509	0.008406486346433	754.8212086337098	145.26192379773195	6.17737120975026	-1.536387234554467e-25	0.020119299621373002	0	15.178791366289683	0.06820868170398	0.0015119356486190001	0.136882401732629	1.96722236718302	-9.186752732769158e-26	2.596758833222884e-25	1.018249078097516e-24	-3.2980336897368674e-24	0	-7.77004452346415e-29	-2.639277014124692e-26	-1.895364642810644e-28	-8.406893174309863e-24	-7.015041616460359e-25	19.999979636757956	6.7999854790572964	1.967183017731585e-06	9.826281720591358e-06	0.012628143671829002	1.02337022258325e-08	5.832065653175463e-06	1.4511337239622081e-05	9.605463042533588e-09	0.0005	0.0034895287434200005	0.004725317998621001	0.42749631601813604	8.324228083973521
1800.0.	2469.9865660786577	292.9587623880837	5.1497887475718525	17.04123761191662	4646.857496117974	3.142503882023791	0.009874823054957	751.6518566189445	135.34487708646853	6.381077771060894	-2.331028999949724e-25	0.019333492615625003	0	18.348143381055564	0.07561674564991301	0.001775618650229	0.149802041037798	1.9672224288685292	-1.11253047429451e-25	1.409238463510185e-25	4.050041652602312e-25	-3.9846200351964e-24	0	-1.2547582460451489e-28	-5.466266919702208e-26	-3.078937790077169e-28	-9.975294735100325e-24	2.4399457753981666e-24	19.99997681479673	6.79998346369468	2.0288685265253948e-06	1.0135401410958511e-05	0.013410757911143002	1.0930203991870009e-08	6.637967769046831e-06	1.6525460282027684e-05	1.0845038405795351e-08	0.0005	0.004099640176123001	0.0062706241614980006	0.5287480154535941	11.150999706233698
