time	Ib	It	Iv	Sb	St	Sv
0.0.	39455.0	36931.0	234800.0	2590800.0	2425100.0	15418000.0
0.0.1.0	41310.32672424591	37488.389136835	242219.20786215548	2589903.607295443	2428479.6867565904	15434533.781885734
0.0.2.0	43208.46506728606	38071.78738784022	249856.54420827882	2588946.736707844	2431819.983671478	15450734.384658953
0.0.30000000000000004.0	45150.71895159021	38681.810942673656	257718.32723899913	2587927.7628006046	2435120.08577668	15466593.908362983
0.0.4.0	47138.420994115244	39319.09459912448	265811.0372413858	2586845.021223545	2438379.1647279025	15482104.24139978
0.0.5.0	49172.93295240861	39984.292143962644	274141.31976231147	2585696.8080457947	2441596.3682756885	15497257.056086004
0.0.6000000000000001.0	51255.64614747413	40678.07673055871	282715.9887176611	2584481.379112507	2444770.8197396067	15512043.804272471
0.0.7000000000000001.0	53387.98187233366	41401.14125868971	291542.02948411123	2583196.949412914	2447901.617477427	15526455.712958058
0.0.8.0	55571.39178455707	42154.19875604756	300626.6019669915	2581841.692461575	2450987.8343497836	15540483.7799049
0.0.9.0	57807.35828094557	42937.98276094014	309977.0436373903	2580413.7396948	2454028.517180804	15554118.769261882
1.0.	60097.39485244352	43753.2477056306	319600.87253116985	2578911.1798843103	2457022.6862152736	15567351.207204157
1.0.1.0	62443.04641724211	44600.76929971627	329505.7902020481	2577332.0585703687	2459969.3345729364	15580171.377596905
1.0.2000000000000002.0	64845.88962992314	45481.344912902794	339699.68462038157	2575674.3775167186	2462867.42770057	15592569.317692159
1.0.3.0	67307.53316437066	46395.79395648052	350190.633008736	2573936.0941898157	2465715.902822562	15604534.813868158
1.0.4000000000000001.0	69829.61796805626	47344.95826275934	360986.90460476093	2572115.1212649792	2468513.6683907374	15616057.397421319
1.0.5.0	72413.81748517515	48329.702461665314	372096.96334128623	2570209.3261622447	2471259.603534266	15627126.34042158
1.0.6.0	75061.83784598006	49350.914353646214	383529.47043294436	2568216.530614829	2473952.5575105366	15637730.651642615
1.0.7000000000000002.0	77775.4180195234	50409.505277975615	395293.2868579752	2566134.510273305	2476591.349157942	15647859.07257907
1.0.8.0	80556.32992688163	51506.41047548383	407397.47572320775	2563960.994348717	2479174.766351603	15657500.073563864
1.0.9000000000000001.0	83406.37851179291	52642.58944468117	419851.3044995203	2561693.665298063	2481701.5654631183	15666641.849999249
2.0.	86327.40176549385	53819.026290172726	432664.2471143649	2559330.1585557098	2484170.4708255017	15675272.318716198
2.0.1.0	89321.27070239467	55036.73006219549	445845.9858872086	2556868.062314501	2486580.174204563	15683379.114477629
2.0.2.0	92389.88928307944	56296.73508603749	459406.4132929833	2554304.917360494	2488929.3342780382	15690949.58664165
2.0.3000000000000003.0	95535.19428096796	57600.10128002432	473355.63353785104	2551638.216965436	2491216.576123897	15697970.79600213
2.0.4000000000000004.0	98759.15508882004	58947.91446068263	487703.9639307917	2548865.406841284	2493440.490719308	15704429.51182468
2.0.5.0	102063.77346110714	60341.28663361062	502461.9360336964	2545983.8851612397	2495599.634451862	15710312.209097167
2.0.6.0	105451.08318812004	61781.35626850398	517640.2965718067	2542991.002651993	2497692.528644722	15715605.066014864
2.0.7.0	108923.14969752482	63269.28855670172	533250.0080854826	2539884.062762029	2499717.6590974852	15720293.961721249
2.0.8000000000000003.0	112482.06957892301	64806.275649529445	549302.249303406	2536660.3219110537	2501673.4756446388	15724364.474326704
2.0.9000000000000004.0	116129.97002681527	66393.53687562922	565808.4152164364	2533316.989825792	2503558.3917335784	15727801.879228204
3.0.	119869.00819721688	68032.31893537384	582780.1168304442	2529851.2299675923	2505370.784024284	15730591.147754246
3.0.1.0	123701.37047302243	69723.89607036997	600229.1805755281	2526260.1600574646	2507108.9920128584	15732716.946160397
3.0.2.0	127629.27163306826	71469.57020595942	618167.6473481178	2522540.852704369	2508771.3176812143	15734163.63500185
3.0.3000000000000003.0	131654.9539197039	73270.67106453209	636607.7711615509	2518690.3361427495	2510356.025175358	15734915.268910546
3.0.4000000000000004.0	135780.6859995448	75128.55624736447	655562.0173797845	2514705.595085478	2511861.3405147814	15734955.596805517
3.0.5.0	140008.76181195184	77044.61128259923	675043.0605080151	2510583.5716985655	2513285.451335644	15734268.062566193
3.0.6.0	144341.4992996634	79020.24963688027	695063.7815130667	2506321.1667041373	2514626.5066705025	15732835.806199592
3.0.7.0	148781.2390158975	81056.91268805684	715637.2646455405	2501915.2406183383	2515882.6167674926	15730641.66553327
3.0.8000000000000003.0	153330.34260214245	83156.06965627002	736776.7937348386	2497362.6151309726	2517051.852951993	15727668.17846728
3.0.9000000000000004.0	157991.19113077063	85319.21749063199	758495.8479273675	2492660.074633804	2518132.247533886	15723897.58581903
4.0.	162766.18330654313	87547.88070861023	780808.0968374073	2487804.367904579	2519121.7937637195	15719311.83479643
4.0.1000000000000005.0	167657.73352101867	89843.6111851278	803727.3950793911	2482792.209953907	2520018.445841131	15713892.583135359
4.0.2.0	172668.26975384972	92207.98788829372	827267.7761496069	2477620.2840422387	2520820.11897905	15707621.20393864
4.0.3.0	177800.231314937	94642.6165585834	851443.4456247139	2472285.2438742174	2521524.689527326	15700478.791254565
4.0.4.0	183056.06642142578	97149.12932819487	876268.7736438543	2466783.7159777274	2522129.9951595087	15692446.16643382
4.0.5.0	188438.2296035672	99729.18427721896	901758.286640638	2461112.3022749717	2522633.8351266584	15683503.885304557
4.0.6000000000000005.0	193949.17893353422	102384.46492317677	927926.6582908627	2455267.582852882	2523033.970582162	15673632.246205874
4.0.7.0	199591.3730713804	105116.67964039884	954788.6996414829	2449246.118940117	2523328.1249816357	15662811.298920656
4.0.800000000000001.0	205367.26812246218	107927.56100564764	982359.3483861522	2443044.4560978157	2523513.9845620976	15651020.854549393
4.0.9.0	211279.31430081316	110818.86506631887	1010653.6572525239	2436659.127631154	2523589.198904692	15638240.496366568
5.0.	217329.95239316992	113792.37052749805	1039686.7814665614	2430086.658228556	2523551.3815853326	15624449.591701822
