time	T	Tm	Tmw	Tw
0.0.	32554830.0	134173.0	9818.0	26180.0
1.0.	33038926.61224946	137812.91851135177	9912.27760185451	27376.343697881683
2.0.	33529985.293525685	141655.01458111065	10009.758374875148	28641.9806758256
3.0.	34028089.07455087	145712.09698090298	10110.637789818355	29981.66896855743
4.0.	34533320.58304779	149997.959138409	10215.129333379818	31400.539607004997
5.0.	35045761.896753855	154527.46445039142	10323.466603553765	32904.12919971484
6.0.	35565494.379880965	159316.6397771496	10435.90568455932	34498.415619530446
7.0.	36092598.50221288	164382.77799220552	10552.7278428254	36189.857121708425
8.0.	36627153.63901673	169744.55053913873	10674.242591883632	37985.43524898874
9.0.	37169237.84974762	175422.13105279324	10800.79118169745	39892.701917704326
10.0.	37718927.6332983	181437.3312208206	10932.750576985774	41919.831122433
11.0.	38276297.65729384	187813.75019411056	11070.537999698163	44075.675745075016
12.0.	38841420.458649576	194576.93900276013	11214.616123254513	46369.83000816914
13.0.	39414366.11229515	201754.58159965475	11365.499020820776	48812.69817237942
14.0.	39995201.864614256	209376.69433850696	11523.758987164176	51415.57014510767
15.0.	40583991.72775581	217475.8458995614	11690.034374010776	54190.70474190361
16.0.	41180796.0305296	226087.39990660438	11865.038602903749	57151.42142563179
17.0.	41785670.92110585	235249.7827361435	12049.570548041036	60312.20144117722
18.0.	42398667.816184014	245004.77930664347	12244.526515305011	63688.799366896594
19.0.	43019832.790677324	255397.8599557901	12450.914083704814	67298.36621921658
20.0.	43649205.90126558	266478.54187047255	12669.868122962207	71159.58537502243
21.0.	44286820.436393134	278300.7889313511	12902.669357461775	75292.82271916069
22.0.	44932702.084421486	290923.45427564613	13150.765914037936	79720.29258300233
23.0.	45586868.01067424	304410.770372476	13415.798371233263	84466.24121619387
24.0.	46249325.83302868	318832.8919492693	13699.628923329728	89557.14972918588
25.0.	46920072.484495975	334266.4977101265	14004.375386761623	95021.95866068239
26.0.	47599092.94988062	350795.4574522164	14332.45091325668	100892.31656368896
27.0.	48286358.86210335	368511.5719188877	14686.610437806994	107202.85526826711
28.0.	48981826.94209451	387515.3935323142	15070.005085895422	113991.49477034269
29.0.	49685437.264302276	407917.13702766836	15486.246000021343	121299.78101579266
30.0.	50397111.327793054	429837.6899673865	15939.479328627409	129173.26019920291
31.0.	51116749.91063581	453409.73414879735	16434.474460898884	137661.8935785038
32.0.	51844230.68273997	478778.9900295651	16976.72800054856	146820.51722102694
33.0.	52579405.54954438	506105.59747802693	17572.586465106928	156709.35154356627
34.0.	53322097.695918925	535565.6473999976	18229.391291956843	167394.5659879553
35.0.	54072098.29633493	567352.8800841335	18955.650449629633	178948.9046822993
36.0.	54829162.8537802	601680.5674204043	19761.241818399303	191452.37947226156
37.0.	55593007.12604953	638783.5974456326	20657.654549001636	204993.03726015
38.0.	56363302.5939467	678920.7809071331	21658.27586977396	219667.80915211572
39.0.	57139671.42162936	722377.4006426006	22778.732335683966	235583.44947142815
40.0.	57921680.854867935	769468.0254601173	24037.29635162548	252857.57322881423
41.0.	58708836.99846521	820539.6107450175	25455.371021661824	271619.8011224353
42.0.	59500577.90962072	875974.9080606095	27058.069052626157	292013.02153438755
43.0.	60296265.93980214	936196.2053398634	28874.904665995316	314194.77925043745
