time	A1	A1_2	A2	A2_2	A3	A3_2	CREB_n	DUSP_c	DUSP_n	DUSP_n_ERK_n	DUSP_n_pERK_n	DUSP_n_ppERK_n	DUSPmRNA	ERK_c	ERK_n	Elk1_n	F	FOSn	FOSn_2	FmRNA	Fn	Kin	Kin_2	MEK	PreDUSPmRNA	PreFOSmRNA	PreFmRNA	RSK_c	RsD	RsT	c_FOS_c	c_FOSmRNA	pCREB_n	pDUSP_c	pDUSP_n	pDUSP_n_ERK_n	pDUSP_n_pERK_n	pDUSP_n_ppERK_n	pERK_c	pERK_n	pElk1_n	pMEK	pRSK_c	pRSK_n	pc_FOS_c	ppERK_c	ppERK_n
0.0.	182.3524	0.0	25.38702	0.0	13.09262	0.0	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	570.4179	1624.9	1510.0	0.0	0.0	0.0	0.0	0.0	82.66574	0.0	637.3212	0.0	0.0	0.0	353.0	247.4035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.925929944387236e-34	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55.0.	182.30340588782968	0.048994112170381	25.033823292931327	0.353196707068677	13.079392234958021	0.013227765041980002	999.9991786763902	7.196185103519201e-23	4.0217854914132725e-24	1.0722518229966508e-23	4.795467839700514e-26	3.110694092628315e-30	2.832966195696084e-20	555.1946271939266	1623.7350434236093	1509.999734310161	1.664826307808975e-113	1.247479208273432e-24	2.7596788098057702e-30	1.2176536042788352e-110	6.507478031924176e-115	82.54563955413758	0.12010044586239	631.3054689396321	4.379403654442731e-16	2.5244751362627042e-18	3.4065268567512717e-106	352.99991895571543	242.84084161286788	4.562658387132222	3.4055996514317285e-25	4.0878453177146486e-21	0.0008213236102350001	5.8187749191092795e-31	3.0410117583883374e-32	8.027438309317493e-32	3.609516760107946e-34	2.333903304291866e-38	15.107065950709213	1.118098921317592	0.00026568984109700004	6.015731060367687	7.309703271977576e-05	3.395644067361907e-05	1.7129907217693012e-30	0.125320558759761	0.007917286019304
110.0.	182.2555309087681	0.09686909123201401	24.706863725240257	0.680156274759753	13.066318179684522	0.026301820315483	999.9537790894844	2.6871447879372365e-15	2.901760218628148e-16	7.892220758386586e-16	2.4163168142324822e-17	1.067145424884982e-20	5.351130870171546e-13	484.4948367922517	1616.3942284707907	1509.9866815028577	1.389669432442071e-78	1.194801136308312e-16	9.457529646292151e-21	5.719001917952157e-76	8.461088096270078e-80	82.42573128581087	0.24000871418907602	616.54403151414	4.075855009291231e-09	3.956854665740178e-11	8.901706595596366e-72	352.99691077738504	238.87769030931054	8.525809690689373	1.866988355991015e-17	1.391984665604818e-13	0.046220910516007005	7.712368747191138e-22	9.298958077527737e-23	2.518499840667055e-22	7.80465139944944e-24	3.444085507698852e-27	81.4013537110898	7.869140879820082	0.013318497144088	20.77716848585909	0.0026951246440230004	0.0016838731491160002	3.474993346057767e-21	4.582859258144783	0.37535439576607704
165.0.	182.2087490683701	0.143650931630007	24.404191263009245	0.9828287369907551	13.053396039606525	0.039223960393483005	999.6424622664097	6.775074494811305e-11	9.92316766922042e-12	2.6815885930622292e-11	2.925517620146767e-12	3.6773055553388645e-15	9.614481993258575e-09	374.155032148289	1592.0611019902096	1509.8656202935315	3.947670677054716e-59	2.805683856590826e-12	1.79332380011573e-15	1.077151999795172e-56	3.178043973800785e-60	82.30604734151082	0.359692658489138	597.4508676209533	5.150693355543155e-05	3.511978100222147e-07	1.108619536209639e-52	352.97976139013053	235.79936594319378	11.604134056806204	3.386511793016653e-13	1.9143582591389113e-09	0.35753773359081703	1.27017126323085e-16	2.5397489279020224e-17	6.84168882983363e-17	7.479736104934556e-18	9.394490603161763e-21	167.672508239201	27.289711192417034	0.134379706470509	39.870332379045514	0.017372736560641002	0.012245095048123001	4.0281417045066117e-16	29.02285916659482	3.701234177158351
220.0.	182.1630349955013	0.189365004498872	24.12400095233858	1.2630190476614152	13.040624041297846	0.051995958702165	998.71539730675	1.322010180793938e-07	2.1632669859174023e-08	5.600900257581535e-08	1.821256711028126e-08	4.615820258484817e-11	1.541187828159344e-05	264.52421118397353	1519.892835384618	1509.189878178272	2.1365654078401e-45	3.07258879970177e-09	9.764363706266005e-12	4.494585465793279e-43	2.01089720813078e-46	82.18661915776848	0.47912084223147405	577.5150318426789	0.06678831612925601	0.00020867159761300003	3.557029756813998e-39	352.936314967995	233.70370212847016	13.699797871529865	3.220403370288854e-10	1.5081504879225708e-06	1.284602693250223	7.425631009996693e-13	2.386364586242101e-13	6.16366698954945e-13	2.0074744065425772e-13	5.08473415616775e-16	220.32587935573997	77.83176227710291	0.8101218217285461	59.806168157319405	0.054147314276917005	0.040752066658105005	1.155386283161508e-12	86.95262120704882	21.25847934601028
275.0.	182.1183639265053	0.234036073494881	23.86462210420534	1.522397895794668	13.028000432225397	0.064619567774611	996.8327547939514	5.431052267986001e-05	9.55784545448323e-06	2.2260886928984683e-05	1.7826036270591943e-05	7.646003661907463e-08	0.005066426616399	176.38829022972556	1363.1462471083619	1506.4464066841788	1.11441368544031e-34	7.016610942124791e-07	7.816873431538955e-09	1.8549366460317072e-32	1.189186199412621e-35	82.06747745648718	0.5982625435127891	559.2574974124855	16.728384031755088	0.029633238075342003	1.1564052342243368e-28	352.8648632873242	232.561802639913	14.841697360087126	6.706508671594628e-08	0.00026916142222900005	3.167245206048959	6.056565476463719e-10	3.2993031081811063e-10	7.669645381172836e-10	6.149525465768657e-10	2.636424476499319e-12	223.739348975456	172.22144085348538	3.553593315822747	78.06370258751102	0.114207945476612	0.08942291439842101	4.828453188515677e-10	172.63140851562736	79.52918615717385
330.0.	182.07471168981417	0.277688310186042	23.62450828868588	1.7625117113141262	13.01552348049869	0.077096519501322	993.6550895701174	0.0038180441886070003	0.000839313947563	0.001651165093487	0.002508292076029	1.6324321746562852e-05	0.24454365220339802	112.51835300529756	1147.5255497497953	1497.4096442782	3.2874039712387043e-26	5.6038721183469945e-05	1.484697628330851e-06	4.356514194741865e-24	3.9117009729684055e-27	81.94865224107495	0.717087758924972	544.3008244040602	481.0734544758152	1.55431785922789	2.15306148037711e-20	352.7752587858052	232.2564548043371	15.147045195663214	5.021117729918887e-06	0.017462437548014003	6.344910429883857	6.571535990061408e-08	7.336795751353398e-08	1.4409716963528638e-07	2.191404200322641e-07	1.4256121303328033e-09	193.548534845389	275.60967698426924	12.590355721801462	93.02037559593435	0.18912394033283503	0.15218289741093102	5.654722213830672e-08	266.42252329705184	192.90959494305608
385.0.	182.03205469098503	0.32034530901533803	23.40222807748035	1.9847919225196602	13.003191474622183	0.08942852537782	989.095921368431	0.041555299211421	0.013620729866506	0.022262101968033	0.049910986278944004	0.00046257130663100005	1.679929629185613	72.26817459400834	950.8164171253355	1466.479611340115	1.299066678496358e-19	0.0016885983900040002	7.802386608853458e-05	1.267660081050652e-17	1.749199570868422e-20	81.83017279335377	0.835567206646154	533.4791988483026	1809.152413030123	18.93053069675356	4.510280858531642e-14	352.6881471793271	232.61586041479046	14.787639585209895	0.000137222582501	0.35955295367092605	10.904078631570362	9.286681872841511e-07	2.687940174424622e-06	4.387088913069879e-06	9.844960054838045e-06	9.121056789930274e-08	152.5454812275275	337.5732136778263	43.52038865988633	103.84200115169173	0.26149799939434304	0.21515241819219902	2.0382584921176917e-06	345.660611578088	336.1968766883576
440.0.	181.9903698981536	0.362030101846871	23.196456478452365	2.190563521547647	12.991002723251205	0.10161727674880301	984.1012736700008	0.15914584655917602	0.079587254189126	0.122240176598638	0.25381602216730104	0.0036231465980350003	4.551982619208705	54.33094937675831	892.7831188250941	1383.583533801936	3.439017221089448e-15	0.013985588989255001	0.0008835077989580001	2.1065911286765343e-13	5.375063272624451e-16	81.7120676712218	0.9536723287781451	526.973289648997	3344.5135440031686	47.38570389022683	4.577011959239327e-10	352.6275804552329	233.4448075194807	13.958692480519481	0.001022379134673	1.734271910255811	15.898726330000866	4.072299953283128e-06	3.0285319818989714e-05	4.6465044595410586e-05	9.654953893636644e-05	1.377839569696748e-06	118.54256070053863	293.5981101186818	126.41646619806633	110.34791035099701	0.31131593743379304	0.261079049517361	1.7629853162839824e-05	394.7155903804089	450.2256362719067
495.0.	181.94963482788893	0.402765172111809	23.005967010049726	2.381052989950307	12.978955554950574	0.113664445049431	980.9739031573271	0.39490649929013305	0.28989480590063704	0.506097737000704	0.506941995427428	0.013727718032907002	8.455508473970813	55.12935104261002	1014.1609662531763	1293.9290446693165	2.05914034876338e-12	0.05150086891244501	0.0035633545897470003	8.130966824269901e-11	3.5627612192591544e-13	81.59436470704475	1.07137529295527	524.4643904942245	4896.546300797637	72.3905216426084	1.1140403582677101e-07	352.60656878588685	234.55184892482475	12.851651075175358	0.00354801029339	4.186200888955662	19.026096842674065	1.056136354334881e-05	0.00017778353439400001	0.00031016832972300003	0.000310823774205	8.4155530532645e-06	100.54651074893084	160.91076871193323	216.07095533068622	112.85680950576996	0.328063184827638	0.27929976149582303	6.412170875202398e-05	410.2526787299633	467.98267685766996
