time	A	I1	I2	S
0.0.	200.0	5000.0	1000.0	3800.0
0.0.6.0	657.188419510237	6117.716546088953	1012.2420079130467	4216.185313424842
1.0.2.0	1008.0746359961656	7261.793447491666	1040.8395364521143	4434.565730666809
1.0.7999999999999998.0	1301.7357388464966	8378.096843477118	1085.6628422761808	4510.375153595188
2.0.4.0	1560.1825111376177	9419.979292244429	1146.113647481511	4497.978946661511
3.0.	1791.8855455958378	10356.737831376962	1221.2368428474579	4440.769574669984
3.0.5999999999999996.0	1999.47764692391	11174.418051617702	1309.8766316295248	4368.1562084422685
4.0.2.0	2183.7639875505524	11872.186268833102	1410.8155685014408	4297.223105094364
4.0.8.0	2345.495665153309	12457.468554515508	1522.8703627822879	4236.2120217458705
5.0.3999999999999995.0	2485.9235391445436	12941.777067099842	1644.9437848582916	4187.922787792251
6.0.	2606.7895690369464	13337.856230498604	1776.043621784734	4152.254042790736
6.0.6.0	2710.1285654265625	13658.043976370538	1915.2814055807155	4127.817027251516
7.0.199999999999999.0	2798.058706785268	13913.496165659546	2061.8610061764075	4112.837236646959
7.0.8.0	2872.6257274513314	14113.932957125171	2215.0636684651067	4105.595477891146
8.0.4.0	2935.7100179101044	14267.659963151931	2374.233182745338	4104.604730452692
9.0.	2988.984381947043	14381.711199059419	2538.7629324303334	4108.651055768587
9.0.6.0	3033.9057270491367	14462.029584904307	2708.085412775046	4116.773266560485
10.0.2.0	3071.7263632409067	14513.643791107083	2881.6642087116575	4128.220984285669
10.0.799999999999999.0	3103.5147452654787	14540.824468960082	3058.9881449917384	4142.4100844132145
11.0.4.0	3130.1792887950955	14547.215346886973	3239.567230125834	4158.883371772561
12.0.	3152.4917013502927	14535.940369357264	3422.9300160472167	4177.278769948719
12.0.6.0	3171.108111222692	14509.690195949217	3608.6220361679298	4197.304819476224
13.0.2.0	3186.5873763792233	14470.79179854105	3796.2050381200306	4218.722359026792
13.0.799999999999999.0	3199.406549861165	14421.264579800838	3985.2567807325404	4241.331081597504
14.0.399999999999999.0	3209.9737601781685	14362.865878715642	4175.3712121542485	4264.959781624121
15.0.	3218.6388681386875	14297.128154183058	4366.158885910732	4289.459328545978
15.0.6.0	3225.7022705838217	14225.389634195304	4557.24750432128	4314.697624329932
16.0.2.0	3231.422187138979	14148.819809131202	4748.282505053336	4340.55599192231
