time	Ar	ArH	H2O2	NADH	NADrad	O2	coI	coII	coIII	per2	per3	super
0.0.	0.0	500.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	1.4	0.0
100.0.	0.00010326264947400001	499.99989673735064	1.1564921708314532e-05	7.957129235178651	2.367878308830471e-06	11.9645875341586	3.842039673692388e-06	0.00011039819060600001	0.028377895607266	4.846078619126432e-06	1.371503018083835	2.4290083470970163e-05
200.0.	0.000105618631044	499.99989438136873	2.435825759719407e-05	15.827576601743838	4.786642656202067e-06	11.880721237567215	7.8092889467448e-06	0.00022481395494400002	0.113305598786457	9.295123936696673e-06	1.2864524828457151	5.1987845906087204e-05
300.0.	0.00010977102182200001	499.9998902289781	4.039108199538888e-05	23.60894485051806	7.326907276017778e-06	11.770263675509744	1.210309728406511e-05	0.0003486248466	0.253031239621822	1.2822932560811312e-05	1.146595209501733	8.844819863374177e-05
400.0.	0.00011614288309500001	499.9998838571167	6.367998605994841e-05	31.295492014691778	1.007943379122432e-05	11.644069640570823	1.6972785288474492e-05	0.000489016785046	0.44562554577058705	1.485325216090152e-05	0.953853611406917	0.000144660581415
500.0.	0.00012526022181500002	499.9998747397781	0.000105011594728	38.87733761420011	1.316292770887678e-05	11.506619323193425	2.2738579342406942e-05	0.0006552167324750001	0.6889586430026211	1.4641068757675552e-05	0.7103487606168031	0.000250511950573
600.0.	0.00013804349145400002	499.9998619565084	0.000210086563367	46.33896721389842	1.676141676654845e-05	11.358349412948346	2.9868216000029955e-05	0.0008606893881600001	0.9805451496387351	1.116657878231335e-05	0.418553126178323	0.000532805512836
700.0.	0.00016623084629300002	499.99983376915384	0.0012689246044480002	53.65058875081905	2.2569514613963812e-05	11.194585401621685	4.168609282112713e-05	0.001199019596804	1.313788583131735	3.172231573264502e-06	0.084967538947069	0.0031405810624740003
800.0.	0.08409190920348601	499.915908090796	0.020834150985561	37.32548086430285	0.051666416552230005	0.9110234201427191	0.014146127413285001	0.43236868994759003	0.42449460956772106	0.051010182943312006	0.477980390128093	0.08590047226691401
900.0.	6.119468022500959e-05	499.9999388053193	3.663675034229104e-05	41.61688219206381	1.4800090365125131e-05	5.04802043295513	1.1905540973040722e-05	0.000342374045124	0.44424883413681504	5.1283918974707336e-05	0.955345602358117	9.192536772401711e-05
1000.0.	9.324090701183259e-05	499.99990675909254	8.445676535761216e-05	49.27573697293406	1.7348364187802295e-05	7.946793952920963	2.146147829544611e-05	0.0006180102139640001	0.6263980680676261	3.051819662282239e-05	0.772931942043495	0.00020958896923200002
1100.0.	0.00011893326498000001	499.99988106673436	0.000180454529115	56.74028808654583	2.0965742432794022e-05	9.410861045958786	3.1514277891634214e-05	0.000907882581599	0.9050067841207261	1.9928180724736533e-05	0.494033890839062	0.000468284173433
1200.0.	0.00014843991044600002	499.9998515600892	0.000786379702885	64.00257066283379	2.6341886267722975e-05	10.095927220617046	4.4378914836091465e-05	0.001277878911288	1.25708953550597	6.802522959794375e-06	0.14158140414495102	0.002110917233909
1300.0.	0.056014733059467005	499.94398526694016	0.07423077646904101	53.212535771591334	0.025469126959333004	2.4684176817459322	0.014417098178812001	0.39096486520578205	0.714934475121179	0.013981397036037001	0.265702164458194	0.12978084918693902
1400.0.	6.114367062516112e-05	499.9999388563294	4.6835192857248436e-05	53.43495343053822	1.920551805827448e-05	4.953594322674136	1.527249537994095e-05	0.00043923056855400003	0.45782352799857706	6.699427806658507e-05	0.941654974659427	0.00011874811247500001
1500.0.	9.517666105097862e-05	499.99990482333885	0.000111356219815	61.00421514154734	2.192943918885467e-05	7.835414951390655	2.7120432710349016e-05	0.000780998045978	0.6833836715471641	3.628752506318973e-05	0.715771922449088	0.000281969323209
1600.0.	0.000124312702254	499.99987568729773	0.000278318364438	68.33783665232056	2.6223891435089343e-05	9.267795651588825	3.9672797496197114e-05	0.001142892806075	1.017984036451223	1.9584064668329273e-05	0.38081381388054103	0.0007459186810960001
1700.0.	0.00034943603241400004	499.9996505639674	0.018352754517107002	75.32820032828198	7.28048728131252e-05	9.88860628715463	0.00012443382113500002	0.003505700182955	1.3802610220699472	2.086072619363327e-06	0.016106757853347	0.015426669752444002
1800.0.	4.0403094172698935e-05	499.9999595969065	2.445196951878152e-05	58.05296892162008	2.4024062464307766e-05	2.530715456462295	1.0971461268546922e-05	0.000315151818216	0.398265239529343	0.0011180735569520002	1.000290563634223	7.14233763921333e-05
1900.0.	7.97822213643358e-05	499.9999202177795	8.738030706052751e-05	65.69906009025587	2.355830886619558e-05	6.5588253210705165	2.4489349814353515e-05	0.0007049165310200001	0.5771715181784041	5.365834111812943e-05	0.8220454175996461	0.00022085582575500002
2000.0.	0.000112335233216	499.99988766476736	0.00020894440213100002	73.06888101562167	2.755046505260837e-05	8.587798451353093	3.8334969196556435e-05	0.001104207670466	0.8972335126846681	2.9212298652024e-05	0.50159473237702	0.000552797690131
2100.0.	0.000158043122499	499.9998419568777	0.001603841855113	80.15982335202455	3.643060716640095e-05	9.541770048516756	5.9254957288563935e-05	0.0017021480595210002	1.310414854264365	6.28196390030792e-06	0.08781746075492701	0.00408169232678
2200.0.	3.0139867026270113e-05	499.99996986013275	1.349570620909288e-05	63.062159993247434	3.2479356301466194e-05	1.305533334702719	8.925014764082364e-06	0.000254588940377	0.325734309653161	0.059518089876825005	1.014484086514873	4.906336076070186e-05
2300.0.	7.252271530885214e-05	499.99992747728453	8.058893449116458e-05	70.73800440868176	2.5531345001359685e-05	5.876062271462148	2.397210213633815e-05	0.000689827580492	0.5395337413793501	6.811393641002793e-05	0.8596843450016131	0.000205058211648
2400.0.	0.00010745366145500001	499.99989254633806	0.000198756513385	78.10471915854023	2.9434597024526296e-05	8.210630733606905	3.919820472510323e-05	0.001128967691809	0.860056797778722	3.507748375356783e-05	0.538739958840991	0.000525937076749
2500.0.	0.00015048462321100002	499.9998495153764	0.0012838317579120001	85.16885586560542	3.7688082203366485e-05	9.316453874051048	5.991305348183898e-05	0.0017227992416870002	1.287746455628419	8.34212669453513e-06	0.11046248994971901	0.0034155143812540003
2600.0.	2.8822278165823335e-05	499.99997117772074	1.3681767961988701e-05	68.39979528995919	3.560687958579091e-05	1.221179567157773	9.266435774301807e-06	0.000263830641448	0.31264125357341405	0.071953345590897	1.015132303758466	5.0266844186214716e-05
2700.0.	7.241503726566515e-05	499.9999275849616	8.647512366551789e-05	76.0539767753972	2.761330101336773e-05	5.808584076604358	2.573546037828892e-05	0.0007405562590520001	0.5476382663860491	7.387328087799518e-05	0.851521568613644	0.00022131930265000002
2800.0.	0.00010854764321800001	499.9998914523554	0.00022199344740800003	83.37489285892887	3.178234575658762e-05	8.1446832321767	4.226951208128188e-05	0.0012174005861450002	0.8877199250597501	3.6253710159274174e-05	0.510984151131866	0.000593572046739
2900.0.	0.00017116936077800002	499.9998288306378	0.002619684273614	90.35816991561862	4.5447748210029605e-05	9.236112116270679	7.247762276835691e-05	0.002074667559512	1.333965190904596	5.9542773219503355e-06	0.063881709635803	0.0060497457481470005
