time	II	IIa	IIa_ATIII	IIa_alpha2M	PL	PT	RVV	V	Va	X	Xa	Xa_ATIII
0.0.	1.4	5.169878828456423e-26	0.0	1.972152263052529e-31	0.04999999	0.0	0.03	0.02999999	0.0	0.19999989999999998	0.0	0.0
0.0.25.0	1.3845915305104382	0.014137619634549	0.001038105083726	0.00023274477128400003	0.04999998986507401	1.349259109423602e-10	0.03	0.029997914088302	2.0757767718210276e-06	0.18550930682534503	0.008611667090227001	0.0058789259495000004
0.0.5.0	1.3550120292147612	0.03751544681226	0.006103998119075	0.001368525853901	0.049999988998974	1.001025415075507e-09	0.03	0.029987785819038004	1.2203179936039982e-05	0.172061017373061	0.010766382649358001	0.017172498976554002
0.0.75.0	1.322668071068005	0.058247713147034	0.015589112551086002	0.0034951032338730002	0.04999998740873501	2.5912644303908864e-09	0.03	0.029968831367570004	3.1156041164978156e-05	0.159581112185464	0.010884959760413001	0.029533825462857002
1.0.	1.2911025115596741	0.073824353534973	0.028649804305286002	0.006423330600065001	0.049999985450981006	4.5490188815951984e-09	0.03	0.029942751309806004	5.7234141174212024e-05	0.148000768176589	0.010388515386126	0.041610611888265
1.0.25.0	1.2613345508633609	0.084465121510837	0.044274022950958	0.009926304674842	0.049999983401493	6.598506522743014e-09	0.03	0.029911582117075	8.840128441802579e-05	0.137255927506509	0.00973202307806	0.053011942816923
1.0.5.0	1.233579695436905	0.091041083520255	0.06157419168232701	0.013805029360511001	0.049999981477226	8.522773689428343e-09	0.03	0.029877107368514004	0.000122874108711	0.127286985132012	0.009059402983714	0.06365350336149901
1.0.75.0	1.207802842361994	0.094454677689598	0.07984181996825	0.017900659980157	0.049999979734216	1.026578392315402e-08	0.03	0.029840747843689	0.00015923189052600002	0.11803849439419101	0.008414545561988	0.07354684977803601
2.0.	1.183895724881773	0.09547879463763001	0.09853400385583601	0.022091476624759	0.049999978246923	1.1753076965617e-08	0.03	0.029803589085206004	0.000196389161716	0.109458889959647	0.007809282154583001	0.08273171613269101
2.0.25.0	1.1617335005105711	0.09473530344706001	0.11724474271873701	0.026286453323630003	0.049999977031109005	1.2968890131923709e-08	0.03	0.029766439771820002	0.00023353725928900002	0.10150022739195401	0.007245271324952	0.091254388314203
2.0.5.0	1.141192479897207	0.09271194226079901	0.135676660041598	0.030418917800394	0.049999976084939	1.391506061036518e-08	0.03	0.029729889312738	0.0002700867722	0.09411793861942801	0.006721039988099001	0.099160907477411
2.0.75.0	1.122155381346846	0.08978643918673801	0.15361700783978302	0.034441171626631004	0.04999997539333301	1.460666647488949e-08	0.03	0.029694356728228004	0.00030561866510400005	0.08727060255451301	0.006234242657069001	0.10649504018175
3.0.	1.104512599529846	0.086248939994019	0.170918310038659	0.038320150437475005	0.04999997493361501	1.5066384361728832e-08	0.03	0.029660130053301002	0.00033984488031400003	0.080919730120734	0.005782380672925001	0.11329777413995501
3.0.25.0	1.088162218525749	0.082320731704714	0.18748305728497802	0.042033992484556006	0.049999974679399005	1.5320600930825142e-08	0.03	0.029627397444675	0.000372577234723	0.07502956295011601	0.005363025761819001	0.11960729596746202
3.0.5.0	1.073009646425455	0.078169291559314	0.20325171254315302	0.04556934947207401	0.049999974603194004	1.53968054498226e-08	0.03	0.029596271500864003	0.00040370310232900003	0.06956688502635801	0.004973884345356	0.125459115231478
3.0.75.0	1.058967152478468	0.073920202752772	0.21819335570498602	0.048919289063772006	0.049999974678089004	1.532191049145165e-08	0.03	0.029566808173796002	0.000433166504293	0.064500846565818	0.004612810972829001	0.130886227139441
4.0.	1.045953395919926	0.06966652934393301	0.23229841049281003	0.05208166424333	0.049999974878769005	1.512123015966264e-08	0.03	0.029539021418561004	0.000460953460208	0.059802799448512	0.004277805773738001	0.135919279656518
4.0.25.0	1.03389297389357	0.065476169736604	0.24557300698580703	0.055057849384017005	0.049999975182086	1.4817913712794831e-08	0.03	0.029512894502856	0.00048708067922900006	0.055446143534093	0.003967007159247	0.140586734488745
4.0.5.0	1.022715996052199	0.061397614329436	0.258034625923575	0.057851763694788005	0.049999975567312005	1.443268716304582e-08	0.03	0.029488388706317002	0.0005115868609950001	0.051406183222451	0.0036786833749670005	0.144915018969893
4.0.75.0	1.012357687067326	0.057464447463431004	0.269708745943537	0.060469119525704	0.04999997601620201	1.3983797367944011e-08	0.03	0.029465449984535003	0.000534526031666	0.047659993644548	0.0034112240499580004	0.14892866832169602
5.0.	1.002758016274798	0.053698862822907006	0.28062627452147604	0.062916846380816	0.049999976512915004	1.348708431930934e-08	0.03	0.029444014048756004	0.0005559624641590001	0.044186295895929005	0.0031631320946480003	0.15265045852233602
5.0.25.0	0.9938613530805591	0.050114404426713006	0.29082159045321004	0.065202652039515	0.04999997704386901	1.2956130071183081e-08	0.03	0.029424010214415004	0.0005759668294540001	0.040965340752614	0.0029330160449750004	0.156101530246279
5.0.5.0	0.9856161466026041	0.046718100122209005	0.30033106277826405	0.06733469049692001	0.049999977597550004	1.2402449093910551e-08	0.03	0.029405364294745003	0.0005946133028050001	0.037978800336382006	0.0027195828677140004	0.159301504393453
5.0.75.0	0.9779746280255661	0.043512118809378005	0.309191940195837	0.06932131296921501	0.049999978164303	1.1835696470224e-08	0.03	0.029388000755233002	0.000611977409069	0.035209667223651	0.0025216312155980003	0.162268589725053
6.0.	0.9708925341939261	0.040495054523492	0.31744152793574404	0.07117088334683501	0.049999978736121005	1.126387854457739e-08	0.03	0.029371844297403003	0.000628134438717	0.032642160518865	0.0023380451125530003	0.16501968310470103
6.0.25.0	0.9643288510358801	0.037662918398546005	0.325116587050704	0.072891643514867	0.049999979306443	1.069355635698481e-08	0.03	0.029356821003261	0.0006431583031810001	0.030261638439507	0.0021677880470920004	0.167570462819842
6.0.5.0	0.9582455754813971	0.035009902148808	0.33225290523897805	0.07449161713081501	0.049999979869963004	1.013003613979028e-08	0.03	0.029342859142771002	0.000657120727192	0.028054516985247004	0.002009897451631	0.16993547543308501
6.0.75.0	0.9526074946106811	0.032528963036442	0.33888499941287303	0.075978542940002	0.04999998042245601	9.577543841182934e-09	0.03	0.029329889723985002	0.0006700906984700001	0.026008194288412	0.0018634795458360002	0.172128216588207
7.0.	0.947381980841496	0.030212269546631	0.34504591894810305	0.077359830663768	0.049999980960617	9.039382431994005e-09	0.03	0.029317846847739002	0.0006821341128770001	0.024110980266628	0.0017277045228550002	0.174161206171133
7.0.25.0	0.94253880203461	0.028051538543737	0.35076712539182703	0.078642534029825	0.049999981481928	8.518071918049096e-09	0.03	0.029306667914934	0.0006933135669930001	0.022352031221282	0.001601802058019	0.176046058202625
7.0.5.0	0.938049945465462	0.026038288041978	0.356078429774973	0.07983333671758501	0.049999981984527	8.015472709388696e-09	0.03	0.029296293723611002	0.000703688260916	0.0207212890472	0.0014850571204790002	0.177793545816846
7.0.75.0	0.933889454676563	0.024164024505750004	0.36100797288288	0.08093854793480501	0.049999982467106005	7.532893425866763e-09	0.03	0.029286668484576003	0.000713313982529	0.01920942473971	0.0013768060691190002	0.17941366165827602
8.0.	0.9300332782889231	0.022420379494286	0.36558223713561505	0.08196410508117401	0.049999982928815	7.071184442463781e-09	0.03	0.029277739777731	0.0007222431510830001	0.017807785905005	0.001276433014963	0.180915674008846
8.0.25.0	0.9264591299116981	0.020799207244141003	0.36982608131090805	0.08291558153325	0.049999983369181	6.630818565287908e-09	0.03	0.029269458466132003	0.000730524903049	0.016508347998465	0.001183366433195	0.18230817893751902
8.0.5.0	0.9231463583471751	0.019292652253026	0.37376279136191704	0.08379819803787901	0.04999998378803901	6.211960228522581e-09	0.03	0.029261778580801003	0.000738205207238	0.015303669033345001	0.001097076008784	0.18359914874590902
8.0.75.0	0.920075827343076	0.017893193942145003	0.377414142159799	0.08461683655497701	0.049999984185475	5.814524546807375e-09	0.03	0.029254657186218003	0.0007453269992570001	0.014186847519015002	0.0010170697005620001	0.184795976965897
9.0.	0.9172298041960361	0.016593673915196002	0.38080046622220304	0.085376055666563	0.049999984561772	5.438227469629041e-09	0.03	0.029248054233963	0.000751930327809	0.013151483403769001	0.0009428910094670001	0.185905520148535
9.0.25.0	0.9145918565588531	0.015387310109161001	0.38394072644798505	0.086080106883999	0.049999984917371	5.08262817980415e-09	0.03	0.029241932410169	0.0007580525072020001	0.012191641812143002	0.0008741164374570001	0.186934136667771
9.0.5.0	0.9121467568500061	0.014267701173095	0.38685259062430505	0.086732951352592	0.04999998525283501	4.747164767405729e-09	0.03	0.029236256980939002	0.0007637282718950001	0.011301819380726	0.000810353124392	0.187887722747716
9.0.75.0	0.909880393706859	0.013228823659745	0.389552506050915	0.08733827658248	0.049999985568815006	4.431184100224531e-09	0.03	0.029230995638795002	0.00076898993002	0.010476913009626	0.0007512366509570001	0.188771745908232
10.0.	0.907779689964179	0.01226502402657	0.39205577307418105	0.08789951293506801	0.049999985866033006	4.1339667062264e-09	0.03	0.029226118352364	0.0007738675136680001	0.009712190859149001	0.000696428996401	0.189591276010481
10.0.25.0	0.9058325266771021	0.011371006982598	0.39437661666858004	0.08841984967171801	0.049999986145252	3.854747384886933e-09	0.03	0.029221597220839002	0.000778388924413	0.009003265432876	0.0006456166405750001	0.19035101407180002
10.0.5.0	0.90402767274268	0.010541821358009	0.39652825546852505	0.08890225043078501	0.049999986407267	3.592732173988569e-09	0.03	0.029217406334250004	0.0007825800730170001	0.008346068599174	0.0005985088004020001	0.19105531900769002
10.0.75.0	0.9023547197067251	0.009772844392842001	0.39852296785588703	0.08934946804454401	0.049999986652887005	3.3471122168981505e-09	0.03	0.029213521640210002	0.000786465012677	0.007736828413405001	0.000554835791551	0.19170823244793
