time	species_0	species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_16	species_17	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9
0.0.	999.999903689	0.0	499.999975922	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3999.99980738	0.0	0.0	999.999903689	1.2154326714572541e-63	0.0	99.9999903689	499.999951844
200.0.	841.3952277861091	158.60467590288934	499.999975922	3.046282349286503	2.0110104327555793e-05	2.736075924274852e-06	8.516177762869113e-09	1.234945264192413e-08	728.5691034012831	51.717872139146124	3419.157326809513	517.2146916509662	63.627788919521194	201.41692703823085	14.396078516332421	0.8536402447196281	99.9999903689	499.999951844
400.0.	0.8944917316787441	999.1054119573193	499.999975922	640.6444031298906	1111.186178032834	1086.6522881166507	19.38605177626776	28.34900412327913	51.558906827770656	91.1299479320531	2932.084842820084	828.3306452421716	239.58431931774064	13.832735483073387	25.445656205551362	177.388254110658	99.9999903689	499.999951844
600.0.	6.765630657563567	993.2342730314352	499.999975922	75.55903913244704	285.00767266847276	2240.500809820695	224.46895574103007	328.72867400153973	635.1863529222428	72.58786583502514	1988.3656855635597	1321.7687789542128	689.8653428622176	170.86315388805394	24.535911160764357	21.26758075046456	99.9999903689	499.999951844
800.0.	2.14144145965975	997.8584622293383	499.999975922	226.99448442125905	1148.778876866315	2683.20260576174	418.3877324646054	612.7866074248941	507.98000849559395	48.358764972861394	1864.8659268135484	1279.2424572839154	855.8914232825291	134.23012961324747	19.275553420820053	63.16096276521516	99.9999903689	499.999951844
1000.0.	2.166317146714568	997.833586542283	499.999975922	222.87719455971816	901.045530302064	2398.048568896472	641.7836559475505	940.0603305137519	516.2236991665873	44.2323641634107	1366.6375966496687	1339.8333289822476	1293.5288817480757	133.40120671936106	20.72188551785811	62.54355356206348	99.9999903689	499.999951844
1200.0.	2.189123021999723	997.8107806669971	499.999975922	219.20137256960487	984.5651101876296	2697.8394297947366	854.5803924875025	1251.7798477854687	525.7408252408188	38.39106007928934	1127.8172287478983	1319.4388707006242	1552.7437079314695	134.09623047159087	20.74197694632284	61.82843838136849	99.9999903689	499.999951844
1400.0.	2.132813401161608	997.8670902878349	499.999975922	224.1485494825612	997.2936055152499	2771.691983459652	1072.996963677147	1571.742521244216	524.4093064477939	34.775401959360465	902.7631622451502	1271.0191989171803	1826.2174462176615	131.79794459237613	21.285386306083396	63.5833149008207	99.9999903689	499.999951844
1600.0.	2.08613668464731	997.913767004349	499.999975922	228.27647619626015	1016.2931406524052	2831.8538993692496	1286.8683638668208	1885.0474486350627	522.9483213340225	32.10846035942915	718.253440317205	1203.309607619222	2078.4367594435676	129.65243029560804	21.897302248688277	65.11691325498569	99.9999903689	499.999951844
1800.0.	2.048470409544273	997.951433279452	499.999975922	231.54011514712224	1030.299558194462	2879.3415947304184	1495.4287123733575	2190.5726171076235	521.748973727037	30.044169015552676	565.2171280369516	1121.7857767201042	2312.9969026229364	127.731943165974	22.522670641278086	66.41203199202997	99.9999903689	499.999951844
2000.0.	2.016903272899028	997.9830004160975	499.999975922	234.21040437471794	1041.2368351659215	2916.0700471722002	1697.7857213068132	2487.0107941955835	520.731705987596	28.391147527404996	438.1113088936673	1030.2864273363368	2531.602071149989	125.99545835140117	23.131659935733097	67.53952751214969	99.9999903689	499.999951844
2200.0.	1.990322133833034	998.0095815551632	499.999975922	236.3765597365439	1049.8286811683622	2944.8000071133247	1893.3617299937655	2773.515616666853	519.9244066188172	27.03229153435137	332.93797174611285	931.601614749846	2735.460220884036	124.43591429924795	23.710422303293623	68.52030919674058	99.9999903689	499.999951844
2400.0.	1.968092859738309	998.0318108292586	499.999975922	238.0832266704452	1056.4636492140812	2967.203142911883	2081.814957263432	3049.586319880132	519.3583132977988	25.891717921464423	246.61309194750257	827.8636951404861	2925.523020292005	123.04993388008525	24.25316514143475	69.36354677776102	99.9999903689	499.999951844
2600.0.	1.949921039417241	998.0499826495796	499.999975922	239.3404055535061	1061.3406891810796	2984.2254124635247	2262.941942962998	3314.9248041127	519.0753043782739	24.917547957926036	176.69079682714303	720.8455462091764	3102.4634643436743	121.83958825499317	24.758018178183136	70.0690393661041	99.9999903689	499.999951844
2800.0.	1.9358737948654512	998.0640298941313	499.999975922	240.11597274990612	1064.478157022933	2996.2608336337116	2436.6120352985536	3569.3396547203147	519.1449099915287	24.072375148272947	121.18611369096817	612.2130290203472	3266.6006646686774	120.81710211352178	25.22489443230251	70.62464925345654	99.9999903689	499.999951844
3000.0.	1.9265088932326462	998.0733947957641	499.999975922	240.31577304799427	1065.6664615926989	3003.130476998693	2602.7117874399473	3812.6646877457	519.6900160531458	23.327468788562342	78.44420165053826	503.81735063037553	3417.7382550990797	120.01236442609631	25.654220678841014	71.00006069434205	99.9999903689	499.999951844
3200.0.	1.9231872591426051	998.0767164298541	499.999975922	239.74187353499175	1064.3349192842154	3003.862672892037	2761.0810824604464	4044.6653872799147	520.932790738341	22.658593616368904	47.02482188164107	398.1475164718201	3554.827469026532	119.48679374673112	26.045894242747597	71.13395780980068	99.9999903689	499.999951844
3400.0.	1.928706334977841	998.0711973540188	499.999975922	238.01628266722042	1059.25818941849	2996.1437841432207	2911.417249781044	4264.898467711262	523.274835766175	22.042139456306025	25.562470409869654	299.120051730556	3675.317285239568	119.35805920044784	26.39791628332155	70.91067031550979	99.9999903689	499.999951844
3600.0.	1.948183805422476	998.0517198835743	499.999975922	234.5006594669379	1048.0492380587998	2975.2402136936503	3053.107456659318	4472.466388058455	527.3810201751867	21.451578247575505	12.536358014715793	213.18681504213941	3774.2766343231388	119.82727212194325	26.704227028408784	70.13514664892885	99.9999903689	499.999951844
3800.0.	1.9881557549867621	998.0117479340109	499.999975922	228.51864564238386	1027.0577182465966	2932.929206590211	3184.9540251732265	4665.615008708461	533.9533717584679	20.86124048885013	5.918197536233124	148.81512235065773	3845.2664874931047	121.11506022899373	26.953538319974545	68.59804725031096	99.9999903689	499.999951844
4000.0.	2.048639978244284	997.9512637107525	499.999975922	220.4425079335057	994.3620035350551	2860.775893762573	3304.963663114836	4841.4246766535025	542.6178053657684	20.2729445904308	3.120089504362979	109.29998122848	3887.5797366471484	123.12724421126873	27.13788812972548	66.40151345828063	99.9999903689	499.999951844
4200.0.	2.117609072073644	997.8822946169232	499.999975922	212.0423536501201	954.4415505331374	2761.402526248118	3410.877663296165	4996.586411198983	551.5630110203069	19.727893219276307	1.9635376577360861	87.2570795094213	3910.779190212834	125.33146555926822	27.26577969130136	64.06940054871009	99.9999903689	499.999951844
