time	A20	A20_mRNA	BAR	BAR_Casp8	Casp3	Casp6	Casp8	FADD	FLIP	FLIP_mRNA	IKK	IKKa	IkBa	IkBa_N	IkBa_NFkB	IkBa_NFkB_N	IkBa_mRNA	NFkB	NFkB_N	PARP	PIkBa	RIP	TNFR	TNFRC1	TNFRC2	TNFRC2_FLIP	TNFRC2_FLIP_FLIP	TNFRC2_FLIP_pCasp8	TNFRC2_FLIP_pCasp8_RIP_TRAF2	TNFRC2_pCasp8	TNFRC2_pCasp8_pCasp8	TNFRCint1	TNFRCint2	TNFRCint3	TNFR_E	TNF_E	TNF_TNFR_E	TNF_TNFR_TRADD	TRADD	TRAF2	XIAP	XIAP_Casp3	XIAP_mRNA	cPARP	pCasp3	pCasp6	pCasp8
0.0.	0.104434	5.566570000000001e-05	0.28789000000000003	0.0	0.0	0.0	0.0	0.30944000000000005	0.0320472	0.000139056	0.64	0.0	0.00101518	0.0013839	0.015103199999999999	9.00189e-05	5.315170000000001e-05	0.000115365	0.0006914310000000001	1.66667	0.0	0.20256000000000002	0.0002	0.0	0.0	0.0	6.842277657836021e-49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.26880000000000004	0.0	0.0	0.29344000000000003	0.33056	7.83371	0.0	0.00021964600000000002	0.0	0.8	0.064	3.2
540.0.	0.104536023548876	0.00011380851100400001	0.28788717475232	2.8135773821599664e-06	6.280085987676883e-10	3.315859008488117e-11	2.263935474170616e-07	0.30943850621900804	0.032088466040779	0.00019201657543400002	0.5520246716289681	0.08797532837103	0.000633348855692	0.000261713547874	0.0027328550940150004	0.00030493853829900003	0.000100066149438	0.0025521194103930002	0.010410101074029001	1.666669968667888	0.002861551571171	0.20232774347220803	0.000233380139192	0.000173362197793	3.3079473612741084e-07	3.2564393862553463e-09	3.046730817011604e-09	1.955347882837076e-08	1.1752347069816202e-09	2.785367164926837e-07	6.071277639307814e-08	3.6681601437857135e-05	5.6258528780646694e-06	5.325722408315042e-08	0.001332973503902	0.26509799988487703	0.00244882137833	0.000105007376107	0.292265617943886	0.33035215568123005	7.834018913522626	2.507876161599605e-07	0.00027297661926200005	1.7337318144602252e-08	0.7999997370928801	0.06400000124148801	3.199994104853063
1080.0.	0.105883411050722	0.000336677304021	0.287756314924455	0.00013250781887600002	1.572435019072821e-08	1.8401541333000144e-09	5.143973154346401e-06	0.309412370304815	0.032641839173784	0.000411608088797	0.5071410496529191	0.13285895034708	0.002073381865174	0.00041512117706600006	0.0005854605159070001	0.000499265230884	0.000283416093592	0.000605743615747	0.014309544012111002	1.666669005493609	0.000644175614656	0.20205208059231203	0.00025283235753300004	0.000280078367215	6.216568669677699e-06	6.255178602603039e-08	1.330957981749285e-07	3.88596333308964e-07	5.28082107524868e-08	5.461633045752245e-06	1.203885239979112e-06	0.000133066751153	4.4047468342049564e-05	4.31556869855064e-07	0.00044457694855200004	0.26410173076300003	0.0018795541781800001	8.60084757523995e-05	0.290870632408377	0.33015895421079605	7.838279178302005	1.2796474168500441e-05	0.000497673897973	9.665604678960087e-07	0.799987069198956	0.064000000668483	3.199740985483877
1620.0.	0.10877271586428801	0.000505455230381	0.28692710584297704	0.000949100215492	8.285855604409512e-08	1.561134499518714e-08	2.4557199745955042e-05	0.309326033196378	0.033816405385867006	0.0006096155001520001	0.5169559056662371	0.12304409433376201	0.00335004177051	0.0007686679552610001	0.001270011083519	0.0008917362750820001	0.000428511921773	0.0010258347716530002	0.012812430541318	1.666661717185246	0.0013079491362960002	0.201938233918761	0.000264168103807	0.00025326955048	2.5704417821236983e-05	2.6839045780310095e-07	9.681226906958882e-07	1.682926647847832e-06	3.7924183604080596e-07	2.282985905284336e-05	5.047789363269465e-06	0.000196665297459	0.000103059145243	1.02044812715511e-06	0.000214442188823	0.26374096009688003	0.001180205337505	5.6084657361028716e-05	0.290020277780807	0.33013645275367504	7.84791457756197	9.969373326034866e-05	0.0007073919187410001	8.240961230313303e-06	0.799898969868253	0.06399998810403701	3.198194481171177
2160.0.	0.11258638890248301	0.0006108624932130001	0.284546315941454	0.003275011092301	2.412016646951899e-07	6.410034073549565e-08	6.478693250737878e-05	0.30917854325592303	0.035271124248770006	0.000766313085749	0.544154910157794	0.09584508984220401	0.004105457619339	0.0010464473268740001	0.0021330786128940004	0.0011103941023840002	0.000524966641274	0.0012743298443690001	0.011482209445807	1.6666359266718191	0.0017879720296870001	0.201936380945151	0.000270773990115	0.000187017525592	5.883430064349709e-05	6.417871008472586e-07	3.493589042535805e-06	4.033429930711721e-06	1.3328937163372608e-06	5.239165993641379e-05	1.1588073471975572e-05	0.00020613110723600002	0.000150175165354	1.493555313856774e-06	0.000149021121606	0.26353624829070904	0.000730596807624	3.5495157518023024e-05	0.289591923014883	0.33020678834065903	7.861077477481346	0.000376026738064	0.0008807914797190001	3.401761045121089e-05	0.799617182968921	0.06399994084133201	3.193863029585519
2700.0.	0.116839197317205	0.000668255588863	0.279975590171042	0.007697109455398	5.174960525832227e-07	1.799862384571795e-07	0.00012628731645800002	0.308998467004067	0.036708862662926	0.0008863889661470001	0.571119593645049	0.06888040635495	0.004598727288407	0.0013120782763510002	0.0033110622750190002	0.001233716055661	0.000583049816491	0.0013768021635040002	0.01007843088017	1.6665738790046891	0.002032194828173	0.201979077259512	0.00027462355869500003	0.00012794088593400001	9.879647919208018e-05	1.124461022608179e-06	8.659269538009325e-06	7.058063622361618e-06	3.206042832903547e-06	8.794253843914184e-05	1.9420588902924934e-05	0.00018182681685600003	0.00017065088902100002	1.700447199317512e-06	0.000127979318226	0.26337198910513704	0.000480552832833	2.3466093284123243e-05	0.289409068841022	0.330300065439109	7.875712666205005	0.0009713126326390001	0.001021056947018	9.605145663299539e-05	0.7990060521687211	0.06399982630412801	3.185721921833499
3240.0.	0.12116077785224601	0.0006856866318630001	0.273042153376587	0.014326899181502002	9.265513080970521e-07	4.014522254717856e-07	0.000206304647042	0.30881889963227405	0.03793833371923	0.0009704101777820001	0.5914825531893471	0.048517446810651	0.004901696285681	0.0016088901614870002	0.004832534200872001	0.001283538149241	0.000607904165578	0.0013911666375420002	0.008492771788772	1.666454436286683	0.0021115981475920004	0.202024912957734	0.00027686688807800004	8.702559816097614e-05	0.000137786620487	1.6266977969017499e-06	1.6970299939542792e-05	1.017530599861803e-05	6.105536511499657e-06	0.00012247501628300002	2.6960206451134924e-05	0.00014612554588800002	0.00016714483888500002	1.66676332986387e-06	0.00012027027130100002	0.26321905891214403	0.000348736757227	1.68596556383304e-05	0.289356150927345	0.330382172062531	7.889747457099828	0.001997667030719	0.00112740841854	0.00021548039681400002	0.7979445324810951	0.063999606482046	3.17362054648288
3780.0.	0.125254682799015	0.0006696160926480001	0.263989780294206	0.022862571142181	1.4758729961398e-06	7.689357222936958e-07	0.00030145595708	0.308662878673337	0.038867808110907	0.0010190475281680001	0.6047621592287511	0.035237840771247	0.0050417468672970004	0.001961851988286	0.006533670824129	0.0012679359026570001	0.0006038504964720001	0.0013578451578280001	0.006840558325319001	1.6662547232900362	0.0020855642981900003	0.20205493363305502	0.00027817418444200004	6.187568421950408e-05	0.00017046794506700002	2.071617258688391e-06	2.833645299433128e-05	1.2895112862598962e-05	9.942793560212836e-06	0.00015129111827100002	3.3154384887812303e-05	0.00011219754246500001	0.000149071967475	1.486843737361065e-06	0.00011714190264800001	0.263069620790754	0.000280850189002	1.334111971159147e-05	0.28936862231882005	0.33044281952689103	7.901129095338358	0.003538448320058	0.001199253079828	0.00041517965862500003	0.796338236559318	0.063999241185782	3.158142477711203
4320.0.	0.12889881614832902	0.000628741116163	0.253299348944627	0.032777495177477	2.169548404680555e-06	1.323392300500682e-06	0.00040896018709200003	0.30854078227519605	0.039479496901079006	0.001036392452853	0.612673963737006	0.027326036262992	0.005036148705724001	0.002351784677506	0.008101759926453001	0.0012017851721730002	0.000577381422097	0.001309842453873	0.0053866221207190005	1.665951024198659	0.002010097889613	0.202062800331677	0.00027893600931600004	4.7427258760750164e-05	0.00019458803273100003	2.415329394037338e-06	4.2180599572212414e-05	1.4948197503941812e-05	1.4498312836224733e-05	0.00017247908158	3.759376309313695e-05	8.517831619822586e-05	0.000125402773816	1.250692107688868e-06	0.00011580158747900002	0.26292136161136404	0.00024628379841000003	1.1502727980316271e-05	0.289412471175761	0.33048289426812705	7.907921010586876	0.005650012389222	0.001239558438756	0.0007188650580210001	0.7941184449800801	0.063998689783325	3.140253965032014
4860.0.	0.131964360368891	0.0005745889912500001	0.24151500731664802	0.043497714787490004	3.010611657378107e-06	2.1056036580176117e-06	0.000526936052577	0.308453496761999	0.039804540366814	0.00103075233159	0.6171312044121421	0.022868795587856	0.004906188983436001	0.002689837944236	0.009257400552647	0.001114348141643	0.000537648150306	0.0012664209309700002	0.004361839539458	1.665519156241127	0.001922876711282	0.202047706144855	0.000279379961324	3.9455943080852467e-05	0.00021019181367300002	2.6465092605535273e-06	5.7676308967314076e-05	1.6277665436143593e-05	1.9503710870664694e-05	0.00018614909260900001	4.033191596147063e-05	6.568600417498911e-05	0.00010209900103600001	1.0180609819626668e-06	0.00011522720365800001	0.26277352309184504	0.00022879221483400002	1.0555973682226282e-05	0.28947025863554304	0.3305069903626	7.908429032656578	0.008368079141818	0.00125577110117	0.0011507193662930002	0.791236367850616	0.063997911889725	3.120986733125103
5400.0.	0.134423459284106	0.000518660681813	0.22913077258143602	0.054514875350706	4.002321091107112e-06	3.1560720239537676e-06	0.0006543090620470001	0.30839665738203303	0.039903343792999	0.001012206785892	0.61956170169073	0.020438298309268	0.004677053236833001	0.002856052136947	0.009914007128561001	0.0010344262217360002	0.000494145437263	0.0012337405491320002	0.0038178347835170004	1.6649345469991421	0.001839913560896	0.20201055709158203	0.00027963867352700004	3.5158547566065e-05	0.000218563505682	2.7761866511696096e-06	7.398032566974412e-05	1.696749335242056e-05	2.470553194811668e-05	0.00019346947944300002	4.165815485381555e-05	5.248157047261464e-05	8.21483801584002e-05	8.188606531092202e-07	0.000114998641517	0.262625833685772	0.00021997326976800003	1.0074463547210032e-05	0.28953319803780403	0.330519972478898	7.9012872925118565	0.011714215742697001	0.001257460308943	0.0017353150016040002	0.7876571072458861	0.06399686746975501	3.101243097475198
5940.0.	0.13633018903517702	0.00046935508322200006	0.21653906438451	0.065434986115145	5.148846365174701e-06	4.5152188921579936e-06	0.0007906285863090001	0.308363943729535	0.039848319642635	0.000989507385713	0.6208664468793811	0.019133553120617	0.004384013422787001	0.00279745298303	0.010148188753158	0.0009723817532750001	0.00045412871610900005	0.001209467208119	0.0036699705119500005	1.664172156374956	0.0017629690789350001	0.20195228202926102	0.00027978943762000004	3.2865033475804964e-05	0.00022140286267200002	2.826120762047918e-06	9.038624731021447e-05	1.7164959084908413e-05	2.9900033661158593e-05	0.000195942105687	4.192856269242111e-05	4.3910897765175465e-05	6.647601940222012e-05	6.623523990230458e-07	0.00011492963340200001	0.26247819169294	0.000215535148306	9.832528509425772e-06	0.28959693909977	0.33052577119067	7.885453802065627	0.015700956537739	0.0012532020087590002	0.002497692061571	0.7833548257289401	0.06399551663646301	3.0817162005890992
6480.0.	0.137787081586066	0.00043125094542800004	0.20402216265169001	0.075983563759077	6.455703220009904e-06	6.2237493764244615e-06	0.000935911465273	0.30834904977064403	0.039710299066863006	0.0009688181242400001	0.6215656653056071	0.018434334694391	0.004078941593276	0.0025705095021310003	0.010085825792462	0.0009246478314210001	0.00042188417705700006	0.001187139540168	0.0038023946300020004	1.6632063127350252	0.001688467253297	0.201873256476078	0.00027987729513500003	3.163902237116932e-05	0.00022033881804500003	2.820017168229633e-06	0.000106387214584	1.7024414240112354e-05	3.4943196532370884e-05	0.000194988153977	4.147188563606001e-05	3.851149772907798e-05	5.486890167923003e-05	5.464222493322778e-07	0.00011493431880400001	0.26233055965741303	0.00021330072013400002	9.712642287572338e-06	0.28965938345756403	0.330527194208724	7.860142805421434	0.020335468430405002	0.001249232745435	0.0034635221796050003	0.7783092531251381	0.06399381928480001	3.062885698701706
7020.0.	0.13891474785760702	0.00040583293506500005	0.19176616828655502	0.08598849590190401	7.93011829276202e-06	8.323129076357243e-06	0.0010905398124960001	0.308346602200851	0.039550830998709006	0.000953804359962	0.621945261364489	0.018054738635509	0.0038170793340280003	0.0022884783428190002	0.009849454300058002	0.0008870944940220001	0.000399189523707	0.0011614331747370002	0.004102025415519001	1.6620104897956032	0.0016150831019830002	0.201773217053747	0.00027992849395100004	3.0973640602811875e-05	0.00021671321964100002	2.778642860864997e-06	0.00012167241815100001	1.667760857191735e-05	3.9745542608753034e-05	0.000191770657116	4.0551584244077046e-05	3.5179564092896454e-05	4.663302171369331e-05	4.6415181095341365e-07	0.00011497259049700001	0.262182925265782	0.000212170719206	9.654428955269567e-06	0.289719567228506	0.330526106197832	7.824744830681054	0.025622108733326	0.0012494422034770001	0.004659331639320001	0.7725032198839961	0.063991734613652	3.045050549893622
7560.0.	0.139829301509346	0.00039219464549400005	0.179882860251302	0.095355628090716	9.581414530020978e-06	1.0856163663093842e-05	0.001255206011097	0.308352424314755	0.039418701123944	0.000945856436368	0.6221583627935	0.017841637206498	0.003633990966993	0.002045901249968	0.009553668806282	0.000859898365307	0.00038580241651100004	0.001132285618667	0.0044541542059	1.660557029036356	0.001547115981814	0.20165134557366102	0.000279958329973	3.059953063126995e-05	0.00021153124520800003	2.717978666920132e-06	0.000136090362503	1.62237126371386e-05	4.4260472802725126e-05	0.00018715862034100002	3.9360508050248866e-05	3.3150219886153745e-05	4.0974223872348297e-05	4.0761998113451135e-07	0.00011502577331900001	0.26203528583616303	0.00021159226347800003	9.627243709665597e-06	0.289777093470066	0.33052368487475303	7.778753273831081	0.031564250439538005	0.001255512615068	0.006112778960918001	0.7659208670173361	0.063989220546286	3.028372992621176
8100.0.	0.140625880758975	0.00038764584373900005	0.168431334827733	0.104045261847652	1.14214712528195e-05	1.3867693660267261e-05	0.001430890383154	0.308363464776422	0.039348021924455	0.0009443482261270001	0.6222860740439751	0.017713925956024	0.003534126127324	0.001883281287809	0.009293549572814001	0.00084419152073	0.00037990475386300005	0.0011044565397480002	0.004757808995091001	1.658816801287211	0.0014919764551390002	0.201506379864951	0.000279975716863	3.037460256956265e-05	0.00020549488156000002	2.6490988333315927e-06	0.00014960262433900002	1.573002563715687e-05	4.84715681736269e-05	0.00018176029179700002	3.803070115185186e-05	3.19207855271049e-05	3.7179634315911284e-05	3.697133825745671e-07	0.00011508530347800001	0.261887642022936	0.000211288337243	9.615679986410282e-06	0.289831845347425	0.330520645035138	7.721697332238575	0.038165645563341004	0.0012671044316900002	0.007852993314342001	0.758546278121586	0.063986233036894	3.012919965130258
8640.0.	0.141369065711756	0.00038865533928000005	0.15743595616501602	0.11205295084637601	1.3465295415232111e-05	1.74054307988431e-05	0.001618861532235	0.30837759485375205	0.039357511637812	0.0009473196436540001	0.6223711317561771	0.017628868243822	0.003498112855272	0.0017973774432750002	0.009122204408442	0.000838335251766	0.000378846021459	0.001083110606501	0.004956356013233	1.656758794272473	0.0014546476769770002	0.201336698343266	0.00027998584904400005	3.0224144780133304e-05	0.000199066833352	2.578862926024823e-06	0.000162240635075	1.5237326510849331e-05	5.2381452049847274e-05	0.000175980537788	3.6647839789050505e-05	3.117242195504761e-05	3.4680157333496654e-05	3.447507901004632e-07	0.00011514735977500001	0.26173999532562103	0.00021112071424300003	9.612025184921584e-06	0.28988384181631605	0.33051740460273205	7.653087771855518	0.045431493749372005	0.001282484410704	0.009910986975155	0.750362376643073	0.06398272523708201	2.998696482228285
9180.0.	0.142092376537649	0.000391976485391	0.14689976286293602	0.11939531353386101	1.573172541724405e-05	2.1520970482893972e-05	0.001820695754125	0.30839338374545805	0.039451981657237005	0.0009524817311820001	0.6224358397267571	0.017564160273242	0.003498856731384	0.001766336427671	0.009044833978447001	0.0008383914504680001	0.00038006689055900006	0.0010701974386910001	0.005046583082214001	1.6543496091149201	0.0014346065427190001	0.20114036486656703	0.000279991753554	3.010921721854707e-05	0.000192536709315	2.5109389190749063e-06	0.00017407115177100002	1.47668017671666e-05	5.6003187587838694e-05	0.00017007807704000002	3.5264935925369865e-05	3.070802501967877e-05	3.30526733652494e-05	3.285062754504998e-07	0.00011521031074900001	0.261592347187929	0.000211020739214	9.61240434354033e-06	0.289933165377593	0.330514197762937	7.572386945498953	0.05336932280121601	0.00129950740322	0.012320158820449002	0.7413499885043401	0.063978646488055	2.98567004230354
9720.0.	0.142805564857482	0.000395391667613	0.136813720996686	0.126100335068371	1.8244290044600052e-05	2.627102007622662e-05	0.002038315605109	0.308409900844379	0.039626044891927004	0.000958020124198	0.6224915642298261	0.017508435770173	0.0035137637875480004	0.0017667269471640002	0.009036142395541001	0.0008405502746600001	0.00038174235549400003	0.0010643713213950002	0.005058941645454	1.651552846815742	0.0014271446786120001	0.200915135084985	0.00027999519439800004	3.0009996714013004e-05	0.00018607687350500002	2.4468662896004848e-06	0.00018517233060100002	1.4326830249763741e-05	5.935436063408924e-05	0.00016421226837700002	3.3913219334942094e-05	3.0408237862563275e-05	3.199753232713578e-05	3.1798566624584e-07	0.00011527350994600001	0.26144469874311	0.00021095448928400002	9.614851815229348e-06	0.289979926152362	0.330511148292063	7.479004338475146	0.061989760214213006	0.001316428002038	0.015116907848903	0.7314869953218911	0.06397394109910401	2.973787222331529
10260.0.	0.143504926648368	0.00039783296234300003	0.12716269844733502	0.132201170003437	2.103227084532401e-05	3.17188921259634e-05	0.002274049172684	0.308426560051658	0.039868636643079006	0.0009628958082450001	0.622543858248179	0.017456141751819	0.003529064871892	0.001780384998587	0.009063528101883002	0.0008424907387020001	0.00038292913433400004	0.0010628861806290001	0.005031100319507	1.648328361903875	0.0014265123646220001	0.20065842911711101	0.000279997199543	2.9916808391989263e-05	0.00017978433534400002	2.386953963653497e-06	0.000195619693711	1.3918516511150622e-05	6.245350470544903e-05	0.000158477432446	3.2609951481377213e-05	3.0202118825833704e-05	3.1310042098638964e-05	3.111426984352407e-07	0.000115336736283	0.261297050801555	0.000210905299833	9.618364193521156e-06	0.290024244193877	0.33050831554785304	7.37230647847511	0.07130725894175301	0.001332226771331	0.018341379531453	0.720747517398968	0.063968546863721	2.962984297413932
10800.0.	0.14418213173215502	0.000399083125232	0.117929108961071	0.13773241301650702	2.413205450776569e-05	3.7936331324296975e-05	0.002530712778682	0.308443005200468	0.040166825428002005	0.0009667433645310001	0.6225952927004	0.017404707299598	0.0035388364067040004	0.0017958720165040002	0.009101557420710001	0.0008433391948580001	0.000383363906007	0.0010632281792190001	0.004991880265184	1.644631351765026	0.001428171135145	0.200367274419905	0.00027999836803800003	2.9825175850019902e-05	0.000173709711819	2.330915877281205e-06	0.000205479621447	1.3539518394500161e-05	6.531826140829921e-05	0.00015292648563	3.136370861570217e-05	3.004824844799467e-05	3.085429791814922e-05	3.0661817310945187e-07	0.000115399940408	0.261149403912781	0.00021086503414300003	9.622435828018007e-06	0.29006624091709005	0.33050572258570105	7.251627838392493	0.08134082648872201	0.001346535070083	0.022038376482262003	0.7091010783197721	0.063962393245064	2.9531936766275493
11340.0.	0.14482960577036702	0.00039937187876200005	0.109095037826595	0.14272796877410102	2.7588902615516215e-05	4.50057756770299e-05	0.002811721608157	0.30845902956619003	0.040508208535633	0.0009696113339380001	0.6226470228759851	0.017352977124013	0.003542194883166	0.0018076580744750001	0.009135988788157001	0.0008430857785850001	0.000383159447157	0.001063773507657	0.0049571567195800005	1.640411235935265	0.001429486120919	0.20003821994127302	0.00027999904897700004	2.9733085427885423e-05	0.00016787610476900002	2.278252474823865e-06	0.000214807573207	1.3186306830676903e-05	6.79646405827869e-05	0.000147586626372	3.0177827764834493e-05	2.9922831311380335e-05	3.0542153596923476e-05	3.0353018189562467e-07	0.00011546313397700002	0.26100175843696805	0.00021082974147300002	9.626825964357921e-06	0.290106035062282	0.33050337292859505	7.116274958397526	0.092114793417227	0.001359394121993	0.026258479165131	0.6965117148669271	0.063955399130966	2.9443475970305153
