time	Active_R2	Active_Rec	Active_Rec_endo	Inactive_Rec	S2_c	S2_n	S4_c	S4_n	S7	Smad7mRNA	Smad7mRNA1	TGFb	TGFb_In	TGFb_R1_endo	TGFb_R1_surface	TGFb_R2_endo	TGFb_R2_surface	pS2_c	pS2_n	pS2_pS2_S4_c	pS2_pS2_S4_n	pS2_pS2_pS2_c	pS2_pS2_pS2_n
0.0.	0.0	0.0	0.0	0.0	638.6434569983305	237.3986823746695	460.47553390939777	169.41748794160216	12.04336522068238	0.05642005114558601	0.36708251187032304	100.0	0.0	18.76309651441353	16.10971602608647	28.05808131865988	6.941118732440118	0.0	0.0	0.0	3.3735033418337667e-80	0.0	0.0
3.0.	2.101465677100678	5.294921908888557	0.527747663458476	8.413192136737454	606.7422030915583	229.0992463819447	442.8882159800182	168.8631461443778	3.650985686367971	0.056420051799098	0.367082693004101	99.97178867730136	0.036352464808619006	15.076487799795519	5.843802753773341	18.43486329785164	0.22166619144642402	0.130919583634119	0.09621929729183801	15.738816550512515	4.25134455495821	0.040813610335721	0.020266115965908
6.0.	3.229098079533468	7.722307091554917	0.9313094869471521	9.368134175035722	535.4609983202291	207.3829356394274	402.7175713837618	168.69969329550415	2.7234851032949843	0.056422680462417	0.36742659252497	99.94233020175241	0.07580000472051801	12.781335431288879	5.096829888391128	13.42898267101615	0.32208878770004	0.218133823846648	0.22488505440657203	46.52545020151102	23.182819294347617	0.337064890915567	0.45494663392433404
9.0.	3.69779696931075	9.076716003249503	1.177167750880257	9.727868661180823	457.4205420976057	183.3664716345415	358.103741085687	173.00588879848766	2.392955885978974	0.05662131718718601	0.38295950113012	99.9120029342075	0.103029830619626	11.81544199227424	5.067597903200113	10.97480715014404	0.363659974701645	0.282920452913881	0.33451382821046105	74.22563183271534	52.70392112510403	1.056549983789814	2.439063100254983
12.0.	3.808988678373853	9.825978805173781	1.315204180790001	9.904976245279787	393.13344149089835	163.9215103289227	321.1212077554092	182.6742629311129	2.246417354122018	0.059260698958652006	0.5167058045721961	99.88134105408912	0.11908247324050601	11.597667207718793	5.24981075556027	9.809046376653328	0.37380201089865805	0.326466592667771	0.40712541280107806	91.49073700291088	82.47040331264338	2.123208186094449	6.8563141688818074
15.0.	3.763822929930405	10.250505415700353	1.39266519590431	10.011822065689174	347.12107268110367	150.23496536639658	295.2288908334882	194.93111864184988	2.175024968828145	0.072493286394334	0.9703814127293491	99.85046292370437	0.128156822291767	11.747616846408915	5.503354657047304	9.270633624581563	0.37024606069918903	0.352070565532826	0.44725670926089606	99.43278212494408	106.11409120168172	3.295237536736371	13.53004741524744
18.0.	3.660210705162945	10.496179116845306	1.437054289017382	10.096270336651514	316.4104435807923	141.1177495295102	279.29375495762736	206.57510382884698	2.141805856280662	0.10909096836443001	1.8514481714805142	99.81939099972084	0.13333244841531	12.060227303340639	5.775319551747231	9.03073702073279	0.36159859079467904	0.364264783238055	0.46658008878914203	101.50665904076597	122.19262393476323	4.330132046505725	21.66209201447729
21.0.	3.54056132872073	10.63271501857388	1.462338932104708	10.189290348530108	296.41084865955463	135.0436456813089	270.7444579321577	215.778755106174	2.134529975547849	0.17870793746780603	3.075652751348877	99.78809487904775	0.13634374213262002	12.4301208196395	6.042554317222255	8.92799974150942	0.351624319774583	0.36771296056317004	0.474607024839365	100.62824753950822	131.84438971089145	5.091390920000489	30.434103530125856
24.0.	3.421213580251748	10.690632423646424	1.474982613709429	10.315757485065571	283.27526039039753	130.84460968213764	267.10949724589074	222.08857614794843	2.150833010946238	0.282874603060887	4.468805942938253	99.75649134914674	0.13806364819890501	12.803368683304665	6.295032712698	8.882431414924145	0.34182074521315203	0.366164044334283	0.47712920752214005	98.56890246165253	136.92318019736203	5.557051103643768	39.23677988630588
27.0.	3.307210996859898	10.682650793048014	1.477765160234712	10.495408913332486	274.4031101545045	127.79109500170159	266.5184668122423	225.84616211857198	2.191994633879809	0.41600231245158004	5.87546246411902	99.72444573541503	0.13890167224240102	13.15213654908019	6.529424369622092	8.853044234921535	0.332693912842042	0.36208264115933303	0.47723378358979	96.1967829216926	139.09189417395498	5.773458039570117	47.682126174333334
30.0.	3.199137688099138	10.614873382239175	1.471911884171631	10.742034781945321	268.2419713048521	125.4803848255514	267.7209370107995	227.67953255810244	2.260206697192204	0.5689222414711851	7.195510823877818	99.69178138177348	0.139045969680078	13.46234132245194	6.7460021450942165	8.81786866043368	0.32434383039500403	0.35685062508970306	0.47640627030221905	93.85125222867588	139.54464472334377	5.807935270058166	55.55247807475592
33.0.	3.096090394271606	10.491886668113455	1.458146081409303	11.063244493520175	263.93881551048406	123.70777201112848	269.94560870701923	228.20784042327364	2.3575262107019093	0.731931283547678	8.377636210982441	99.65829424201851	0.13859266071811302	13.727769208841295	6.946935073799666	8.76478799497883	0.316719401097581	0.351149078268139	0.47527065259593304	91.61942056409048	139.03065679490382	5.7218650779205955	62.74414271246748
36.0.	2.996886528328248	10.3186545373973	1.437134111947178	11.46102438500825	261.04581896077457	122.37258860300318	272.7437036537981	227.92017368529568	2.48560010938972	0.8965037822653831	9.40214988887071	99.62376848183605	0.137607179599703	13.94713061195806	7.135281111279253	8.687323468297391	0.30972450978571003	0.34527886066545704	0.474028361593595	89.49252117920257	137.97593240909976	5.561623720875943	69.22270856180103
