time	s1	s10	s11	s12	s13	s14	s15	s16	s17	s2	s3	s4	s5	s6	s7	s8	s9
0.0.	100.0	-6.310887241768095e-30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0.3.0	1.713097664260174	0.42105865804999404	0.569026808225591	3.754279562798742	2.100054347873588	0.20742226479198403	0.45219975585252303	0.20491804006439002	0.15670525298902002	39.040416272654404	23.2001610254771	1.6619046405805311	11.213556105538435	5.00239224807803	0.10073289708972201	5.419258268751198	4.782816186924564
0.0.6.0	1.092382688911934	0.9265149110039411	0.602747788014199	3.617811714982972	2.141564809468915	0.22031312257123703	0.463642246544386	0.21471339730670003	0.16780986031691703	22.64090827207271	39.586121854972596	1.063112575319519	11.281639620264311	5.342299722183528	0.103562062189645	5.787491365698826	4.747363988177638
0.0.8999999999999999.0	0.780167438706821	1.425898558673408	0.622138589333674	3.404031325790611	2.129432689174844	0.228011585175586	0.46347033305135404	0.21925983889288	0.17507905148643402	13.538997748814246	48.97810280541586	0.68329668404549	11.070201284122184	5.558753293196559	0.10379922691898301	6.021982734296277	4.597376812904785
1.0.2.0	0.5998853661440501	1.9105478550774682	0.633332286409639	3.161714414470037	2.088705020373353	0.23273578811143203	0.45700802956656805	0.220835498611366	0.180149483555467	8.465580476608508	54.48088189261572	0.47183819496473306	10.716947840641382	5.704411410831466	0.10262245166708901	6.179779028400756	4.393024961950965
1.0.5.0	0.49407606894784906	2.37641508132656	0.6397692969350971	2.916513783970376	2.033340605612027	0.23572986390695802	0.44722893018797905	0.22071824696869602	0.18393863659196302	5.622162291630219	57.80849381331908	0.354015367675645	10.298031961054587	5.808799398724566	0.100690313211617	6.292866015284947	4.167210324651847
1.0.7999999999999998.0	0.429918840957552	2.822002770026565	0.643379435399941	2.681279845985768	1.9710768102043192	0.23769156685605303	0.435787565263457	0.21962462870918703	0.18696066099330802	4.01489826877789	59.91062747786533	0.28804641290411803	9.855108251226753	5.888467963641341	0.098369833740843	6.379173627278122	3.937586040169454
2.0.1.0	0.38921245143638306	3.247173785553705	0.6452477516403471	2.461878616592517	1.9061764912659331	0.23901311000966902	0.42360138811485104	0.21795727033008902	0.189504172250608	3.093897890626248	61.314219024400394	0.25081394188449	9.410610592899625	5.952712527321512	0.095865083331491	6.448771904598307	3.713343997743869
2.0.4.0	0.361856052990566	3.652495058882745	0.6459905143253031	2.26044839305777	1.8409771449011192	0.23991717123324102	0.41117906723873804	0.215944540533394	0.191732680491971	2.554818072486292	62.31225427084043	0.22952722232334302	8.97636104921931	6.006803592212939	0.09328973083054501	6.507370558230686	3.49903488020164
2.0.6999999999999997.0	0.34223205336240203	4.038877864460048	0.6459633673350941	2.077186515710116	1.776748590772821	0.24053218901459703	0.39880226082173903	0.21371787724746202	0.193740187608676	2.229139730512551	63.06820068055553	0.21710739127392	8.558333497494242	6.053775077741487	0.090707215990841	6.558256334219945	3.296679165878556
3.0.	0.32720520495981903	4.407381921865881	0.6453765756064991	1.9113242572234181	1.714167856863686	0.240934048565202	0.386626276942373	0.211354606173234	0.19558196475810002	2.023481484613207	63.67377683649577	0.209635091647788	8.15928867891274	6.095414336701092	0.088152996227879	6.603365531426182	3.106932331017161
3.0.3.0	0.31501569457781803	4.759109914702821	0.644358872992552	1.761654163852537	1.653582281935663	0.241169175202074	0.374735857374048	0.208901668669696	0.197291600017856	1.886034325375679	64.18091328411064	0.20493879748128602	7.780231765499659	6.132810550492834	0.08564687620545301	6.643878096367236	2.929727075142158
3.0.5999999999999996.0	0.30466670377022703	5.095151836215788	0.642992873189649	1.626811185320065	1.595155429832107	0.24126734106260503	0.36317612905351304	0.20638878679847802	0.19889045004046702	1.7879961725462952	64.61943845611957	0.20181402168615	7.421218515736604	6.166658796540217	0.083199849774438	6.6805470295852345	2.764626422728671
3.0.9.0	0.29558546827575805	5.41655672162281	0.6413347438740961	1.505418799971559	1.53894813950331	0.24124877935778702	0.351969810363333	0.20383578246077802	0.20039288841435302	1.713302500184613	65.00686873892819	0.199591446841571	7.081801003955983	6.197428913400293	0.08081790439877701	6.713881322850316	2.611017035596527
4.0.2.0	0.28743562466697803	5.724319365113342	0.639425168838739	1.3961615098084361	1.4849636545634182	0.24112814733315802	0.341126805227487	0.201256659736987	0.201809227302908	1.652945434864694	65.35383073648164	0.197898039776151	6.761273880824046	6.225459523205338	0.078504143385122	6.744247816805781	2.46821426206581
4.0.5.0	0.28001324795444804	6.019375171235278	0.6372954843084551	1.29781753474226	1.4331728461175	0.24091674372687702	0.33064957820045204	0.19866189385653302	0.203147350474912	1.6018306863731029	65.6670671405742	0.19652490139946602	6.458810211294841	6.251010602354442	0.076259975761434	6.771928152550642	2.335518479075165
4.0.8.0	0.27318919405315	6.302599360493656	0.6349711394271861	1.209270313333721	1.383528389892972	0.24062375845720102	0.32053618810947904	0.19605972539983302	0.20441363203227403	1.557038194115665	65.95110550485013	0.19535415179874802	6.173536156994693	6.274293073158238	0.07408578871415601	6.797150829254755	2.212244599914158
5.0.1.0	0.26687706797838	6.574808446711462	0.6324736706950821	1.129509010161973	1.335972802636578	0.24025698491942102	0.310782019545826	0.19345690170377103	0.205613458629908	1.5168592271925352	66.20918691962048	0.194318468667861	5.904571768468994	6.295485638526509	0.07198133224720901	6.820109441737049	2.09773684055697
5.0.3999999999999995.0	0.26101537906216005	6.836762842453117	0.62982184899417	1.057623590211033	1.290443054268109	0.23982323313591702	0.30138078778494803	0.19085911016946103	0.20675153109582903	1.4802630067804792	66.44378482900085	0.19337868768288402	5.651052981735637	6.314744518025238	0.069945943251111	6.8409732278606725	1.991375428488404
5.0.7.0	0.255557555379023	7.089169967598415	0.627032364011432	0.9927974637290371	1.246873261467361	0.239328575712793	0.292325136159135	0.18827123903560403	0.20783204286877002	1.446600966492831	66.65689668766653	0.19251139461059402	5.412143180004008	6.332209218975008	0.067978679475482	6.8598933205562584	1.8925789462577152
6.0.	0.250466316328648	7.332687522805914	0.624120248310276	0.9342992987772191	1.205196298362186	0.23877849975317003	0.28360700294371405	0.185697540800133	0.20885878924789603	1.415442516757298	66.8502095492229	0.19170204552376602	5.18703895550328	6.348006079561082	0.06607840252724001	6.877006586191172	1.800804347384137
6.0.3.0	0.24571046586913503	7.567926747797957	0.621099153344653	0.8814748280773421	1.165344789097184	0.238178005337032	0.275217856236534	0.18314174005671302	0.20983523742117702	1.386483606352123	67.02519553954258	0.190941146227632	4.974972644062807	6.3622505480487455	0.06424383165229701	6.892438093719474	1.715545767156646
6.0.6.0	0.24126303376506103	7.795455571558916	0.61798153991364	0.8337390568844101	1.127251741647909	0.23753167316491602	0.26714885179116604	0.180607109012657	0.21076457393918002	1.3594956053451002	67.1831681993827	0.190222125240908	4.775213063094973	6.375048734392702	0.062473580442193005	6.906302795592096	1.636332744831501
6.0.8999999999999995.0	0.23710017065945901	8.015801609410568	0.6147788179735191	0.7905690520023471	1.090850968379856	0.23684371398658002	0.25939094464267703	0.17809652370617002	0.21164973893575903	1.334296541979891	67.32531686707846	0.18954014486081303	4.587065250807964	6.386498533608256	0.060766183277462006	6.918706744742278	1.5627281939479571
7.0.199999999999999.0	0.23320046749237802	8.22945498807569	0.6115014554347491	0.751497371718393	1.056077375646537	0.23611800690571402	0.25193497197716	0.175612508257626	0.212493452315086	1.310734750777324	67.45272862877164	0.188891432333803	4.409869653417138	6.39669048895604	0.059120115361719	6.92974802970238	1.494326302856639
7.0.5.0	0.229544516283352	8.436870993979108	0.608159067083059	0.7161061343067471	1.022867169560012	0.235358130582061	0.24477171724999502	0.173157271332884	0.213298234859108	1.2886794279183271	67.56640313318948	0.18827289982612602	4.243001012038833	6.405708490113025	0.057533808555627	6.9395175309557775	1.430750462166496
7.0.8.0	0.226114610396972	8.638472547539177	0.6047604900408541	0.6840216923307231	0.99115800543869	0.23456738964449803	0.2378919614021	0.1707327372387	0.214066425949851	1.268015045453733	67.6672632254452	0.18768192514536602	4.085867092252727	6.4136303609691705	0.056005664302122005	6.9480995577166045	1.371651268733519
8.0.1.0	0.222894527337396	8.834652510046753	0.601313849547319	0.6549098666469261	0.960889097419179	0.233748837675147	0.23128652469162203	0.16834057308720402	0.21480019889808702	1.248637934398735	67.75616305621845	0.187116222285336	3.937907338506628	6.420528369069799	0.054534064419489006	6.955572399825616	1.316704629926311
8.0.4.0	0.219869362029073	9.025775831558919	0.597826617353942	0.628471689754309	0.9320012984807081	0.23290529758916803	0.22494630133884502	0.165982212912998	0.215501574475739	1.230454098535695	67.83389460247065	0.18657376247016602	3.798591501304265	6.426469676032396	0.053117380247667004	6.9620088157017666	1.265609977743675
8.0.7.0	0.217025392375778	9.212181548962533	0.5943056641921141	0.604439608537518	0.9044371575518481	0.232039379931571	0.21886228842551203	0.16365887931164802	0.216172433026442	1.213377736898354	67.90119313550682	0.186052723862716	3.667418265665946	6.431516741085881	0.051753980466369004	6.967476469509708	1.218088594689225
9.0.	0.21434996659261202	9.3941846434922	0.5907573072865451	0.5825740991340741	0.8781409582753551	0.23115349943821803	0.21302561004735301	0.16137160298646303	0.21681452540099802	1.197330183400912	67.9587419489684	0.18555145778439902	3.5439138981501133	6.435727685763704	0.050442237806116	6.972038326244015	1.173882049228522
9.0.299999999999999.0	0.21183140611112602	9.57207776679827	0.58718735360464	0.5626606503189641	0.8530587427469031	0.23024989010599603	0.20742753745247902	0.15912124048281	0.21742948288992803	1.182239099848381	68.0071765342622	0.185068464656542	3.427630923147571	6.439156625375677	0.049180534814780005	6.975753010823652	1.132750736560057
9.0.6.0	0.20945892027951002	9.746132844307356	0.583601139360379	0.5445070757656011	0.8291383227557171	0.22933061895553802	0.202059505731972	0.156908490323448	0.218018826280544	1.1680378294958351	68.0470883203017	0.18460237584687803	3.318146835198106	6.441853971435983	0.047967268805676005	6.978675135722318	1.094472519433424
9.0.9.0	0.20722253045548	9.916602564186183	0.580003566183098	0.5279411194582	0.8063292805386251	0.228397598631071	0.19691312751984202	0.154733907716285	0.21858397413806602	1.154664857789761	68.07902805407358	0.184151939255806	3.215062851611437	6.443866708319983	0.046800856089295004	6.980855600679985	1.058841463353297
10.0.2.0	0.20511300188266202	10.083721759756804	0.576399134289806	0.5128083222277561	0.7845829607014491	0.227452598956377	0.191980204083801	0.152597917977654	0.219126250392033	1.142063348962355	68.10350887505477	0.18371600739604801	3.118002708075621	6.445238646828401	0.045679735574227005	6.982341867397437	1.025666660442788
