time	A	I1	I2	S
0.0.	500.0	10000.0	2000.0	2500.0
1.0.	1651.9878880338547	9791.816221348367	1738.4694662501024	2330.5900676482665
2.0.	2003.956881924803	9502.507931377228	1524.967712468303	2306.7232227535483
3.0.	2072.9810938660225	9249.940069340215	1349.9404478177692	2310.7585848932936
4.0.	2050.5971369689855	9051.315534499665	1206.4552258620877	2313.7482244107437
5.0.	2005.10881546251	8899.278537697814	1088.9686374783387	2311.1352539399763
6.0.	1959.2342346441737	8782.807702795066	992.8963313978763	2304.396879290125
7.0.	1919.3702673553657	8692.58155425949	914.4204473588723	2295.70049980966
8.0.	1886.4061466370763	8621.73572775969	850.3688993060512	2286.617085392673
9.0.	1859.5990808744828	8565.422947742229	798.118356293137	2278.0404109102205
10.0.	1837.8894952514734	8520.22579622806	755.5088658007917	2270.3821761766435
11.0.	1820.2996532986028	8483.691135420224	720.7681746892405	2263.766916755177
12.0.	1806.0212523653781	8454.011725483286	692.4457784835157	2258.168078101403
13.0.	1794.4081866175345	8429.82042683269	669.356539397862	2253.4901378488066
14.0.	1784.9475300277184	8410.059002941272	650.5332260602382	2249.6138207154677
15.0.	1777.2309024787917	8393.893459435774	635.1870093344705	2246.4190360202056
16.0.	1770.9313144688963	8380.657816423754	622.6748336394568	2243.7953410105047
17.0.	1765.7854750877366	8369.815336402628	612.4726058676401	2241.6458120629745
18.0.	1761.5804068099417	8360.93072231123	604.1532389694305	2239.8876318072703
19.0.	1758.1432346919878	8353.649464231308	597.3687103082173	2238.451169736285
20.0.	1755.3332874203004	8347.682047307531	591.8354209609838	2237.278474770773
21.0.	1753.0359006199642	8342.791609409476	587.322258965247	2236.3216341341495
22.0.	1751.1574981337558	8338.784141343298	583.640872228235	2235.5412093331593
23.0.	1749.621652401115	8335.500619387707	580.6377444533015	2234.904835568282
24.0.	1748.3659083044768	8332.810640991944	578.1877408860204	2234.3860092546374
25.0.	1747.3392106539268	8330.607249736056	576.1888515635246	2233.96305925421
26.0.	1746.4998138706565	8328.80271252892	574.5579098706955	2233.618284938513
27.0.	1745.8135797030259	8327.325065650228	573.2271052895329	2233.3372400033927
28.0.	1745.252588814158	8326.115285168085	572.141142810066	2233.1081407538336
29.0.	1744.794007168516	8325.124966446698	571.2549288732896	2232.9213791702405
30.0.	1744.419159781473	8324.314419895098	570.5316860505591	2232.7691233475934
31.0.	1744.1127735225728	8323.65110768813	569.9414168538215	2232.6449903156235
32.0.	1743.8623579096882	8323.108360158769	569.4596518791993	2232.5437785421077
33.0.	1743.6576986358218	8322.66432177371	569.0664295382834	2232.46124948273
34.0.	1743.4904432489097	8322.301085671485	568.7454644387609	2232.3939493358866
35.0.	1743.3537621930063	8322.003983115195	568.4834694563359	2232.3390636931954
36.0.	1743.2420714960147	8321.761000230044	568.2696030337573	2232.2942990676665
37.0.	1743.150805893972	8321.562299322057	568.0950185273659	2232.257786359483
38.0.	1743.0762332245886	8321.39982611496	567.9524967224975	2232.2280022133955
39.0.	1743.0153025905781	8321.266987560579	567.8361461398617	2232.2037049597097
40.0.	1742.9655201562675	8321.15838760622	567.7411586048811	2232.1838824376373
41.0.	1742.9248475555278	8321.069610546461	567.6636098723009	2232.1677094974566
42.0.	1742.8916188008627	8320.997043432824	567.6002969878265	2232.1545133851814
43.0.	1742.8644723296677	8320.937730534095	567.548605607375	2232.143745546175
44.0.	1742.8422954344203	8320.889254089992	567.5064017479747	2232.1349586556994
45.0.	1742.8241788235105	8320.84963662922	567.4719434655077	2232.127787905768
46.0.	1742.8093794687195	8320.817260968794	567.4438087865174	2232.1219357581053
47.0.	1742.797290230403	8320.790804707096	567.4208368993268	2232.1171595198666
48.0.	1742.7874150257314	8320.76918659474	567.4020801623259	2232.113261218436
49.0.	1742.7793485298378	8320.751522637242	567.386764937712	2232.1100793489427
50.0.	1742.7727595835217	8320.737090169414	567.3742596261833	2232.1074821473835
51.0.	1742.7673776315403	8320.725298458327	567.3640485774822	2232.1053621067176
52.0.	1742.762981638609	8320.715664651976	567.3557107957965	2232.103631505794
53.0.	1742.7593910309354	8320.707794104042	567.3489025581234	2232.1022187636845
54.0.	1742.7564582935286	8320.701364280758	567.3433432260649	2232.1010654667293
55.0.	1742.7540629209284	8320.69611159906	567.3388036639518	2232.100123943952
56.0.	1742.7521064741306	8320.691820663367	567.3350967842322	2232.099355289521
57.0.	1742.7505085416026	8320.688315464748	567.3320698291791	2232.0987277496884
58.0.	1742.7492034391676	8320.685452185326	567.3295980698832	2232.0982154069216
59.0.	1742.7481375136886	8320.683113315676	567.3275796621463	2232.0977971063962
60.0.	1742.747266940156	8320.68120284599	567.3259314467685	2232.097455580152
61.0.	1742.746555921958	8320.679642335335	567.324585520777	2232.0971767324636
62.0.	1742.7459752205689	8320.678367698838	567.3234864380181	2232.0969490567104
63.0.	1742.7455009544108	8320.67732658192	567.3225889235513	2232.0967631595395
64.0.	1742.7451136176235	8320.676476214348	567.321856007507	2232.096611372536
65.0.	1742.7447972785105	8320.67578165661	567.3212575014077	2232.0964874353103
66.0.	1742.7445389247662	8320.675214366887	567.3207687540815	2232.0963862368435
67.0.	1742.744327928621	8320.674751030134	567.3203696358553	2232.096303604379
68.0.	1742.7441556099534	8320.6743726013	567.3200437091272	2232.096236131111
69.0.	1742.7440148794196	8320.674063523613	567.3197775511114	2232.0961810355334
70.0.	1742.7438999469682	8320.673811089906	567.3195602008367	2232.0961360466313
71.0.	1742.7438060837455	8320.673604920803	567.3193827075934	2232.0960993101608
72.0.	1742.7437294276272	8320.673436538427	567.3192377622134	2232.096069312141
73.0.	1742.7436668243788	8320.673299018157	567.3191193959955	2232.0960448163955
74.0.	1742.7436156979225	8320.673186704107	567.3190227348476	2232.096024813567
75.0.	1742.7435739443742	8320.673094976743	567.3189437985325	2232.0960084794892
76.0.	1742.7435398455007	8320.673020063012	567.3188793367339	2232.0959951411987
77.0.	1742.7435119980325	8320.67295888128	567.3188266951911	2232.0959842491948
78.0.	1742.7434892559356	8320.672908914645	567.3187837063862	2232.095975354779
79.0.	1742.743470683261	8320.672868107467	567.31874860028	2232.095968091565
80.0.	1742.7434555156333	8320.67283478084	567.3187199314185	2232.095962160373
81.0.	1742.7434431288043	8320.672807563571	567.3186965194099	2232.0959573169025
82.0.	1742.743433012964	8320.672785335779	567.318677400315	2232.095953361664
83.0.	1742.7434247517626	8320.672767182848	567.3186617869551	2232.0959501317557
84.0.	1742.743418005179	8320.672752357807	567.3186490364976	2232.095947494156
85.0.	1742.7434124955282	8320.6727402506	567.3186386239859	2232.0959453402406
86.0.	1742.7434079960333	8320.672730363001	567.3186301207242	2232.095943581308
87.0.	1742.7434043214932	8320.672722288109	567.3186231766257	2232.0959421449215
88.0.	1742.7434013206607	8320.672715693612	567.3186175057979	2232.095940971932
89.0.	1742.7433988700168	8320.672710308116	567.318612874771	2232.0959400140378
90.0.	1742.7433968686887	8320.672705909972	567.3186090928857	2232.0959392317945
91.0.	1742.7433952342967	8320.672702318172	567.3186060044433	2232.0959385929905
92.0.	1742.743393899566	8320.672699384888	567.3186034822929	2232.095938071325
93.0.	1742.7433928095554	8320.67269698939	567.3186014225996	2232.095937645315
94.0.	1742.7433919193954	8320.672695033085	567.3185997405672	2232.095937297422
95.0.	1742.7433911924452	8320.67269343545	567.318598366948	2232.0959370133205
96.0.	1742.7433905987807	8320.672692130736	567.3185972451917	2232.0959367813143
97.0.	1742.7433901139646	8320.672691065229	567.3185963291176	2232.095936591849
