time	atp	fbp	phos
0.0.	1.0	2.0	10.0
0.0.3.0	0.8374032643348741	2.461511407616155	9.26870594891337
0.0.6.0	0.9047344703370551	2.859283090208293	8.50733806755753
0.0.8999999999999999.0	0.9567654465013211	3.204557230440861	7.926425540040115
1.0.2.0	0.9906236007680971	3.515710079521182	7.4778866492345974
1.0.5.0	1.013700927220928	3.803841434782718	7.122133490648535
1.0.7999999999999998.0	1.03047940454359	4.075438009137941	6.834554330337966
2.0.1.0	1.043499351784509	4.3343727264839025	6.599482573508448
2.0.4.0	1.054291938039363	4.582958365766442	6.406533749745143
2.0.6999999999999997.0	1.063850350464508	4.822507912234177	6.248635761008067
3.0.	1.072866995449735	5.053646382198115	6.120924157218325
3.0.3.0	1.081859646730591	5.2764910975094015	6.020088597565454
3.0.5999999999999996.0	1.091241739303813	5.490758884849337	5.943967892578933
3.0.9.0	1.10136223687534	5.695831684353919	5.891288089700858
4.0.2.0	1.112527290941719	5.890799094219473	5.861484359906051
4.0.5.0	1.125009716023464	6.074489992625158	5.854570581952617
4.0.8.0	1.139049305956672	6.245502193956621	5.871032540725221
5.0.1.0	1.154845657861648	6.402237414590019	5.911727222508226
5.0.3999999999999995.0	1.172544810726901	6.542947637977097	5.977774801772242
5.0.7.0	1.192221353864843	6.665797572162207	6.070433408872489
6.0.	1.213858503700055	6.768945767694064	6.190950889901275
6.0.3.0	1.237329690059541	6.850643840454076	6.340393259672764
6.0.6.0	1.262385988905306	6.909349245733533	6.519456473706493
6.0.8999999999999995.0	1.28865374790462	6.943842814698934	6.728275670085139
7.0.199999999999999.0	1.315645549155964	6.953338893713301	6.966252398451514
7.0.5.0	1.3427852151915651	6.937574658565573	7.23192331492151
7.0.8.0	1.369444447802282	6.896866833507949	7.522891567914656
8.0.1.0	1.3949859120503731	6.832128531948242	7.83583430570525
8.0.4.0	1.4188061669600192	6.7448451110793926	8.166588093570907
8.0.7.0	1.440372299813591	6.637014029719231	8.510301778553332
9.0.	1.459248157303695	6.5110580756996335	8.861636945995286
9.0.299999999999999.0	1.47510880592713	6.369723119040886	9.214991815520223
9.0.6.0	1.4877443121339802	6.2159708589100084	9.56472550436775
9.0.9.0	1.497055460721844	6.052874687576022	9.905364619286388
10.0.2.0	1.503044475838978	5.883523847140098	10.231780910519635
10.0.5.0	1.505803406873369	5.710938381280681	10.53933518526041
10.0.799999999999999.0	1.505501986093242	5.5379954893652386	10.823987522394418
11.0.1.0	1.502375823789884	5.367366910320967	11.082376587869591
11.0.4.0	1.496715031906025	5.201466772482838	11.31187170424127
11.0.7.0	1.488852888349097	5.04240967624039	11.51060083142564
12.0.	1.479154006471867	4.8919793159031375	11.677456450076056
12.0.299999999999999.0	1.468001626260041	4.751608402186154	11.812080153128367
12.0.6.0	1.455784013814243	4.62237079002632	11.914826058244147
12.0.9.0	1.442880422339631	4.504986425925286	11.986703259918164
13.0.2.0	1.429647487839846	4.399839013098646	12.02929849511035
13.0.5.0	1.41640717320759	4.307005290229676	12.044681786906756
13.0.799999999999999.0	1.403437352542672	4.226293763279543	12.035299634979859
14.0.1.0	1.390965840531189	4.157289876844017	12.003861831359963
14.0.399999999999999.0	1.379168199195942	4.099404163803979	11.953228759220657
14.0.7.0	1.368169128301329	4.051919956304338	11.886305853292987
15.0.	1.3580468009996252	4.014037733293336	11.805950803006317
15.0.299999999999999.0	1.34883923517674	3.984913975102887	11.714897332898664
15.0.6.0	1.340551721016727	3.963693306258402	11.615697388122703
15.0.899999999999999.0	1.333164425774557	3.949533562362375	11.510681665625725
16.0.2.0	1.326639503331542	3.941624098722015	11.401936937557922
16.0.5.0	1.320927279355263	3.939198116779777	11.29129764106168
16.0.8.0	1.315971308433539	3.94154002460693	11.180348754049263
17.0.099999999999998.0	1.311712276219403	3.947988909965033	11.07043694767834
17.0.4.0	1.3080908376759321	3.95793914273349	10.962687272167758
17.0.7.0	1.305049546921284	3.970838990005693	10.858023063486069
18.0.	1.302534057195379	3.9861879637000652	10.757187248528187
18.0.3.0	1.30049376491512	4.003533456010865	10.660763702287593
18.0.599999999999998.0	1.2988820516998771	4.022467069480394	10.569197729508819
18.0.9.0	1.297656251586977	4.042620923831404	10.482815086683704
19.0.2.0	1.2967774432366639	4.063664122757277	10.401839225620803
19.0.5.0	1.296210142007804	4.085299488862139	10.326406634195578
19.0.8.0	1.295921945816358	4.107260620406063	10.256580284662672
20.0.099999999999998.0	1.295883171975027	4.129309285479295	10.192361287503191
20.0.4.0	1.2960665094357129	4.151233143932261	10.133698900766566
20.0.7.0	1.296446701417376	4.172843771570617	10.0804990711029
21.0.	1.297000266633237	4.19397495215131	10.032631691053494
21.0.3.0	1.297705262608638	4.214481198548626	9.989936753698649
21.0.599999999999998.0	1.298541091374562	4.234236463577159	9.95222957488077
21.0.9.0	1.299488345708487	4.253133002258457	9.919305238073687
22.0.2.0	1.30052869275166	4.271080350017777	9.89094239972262
22.0.5.0	1.301644791023444	4.288004384853533	9.866906574975882
22.0.8.0	1.302820236411684	4.303846445560283	9.84695300609972
23.0.099999999999998.0	1.304039532527634	4.318562482350573	9.830829199085887
23.0.4.0	1.305288080798533	4.332122220533878	9.818277198366946
23.0.7.0	1.3065521857806481	4.344508322146286	9.809035655332007
24.0.	1.307819071379021	4.355715534489033	9.802841733576257
24.0.3.0	1.309076903937217	4.365749818355083	9.799432882552779
24.0.599999999999998.0	1.310314818497376	4.374627452241843	9.798548501520754
24.0.9.0	1.311522944917355	4.382374112016715	9.799931507375087
25.0.2.0	1.3126924309582702	4.3890239282810715	9.803329813055718
25.0.5.0	1.313815459912407	4.3946185260372	9.808497717715923
25.0.8.0	1.31488526081768	4.399206053181429	9.815197205608571
26.0.099999999999998.0	1.315896109789057	4.402840205815163	9.823199147645692
26.0.4.0	1.316843321477449	4.405579259385294	9.832284397703797
26.0.7.0	1.317723230130332	4.407485115249336	9.842244774875958
27.0.	1.318533160163975	4.408622372432442	9.852883922889463
27.0.3.0	1.319271386554069	4.409057434137313	9.86401803868388
27.0.599999999999998.0	1.319937085700578	4.408857658026792	9.87547646353965
27.0.9.0	1.320530277716867	4.408090558472305	9.887102132019939
28.0.2.0	1.321051761327706	4.406823067904089	9.898751876197297
28.0.5.0	1.321503042733419	4.405120863168524	9.910296585045563
28.0.799999999999997.0	1.321886259908204	4.403047761451626	9.92162122135828
29.0.099999999999998.0	1.322204103851852	4.400665188921818	9.932624700992701
29.0.4.0	1.322459738310108	4.39803172383178	9.943219641532488
29.0.7.0	1.3226567194255892	4.39520271444575	9.953331989529124
30.0.	1.322798916685855	4.392229970865078	9.962900537257886
