time	T	TStar	V
0.0.	1000.0	0.0	200.0
8.0.	3.564535636496124	208.28900969518725	296.312564465587
16.0.	13.539750331621653	603.3055073486324	825.1410141262224
24.0.	368.5888961989077	459.6020148166202	457.89089772275025
32.0.	125.29373976094513	199.43536872572207	251.28561571418268
40.0.	30.753067918053716	267.7410429077069	367.792196325904
48.0.	24.327947334956715	407.20257943971154	557.2262637249398
56.0.	59.71686735845024	544.3744053800398	695.1811072125714
64.0.	175.8139150881925	508.4927467678541	578.2950653322207
72.0.	204.34506331691387	343.96815111957346	394.7202463338601
80.0.	115.20391563074072	283.0599879426727	355.11227401477043
88.0.	62.42502494813174	307.9734356703803	406.1836372379609
96.0.	48.074624040614914	372.8361092213495	495.88045686104584
104.0.	58.35737855693601	446.2244043072024	579.7773895175256
112.0.	95.67374480362696	483.4419233864665	597.4123759564953
120.0.	145.78657220578782	445.69904660963203	527.313731675604
128.0.	154.61747009648647	373.07762743765267	444.02887286200166
136.0.	119.55337103248382	332.2014822689426	411.5507293179011
144.0.	85.21900080490992	334.87485145797854	429.2208402332772
152.0.	68.84372994895303	366.27906936499886	475.6723004037072
160.0.	69.56106145120941	408.267165497174	526.3606738400529
168.0.	85.69942720772349	439.28156944132553	553.1488099368507
176.0.	111.88833861758667	438.70307772967834	537.2181622253736
184.0.	130.28147388466664	407.26319438051735	492.5682722385726
192.0.	125.40548397616614	371.8813712172511	454.86541267777244
200.0.	105.77254841141105	355.5371602289454	444.64028946652553
208.0.	88.1210281076613	361.75240633457344	460.2603714074075
216.0.	80.19451040185722	382.8482313413984	489.6271794728987
224.0.	82.99823760653506	406.9770952149754	516.8250476493241
232.0.	94.68062353498439	421.0806755174736	526.6862095304581
240.0.	109.3430250400314	416.79614485999645	513.766149588145
248.0.	117.31647464330784	398.17959625215775	488.5388248359119
256.0.	113.4437692564118	379.0782833339422	468.5113515871413
264.0.	102.45656785658613	370.66647704607016	463.90784843167944
272.0.	92.39660841656345	375.18015343384474	474.1293365790176
280.0.	88.00670890693048	388.17407788657835	491.7863051308695
288.0.	90.31765369304416	402.07305882535326	506.93685933594327
296.0.	97.67445909953172	409.25325393653736	511.31462290578594
304.0.	105.90464230937843	405.9638793365771	503.1597101664492
312.0.	109.902141572218	395.19458855888524	488.75667203391276
320.0.	107.52636580704443	384.391724908099	477.4594829418719
328.0.	101.26442086113887	379.66796266546993	475.0149393036178
336.0.	95.39568582749851	382.5060556617836	481.26416935873283
344.0.	92.86229351908564	390.296689838887	491.7314546303859
352.0.	94.4177233134755	398.35733155227786	500.36724850102826
360.0.	98.86466392778001	402.24874158303214	502.547179067102
368.0.	103.55360473875982	400.1310062263372	497.6494499364483
376.0.	105.70449512122987	393.89113094574253	489.3450662167812
384.0.	104.30243075439385	387.67743480991305	482.8471834904627
392.0.	100.69492077567561	384.9607312299955	481.4781210354364
400.0.	97.26059136819413	386.67884106177917	485.2160469905692
408.0.	95.78787503085873	391.29684322145647	491.38147154025563
416.0.	96.76738542357067	395.98395598807605	496.35307056256556
424.0.	99.41271571276785	398.15551363410316	497.5026815666667
432.0.	102.10867128300966	396.85499532889514	494.59939928374797
440.0.	103.30358393106502	393.22699560596385	489.784590521091
448.0.	102.47873091766765	389.6304877916389	486.02478167227895
456.0.	100.38704398434997	388.0619331056263	485.25032927916146
464.0.	98.37993715085085	389.09095395974487	487.46845130064463
472.0.	97.52589977028487	391.81299656226014	491.0869565437435
480.0.	98.12607483387492	394.5399795264457	493.96043465297373
488.0.	99.68791808570762	395.76806712601336	494.5830576101067
496.0.	101.24558134794222	394.98225966232087	492.86840631203506
504.0.	101.91929549358387	392.86737756792206	490.0682818545536
512.0.	101.4324007696839	390.78060122725105	487.88916386657553
520.0.	100.21491897777373	389.87608437667416	487.45224068761496
528.0.	99.04397724938632	390.49063649967337	488.764353947202
536.0.	98.55067438107591	392.09030078180956	490.883530367733
544.0.	98.9137246048651	393.67668359306833	492.5469102275492
552.0.	99.83226708141859	394.3755449837798	492.88817117853216
560.0.	100.73458559417136	393.9038229546961	491.8765810186326
568.0.	101.11714765780084	392.66894470011664	490.2453841438487
576.0.	100.82876767949372	391.4569338619224	488.98199625219837
584.0.	100.11850769003718	390.9364026404367	488.73679358602266
592.0.	99.43632383169674	391.30315417925345	489.51186951309927
600.0.	99.15233025958572	392.24163509369885	490.75136350011616
608.0.	99.37048152848448	393.1642569606661	491.7148280297607
616.0.	99.90952740919178	393.5631383556839	491.9027997070657
624.0.	100.4329482146359	393.28082526812256	491.3061826728959
632.0.	100.6509438414228	392.55907062030184	490.3550602060037
640.0.	100.47975044390569	391.8548365605122	489.62263248618774
648.0.	100.0648534744877	391.5558081405309	489.48573314533195
656.0.	99.66779540277318	391.77460925990516	489.9432362926541
664.0.	99.50469353240561	392.3246421894083	490.6676366277568
672.0.	99.63528386042385	392.8611036934754	491.2258168190529
680.0.	99.95123165171094	393.0890885806276	491.3294995031656
688.0.	100.2550881266802	392.92041686924193	490.97767546549426
696.0.	100.37951991698544	392.4983358162562	490.4228174575403
704.0.	100.27776265225091	392.0890793482135	489.99827249179145
712.0.	100.03522542388357	391.9175276280538	489.9221919732086
720.0.	99.80426854863721	392.04802129128956	490.1921153483122
728.0.	99.7107546577338	392.37019253805045	490.61526885440725
736.0.	99.78874910437911	392.68206170520597	490.9386657450137
744.0.	99.97379753750539	392.81244641724965	490.99582337862626
752.0.	100.15026226962789	392.711782444078	490.78837869312946
760.0.	100.22134118317288	392.46487847322345	490.46460891502073
768.0.	100.16082133383722	392.22703595765256	490.2185670670775
776.0.	100.0189867021777	392.1287170352585	490.1764637094787
784.0.	99.8847031689934	392.206513280751	490.3356616534019
792.0.	99.83115221119704	392.39514484855715	490.58276410220805
800.0.	99.87766341626055	392.57642119251653	490.77012788596596
