time	_101	_105	_11	_129	_13	_147	_15	_153	_174	_181	_19	_198	_21	_25	_27	_5	_75	_79	_84	_9	_96	_99	species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_16	species_17	species_18	species_19	species_2	species_20	species_21	species_22	species_23	species_24	species_25	species_26	species_27	species_28	species_29	species_3	species_30	species_31	species_4	species_5	species_6	species_7	species_8	species_9
0.0.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.96831017167883e-44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.204959932551442e-181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0999999951844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11.0.	0.00045514258551500005	0.00011347519701500001	2.4239792817613222e-05	2.062272965921326e-06	2.0188953411201552e-09	0.05178159896775	0.001986549628831	1.6983271085245062e-10	0.000647379556942	3.405010043098088e-07	4.800296855624498e-06	4.730921143978866e-10	0.023654309591109	2.8843683738817752e-05	1.186204521219407e-07	0.032212204866521	0.013719291456627002	6.439277620422896e-05	0.11847846398063301	1.243721060347571e-08	5.436595707472811e-08	0.060225909176159005	0.000360492149973	1.504718438515841e-07	2.018895340822054e-09	1.702277047060165e-06	5.659551133728649e-31	1.0921746454810112e-30	0.00010182319385900001	2.440360097003669e-06	0.043094779338982	1.254321702138473e-08	1.22454994933511e-09	6.970423696904125e-05	6.116477885675888e-06	2.018895341153785e-09	2.352124919524162e-05	2.331595403196993e-06	0.0008737819483130001	5.2186856582450834e-08	2.018895340853765e-09	1.229255268979238e-09	0.09999997400268601	1.959874553861594e-08	0.15805440357636902	1.5829681601148532e-09	4.808635836993781e-05	2.6246167748258414e-06	0.00030958221281	2.787967565058393e-10	6.717275535381293e-05	4.646355116216852e-06	4.072953243433804e-05
22.0.	0.0006022433429300001	0.000285915262704	3.2346424265100175e-05	7.342870667809187e-05	1.449750158136804e-08	0.069812874581651	0.003803859999975	5.797668576730426e-07	0.000861691125894	3.5639051039337406e-06	0.000178186151062	4.64938129924252e-08	0.034354111539584	5.883811273270268e-05	5.343780746444243e-07	0.058356384115400006	0.023406230967008	0.00036855111204700004	0.205759417686376	1.121490078040916e-06	1.798171604237622e-06	0.07183361688995	0.0005906952100610001	1.579365881101431e-06	1.449750151810293e-08	3.934804762758787e-06	1.125574984022275e-25	1.7940646652272433e-25	0.000137368335439	1.331424120657415e-05	0.051645692151857006	1.5662896871673889e-06	1.327814712642226e-07	7.874923616247261e-05	0.000216898367893	1.4497501926261549e-08	3.1188811777165006e-05	1.2272805191382321e-05	0.0017030015685040002	2.386970819846687e-07	1.449750183864275e-08	1.757463291378943e-07	0.099999684208321	1.2460591325946798e-07	0.171626617949226	1.863701655967807e-07	9.904946539871481e-05	8.937091837373e-05	0.000712892297451	8.635714646128735e-07	7.632636220342861e-05	9.833214737302857e-06	5.25975840110197e-05
33.0.	0.0007659050257530001	0.000428398308603	3.4745440258305405e-05	0.000412939861036	3.0570659985336854e-08	0.079847153005746	0.005323456067472	3.18418300031524e-05	0.0009413353545830001	1.0436463346285422e-05	0.001013721055072	4.826851733709451e-07	0.047389193116265	7.299031705378323e-05	9.944314327592319e-07	0.073253696016342	0.030152278301396003	0.0008917439137980001	0.27004336960559	6.56151630741489e-05	1.0149630212239672e-05	0.070393102555594	0.0007839511407970001	4.709299352792142e-06	3.057065608453808e-08	5.056696681944296e-06	3.184760703425976e-23	4.877791660514457e-23	0.000158959441714	2.6406335792062133e-05	0.060723215029012005	9.47976229978483e-05	1.0363314343059182e-05	8.082000900430734e-05	0.001230873495817	3.057068930362136e-08	3.3710903429907165e-05	2.381747404453472e-05	0.002468288321454	4.586493271114963e-07	3.057068366854319e-08	1.4945607212830534e-05	0.09998534076107601	2.546908894536859e-07	0.164328653101034	1.439973243422549e-05	0.000133616857536	0.000501844532425	0.001019965049454	4.692927022605064e-05	7.947166841143503e-05	1.207659620835172e-05	6.355914977182773e-05
44.0.	0.000962149407067	0.000530464548632	3.680531795619732e-05	0.001078468475335	4.4735922624463254e-08	0.08463988109851801	0.006449700141387	0.00030960958740000003	0.0010316308979820001	1.6491404009819914e-05	0.0026465006341260004	2.062217140327722e-06	0.07268464521902601	7.913523973589714e-05	1.3477876510354969e-06	0.08041511336878601	0.034895333285927005	0.0015282410588960001	0.31736581915212403	0.000762224997461	2.7528922018098313e-05	0.06340774059875401	0.000931103279226	7.67755910335326e-06	4.473587368824925e-08	5.265453183731636e-06	7.557400255390929e-22	1.165897950903804e-21	0.00017304469389	3.80267668951749e-05	0.078362694849784	0.0011036127744730002	0.000175903764249	8.22806674955268e-05	0.0032409532083980002	4.473633181204299e-08	3.580692045438477e-05	3.3743756897482074e-05	0.00317600901862	6.56625244848669e-07	4.4736260959869106e-08	0.000254542998678	0.09978240254577801	3.680283790526455e-07	0.144631828821067	0.000217224610243	0.00015638662681800001	0.0013241695078570002	0.0012351770757600001	0.00046423054949400004	8.169764006775433e-05	1.2295283924972581e-05	7.380791337089631e-05
55.0.	0.0012683249735570001	0.0006136414602310001	3.944643501255622e-05	0.00195610307527	5.508428247853324e-08	0.084212015522498	0.0071365085329080005	0.0012405528023170002	0.0014507197984490001	1.7008438066523144e-05	0.00477399404622	6.2379565113189695e-06	0.10808819976299801	9.406200042775121e-05	1.7220292399030338e-06	0.080053362899741	0.038305832105178	0.002184724924522	0.352176202419103	0.0035519418760260003	5.292124793172137e-05	0.05483559616498301	0.001034185673177	8.404804339130957e-06	5.508399894408645e-08	5.000349929353421e-06	5.780963302084741e-21	8.924178265828573e-21	0.00018229231161500002	4.700334640298591e-05	0.101459511289213	0.005112556145273	0.001114088680212	8.495054971202596e-05	0.0058625913384420004	5.5086508856968476e-08	3.8319352861227945e-05	4.109411608410687e-05	0.0038388355014290004	9.136466392930419e-07	5.5086100482474996e-08	0.001608849762369	0.098793778228886	4.4968484143419e-07	0.11561742371190802	0.0012057672706720002	0.00017134842729300001	0.002413018074411	0.001367830284253	0.0018849277413700001	8.4743828612191e-05	1.1212955077098072e-05	8.388597283474191e-05
66.0.	0.001853575387503	0.0007266149416270001	4.3271334856203075e-05	0.0028713840684060003	6.033069590008265e-08	0.078678092902054	0.007580278995609001	0.0029565330147890002	0.002767132560896	1.58761573648785e-05	0.006986885233407	1.839177648178219e-05	0.147733166665331	0.00015054413203800001	2.7613077835563762e-06	0.07279032187468801	0.040824523155172	0.002803437546274	0.37776069265224804	0.009713217258922002	8.30063116122223e-05	0.046909369788638	0.001127105241108	8.730192365425795e-06	6.03296458325522e-08	4.582750822586232e-06	2.48833922796143e-20	3.630259063471535e-20	0.00018836712999100003	5.268188841233317e-05	0.124515152593218	0.013599939587830002	0.003940933427875	9.04207924051862e-05	0.008419632710239001	6.033755189980828e-08	4.190571026517378e-05	4.5421460117815564e-05	0.004479632626710001	1.61605951266761e-06	6.033607820187795e-08	0.005607408124489	0.09633330667642201	4.894880990002889e-07	0.084012895751068	0.0036661990198780005	0.000181177624811	0.003476550838246	0.0014608804842290001	0.004418537249384001	9.027757290722665e-05	9.37617746457208e-06	9.454533847916464e-05
77.0.	0.0027690912780990004	0.0009599012089370001	4.8154132254001296e-05	0.0034810284796820004	6.101149210730313e-08	0.072079412035321	0.008112728880636001	0.004696356475196	0.005256336942104	2.1628324226729673e-05	0.008488158820408001	5.058377178379345e-05	0.18098157247886001	0.00028146695371700003	5.4188501021876385e-06	0.06473346330325	0.042731721008473	0.00335482883952	0.39654384236704004	0.018060028325041	0.00010159312594800001	0.04603623904342	0.001246646810103	1.32177014400009e-05	6.100873965845024e-08	4.4065459850677875e-06	6.439787836338619e-20	7.919527876479129e-20	0.000192357903594	5.5477856334899174e-05	0.13804029594825	0.023605309923501003	0.009356830420737	9.873877735285266e-05	0.009667960886418001	6.102397278291668e-08	4.6450387166897715e-05	4.729060489568143e-05	0.005118962610915	3.403757304766216e-06	6.102035879797457e-08	0.012788873997092	0.092801028616513	4.931764884786106e-07	0.06698231830644201	0.007198473391398	0.000187634828487	0.003975871877289001	0.0016153766967800002	0.006469637881586001	9.819595827298934e-05	7.678364301593385e-06	0.00010585084651300001
88.0.	0.0036404578556470005	0.001452865987766	5.245784422363208e-05	0.003482685236408	6.084959322364526e-08	0.070040474402458	0.008878472568166	0.005356043190919001	0.008225046800092001	4.0356636252460275e-05	0.008519903123357	0.00010626351407400001	0.194992527701594	0.00047266886914100004	1.0066051446855033e-05	0.063550936081242	0.04420365847001401	0.0038245730170400004	0.41030742960354705	0.024960858753534	9.372130063183715e-05	0.056596308753071006	0.0013882715641730002	2.5874744456454856e-05	6.084428815732788e-08	4.988775745617304e-06	8.946539096198476e-20	9.24014927594785e-20	0.00019497960136100002	5.776367012802815e-05	0.13779308958459802	0.029941552081162004	0.016423300226949	0.000106867547093	0.009203999696542	6.086324163947685e-08	5.0307774773779493e-05	4.892028851837797e-05	0.005749857039576	6.511145542797736e-06	6.08568501764152e-08	0.021098303560615	0.089811108667511	4.921390077827289e-07	0.072194154397641	0.010188394377880002	0.00019187682437700002	0.003768194707867	0.0020428845931030003	0.006626181754595	0.00010544281864700001	7.245101256578216e-06	0.00011671405532400001
99.0.	0.004094167121972	0.002236948344723	5.4543319637812925e-05	0.0029237602813720004	6.392877765584995e-08	0.074172017712317	0.009814360430844	0.0046392892252240005	0.010531741042253	7.792573921256831e-05	0.007166155632784001	0.000165965121443	0.184586192874192	0.0006564881563370001	1.5788559676585332e-05	0.071041530816649	0.045352141446933	0.004211098183137	0.420368140261047	0.027370486535354004	7.17752909145775e-05	0.073892632821172	0.001526808581755	5.04365444481455e-05	6.392133148919054e-08	6.472823551474076e-06	6.326550603978525e-20	6.064106406935414e-20	0.00019670189939700002	6.238308910734763e-05	0.126779606719565	0.030842956256145002	0.022819425010841003	0.00011151518529400001	0.0075978733656120005	6.393921458047693e-08	5.193371734100792e-05	5.274611582575865e-05	0.006340680281098	1.0208873252996201e-05	6.393080140953009e-08	0.027605792631025004	0.08848631139578801	5.189229843064556e-07	0.09217291198225001	0.011513164865626	0.000194663561127	0.0031045129069850004	0.0028675218064400003	0.005369581694095	0.00010916547185500001	8.41745606770963e-06	0.000125985332894
