time	I	Ip	S	Sp
0.0.	149400.0	16600.0	667200.0	166800.0
2.0.	141108.07454925939	16173.45563692981	658245.2054701266	168983.3756138118
4.0.	133413.17801684744	15750.999246045181	651563.5501568052	171184.67247780523
6.0.	126283.35245844066	15328.345247458581	646899.3856536129	173406.68167266564
8.0.	119683.94253871319	14903.870818434536	644022.2859462068	175650.3287248071
10.0.	113579.08991673634	14477.674796462588	642724.9402369768	177915.02639287408
12.0.	107932.8713264755	14050.900173483327	642821.0990751751	180198.9962676718
14.0.	102710.13644015582	13625.254902435698	644143.6159069049	182499.55490390363
16.0.	97877.09865712111	13202.681068023494	646542.6102568706	184813.36279628272
18.0.	93401.7273094956	12785.134098592587	649883.7666027712	187136.63653715595
20.0.	89253.98406803668	12374.442623050021	654046.7740594549	189465.3259602809
22.0.	85405.94019260892	11972.226495484494	658923.905708684	191795.25904611908
24.0.	81831.80518990512	11579.855904346756	664418.7322383794	194122.25792092682
26.0.	78507.89175493132	11198.438698141143	670444.9619873381	196442.22951478328
28.0.	75412.53678520503	10828.826348862507	676925.3980981858	198751.23443798616
30.0.	72525.99386167616	10471.631529403969	683791.0029161245	201045.5374657871
32.0.	69830.30890295924	10127.252250981337	690980.0597655653	203321.6427495898
34.0.	67309.18768239647	9795.899010145973	698437.4225906146	205576.31654599588
36.0.	64947.8614834121	9477.622528442525	706113.8445136021	207806.59990833187
38.0.	62732.95527641139	9172.340509714508	713965.3770467906	210009.8134426289
40.0.	60652.36134628561	8879.862454530155	721952.832417204	212183.55590699625
42.0.	58695.12020389692	8599.912010219474	730041.3021881977	214325.6981389152
44.0.	56851.30980639518	8332.146640489027	738199.7260562012	216434.3735334372
46.0.	55111.94352835254	8076.174603913272	746400.5053510228	218507.96606759093
48.0.	53468.87691705264	7831.569362089957	754619.1563653233	220545.09667134992
50.0.	51914.722988859095	7597.881616327779	762833.9991807203	222544.60858087873
52.0.	50442.77564585009	7374.649212066585	771025.8781451685	224505.5521724052
54.0.	49046.940686475995	7161.405164632604	779177.9105914255	226427.1696616467
56.0.	47721.67383049577	6957.684057181968	787275.2607733376	228308.87996097605
58.0.	46461.9251613516	6763.027048188595	795304.9363395695	230150.26391136652
60.0.	45263.089396799725	6576.985706164377	803255.6049676117	231951.0500458008
62.0.	44120.96142240984	6399.1248666530955	811117.429048647	233711.10099278652
64.0.	43031.69655620567	6229.024683074076	818881.9165501039	235430.40059074355
66.0.	41991.77505175577	6066.282020108436	826541.786391106	237109.04175446212
68.0.	40997.97038830135	5910.511316875273	834090.8468498498	238747.21511203458
70.0.	40047.32093788357	5761.345027607023	841523.8856841583	240345.19841331957
72.0.	39137.104639505116	5618.433730107969	848836.5707896726	241903.34669804
74.0.	38264.81634825393	5481.44597699673	856025.3603466921	243422.08320214378
76.0.	37428.14756253852	5350.067951510167	863087.4215185897	244901.8909743527
78.0.	36624.96826490185	5224.002978334391	870020.5568637727	246343.30517028627
80.0.	35853.310641245786	5102.97093034593	876823.1377109548	247746.9059887035
82.0.	35111.3544697775	4986.70756409773	883494.0438253484	249113.31221286708
84.0.	34397.41399472777	4874.963810176588	890032.6087625431	250443.17531948973
86.0.	33709.92612107295	4767.505039007459	896438.5703682929	251737.1741179286
88.0.	33047.43978532735	4664.110318116694	902712.0259371581	252996.00988305119
90.0.	32408.60637417276	4564.57167313938	908853.3915916993	254220.4019463528
92.0.	31792.1710774691	4468.693361831654	914863.365487407	255411.0837113384
94.0.	31196.965075244516	4376.291167910724	920742.8944874043	256568.79906079802
96.0.	30621.898469783497	4287.191719593612	926493.1439856903	257694.299125327
98.0.	30065.953884089675	4201.231836154591	932115.4705887814	258788.33938422153
100.0.	29528.18065695376	4118.257904599193	937611.3973934673	259851.6770716669
102.0.	29007.689572746887	4038.125287598812	942982.5916234021	260885.06886290188
104.0.	28503.648071013497	3960.6977630939123	948230.8444096813	261889.26881676685
106.0.	28015.275887066793	3885.846995413678	953358.0525207453	262865.0265527048
108.0.	27541.841080194674	3813.4520373411724	958366.201865101	263813.0856418748
110.0.	27082.656410852334	3743.3988622470442	963257.3526067073	264734.18219355
112.0.	26637.076032427314	3675.579925198531	968033.6257476202	265629.0436194016
114.0.	26204.492466880944	3609.8937518047023	972697.1910457939	266498.3875596174
116.0.	25784.333836858335	3546.2445534684302	977250.2561479561	267342.9209560606
118.0.	25376.06132976765	3484.5418676678414	981695.0568283431	268163.3392588551
120.0.	24979.16687190606	3424.700221875044	986033.8482339097	268960.32575388596
122.0.	24593.170992993655	3366.6388197297492	990268.8970455296	269734.55099971703
124.0.	24217.62086350289	3310.2812481135197	994402.4744727733	270486.67236338306
126.0.	23852.08848897176	3255.555203811784	998436.8500071637	271217.33364538534
128.0.	23496.169047088722	3202.392238501425	1002374.2858654553	271927.1647850362
130.0.	23149.47935476247	3150.727520858503	1006217.0320605031	272616.7816380465
132.0.	22811.656453658576	3100.4996146411427	1009967.322042789	273286.78581894207
134.0.	22482.35630381721	3051.650271664868	1013627.3688606282	273937.7646015328
136.0.	22161.252575976774	3004.1242386503195	1017199.3617916463	274570.2908712466
138.0.	21848.035534132036	2957.869076985211	1020685.4634022275	275184.92312368116
140.0.	21542.41100066325	2912.834994502868	1024087.8069953956	275782.20550422196
142.0.	21244.099397097416	2868.9746884381325	1027408.4944110364	276362.66788403474
144.0.	20952.834854211433	2826.243198777437	1030649.5941454838	276926.82596815965
146.0.	20668.36438577014	2784.597771273176	1033813.1397603449	277475.18143181526
148.0.	20390.4471207154	2743.9977294430755	1036901.1285530522	278008.22208138165
150.0.	20118.853589093782	2704.4043549229377	1039915.5204640091	278526.4220368509
152.0.	19853.36505743395	2665.7807755859235	1042858.2371973627	279030.24193283194
154.0.	19593.772909667216	2628.091860883538	1045731.1615344309	279520.1291354669
156.0.	19339.87807002946	2591.304123902733	1048536.1368206189	279996.51797287114
158.0.	19091.490464693863	2555.3856296701333	1051274.9666083318	280459.829976931
160.0.	18848.42851916534	2520.3059092684853	1053949.4144398975	280910.47413450596
162.0.	18610.518688722088	2486.0358793621103	1056561.2037559268	281348.8471462725
164.0.	18377.59501942028	2452.5477667575788	1059112.0179157662	281775.3336916221
166.0.	18149.498737387028	2419.815037653094	1061603.5003179237	282190.3066981832
168.0.	17926.07786431619	2387.8123312553967	1064037.2546093618	282594.12761468714
170.0.	17707.18685725401	2356.5153974664418	1066414.844973562	282987.14668602764
172.0.	17492.68627091787	2325.901038363744	1068737.7964881489	283369.7032294866
174.0.	17282.44244093432	2295.947053218437	1071007.5955436786	283742.12591121014
176.0.	17076.327186511444	2266.6321868135815	1073225.6903159553	284104.7330221199
178.0.	16874.2175311797	2237.9360808425085	1075393.4912849236	284457.832752537
180.0.	16675.9954403425	2209.8392281827823	1077512.3717938194	284801.7234648785
182.0.	16481.547574476357	2182.322929856138	1079583.66864283	285136.69396386587
184.0.	16290.76505691055	2155.3692544982464	1081608.6827120604	285463.0237637507
186.0.	16103.543255198249	2128.961000174748	1083588.6796090717	285780.98335212923
188.0.	15919.781575166147	2103.081658391625	1085524.8903367114	286090.83444997336
190.0.	15739.383266798895	2077.7153801586555	1087418.5119773624	286392.8302675563
192.0.	15562.255241177436	2052.8469439746723	1089270.708390107	286687.21575600223
194.0.	15388.307897748438	2028.4617256125205	1091082.610917645	286974.22785422707
196.0.	15217.454961255058	2004.545669590089	1092855.3191001208	287254.09573108004
198.0.	15049.613327708224	1981.0852622216755	1094589.9013932985	287527.0410225289
200.0.	14884.702918822966	1958.0675061513105	1096287.3958887814	287793.27806376107
