time	LRC_Cave	LRC_EE	LRC_Surf	Smad2c	Smad2n	Smad4c	Smad4n	Smads_Complex_c	Smads_Complex_n	T1R_Cave	T1R_EE	T1R_Surf	T2R_Cave	T2R_EE	T2R_Surf	TGF_beta
0.0.	0.0	2.01948391736579e-28	0.0	492.61	236.45	1149.4	551.72	6.162975822039156e-33	0.0	2.092	2.06	0.23700000000000002	1.778	1.148	0.202	0.08
5.0.	0.18471979311549203	0.27932439754064803	0.18576411160929002	468.92492064954587	229.67958949524314	1124.9254323933237	547.3180542639153	20.735957235589186	15.617776849342514	1.811583575472766	1.7799860788510342	0.049193161666515	1.498103997558923	0.8812715396128731	0.014083258623078002	0.07938546682839101
10.0.	0.02992258828037	0.49727577375035403	0.167854609177139	417.6234065554138	213.36351157487908	1071.5700968327335	537.1634407429179	55.54332682585865	81.41628828124205	1.574716256392914	1.5441333207199759	0.04685618448207501	1.2628795693870711	0.678838733725039	0.013187374926366001	0.079010442406649
15.0.	0.011472615694	0.652029205405898	0.15405825344995303	366.5962304735335	198.72379145947124	1017.8209003969303	530.6897816892695	80.82699460499781	173.28653330479213	1.374592669605494	1.345422714129304	0.044308307555451	1.067020494092006	0.5266388584660561	0.012977142856820001	0.07867656127979
20.0.	0.007088908927382001	0.7624349795637311	0.143692641882007	328.40506764391125	189.2939568995093	976.9489915871427	529.3021850697945	94.01535545949193	257.7247737900601	1.204482122411133	1.176966940438652	0.041385169226531	0.9044944038600701	0.41267252894177003	0.013041350132560001	0.078377859079217
25.0.	0.005329428770671001	0.8394205589765461	0.134845431280035	303.6907009565522	184.10761207602908	950.091690140519	530.5446445241029	99.5970593255551	320.30910707736746	1.058786666640835	1.033054844465903	0.038207789587864006	0.7699690312276981	0.327652820787177	0.013321735302162001	0.078109086646602
30.0.	0.004446269701399001	0.8906644623494371	0.12708055386434	288.952010758981	181.46671318709284	933.8646004463839	532.3689441248533	101.58506122197748	361.2020708697104	0.9330539610604711	0.90915364304861	0.034897372310872005	0.658978497436819	0.264589743723853	0.013804369082663002	0.077865899915611
35.0.	0.0039317086333960005	0.9220523351536141	0.120160530172876	280.58503806536106	180.16481641110903	924.5569066746308	533.8892105832663	102.14624339106622	385.9213392192626	0.8237587828371451	0.801682042244773	0.031555850373373	0.567809779155351	0.21824435231317202	0.014489033661635	0.077644748760491
40.0.	0.0035939477928410004	0.9381482420578151	0.11390998210668	276.0685666802434	179.55610139913895	919.485330025353	534.9458113637743	102.15216542406809	400.061702287566	0.728117332189512	0.7078181377128441	0.028268253913445004	0.49338965498191806	0.18470254417029403	0.015383296265337002	0.077442769967522
45.0.	0.0033493365521240002	0.9424927963607511	0.10818992898821701	273.90605358188355	179.34332909892314	917.0176717855943	535.6484744877546	101.86432645998134	407.62553077511404	0.643937516269807	0.6253448425467021	0.025105420326667002	0.43318440303279304	0.161049950771906	0.016498958911209	0.077257688500015
50.0.	0.0031580911342	0.9378271534221111	0.102888969690842	273.2699931667953	179.39635035414716	916.2351374191828	536.1409175969476	101.33578621238831	411.06631150793	0.5694978470453971	0.5525251241607201	0.022125320092477002	0.38511151144933603	0.14512381514803302	0.017848669185734002	0.077087725667564
55.0.	0.0029999625606220003	0.9262694888969921	0.097919518898102	273.7024723629728	179.65244292317087	916.6245601619125	536.5261795263148	100.57701928799864	411.78908212354156	0.5034478355184421	0.487999660158403	0.019372930261553	0.347461145089731	0.1353222738239	0.019442257884514	0.07693151114784501
60.0.	0.0028639243260520004	0.909457133557052	0.09321611577007001	274.9343318017901	180.07364556766927	917.8845746553766	536.8629170068734	99.60253767484748	410.5957460020455	0.44472439738344705	0.43070121977122605	0.016879214185388	0.318825439414121	0.13045634477929202	0.021283089047209002	0.076787996822406
65.0.	0.0027435897427760003	0.888662061002592	0.08873412698044701	276.7923149328307	180.6318684404669	919.8228177267747	537.1803600585987	98.43474183258758	407.9669612629078	0.39248091762402204	0.379782257556939	0.014660189558767002	0.298034863545231	0.12963442983769002	0.023365200212186	0.076656373091911
70.0.	0.002635114968241	0.864883906408858	0.084447602547631	279.15495295031553	181.30446638428427	922.3058049158058	537.4919104877772	97.09883044390922	404.2141834326748	0.34602778138821005	0.334554399576372	0.012717126939372	0.284102343449436	0.13217296325628	0.02567211804698	0.076535991485392
75.0.	0.0025361748006000003	0.838922590604753	0.080345724262866	281.9314425295174	182.07278161978044	925.2345841702747	537.8033566974731	95.61905348752154	399.5557303287396	0.304784646231534	0.29443999292294604	0.011038446368682	0.276176771062945	0.137529437759629	0.028177789638475004	0.076426299117335
80.0.	0.002445391949646	0.8114321065511331	0.07642816536924901	285.050512710636	182.92123867000396	928.5319472396927	538.1169350827981	94.01745492371818	394.1548584265757	0.268244925800704	0.25893610120199	0.009603075628716	0.273507313431116	0.14525504075457601	0.030849284264938003	0.076326789596336
85.0.	0.0023619715357990003	0.7829577643332251	0.07270028075635601	288.45374265348426	183.83652274545364	932.1348778247998	538.4331172314719	92.31400890746534	388.14022257134525	0.23595198184656102	0.22759037040688201	0.008384411456077	0.275418649743347	0.154963828091594	0.033650313262769	0.07623697181453501
90.0.	0.002285451794824	0.7539602594119921	0.069169060483885	292.09122080920525	184.80688524956471	935.9897211805945	538.7513841353622	90.52715031798567	381.6180013685164	0.20748517656304902	0.19998686046952702	0.007353938300329	0.28129568310457104	0.16631465140002702	0.03654454550312	0.07615635452005201
95.0.	0.00221553818693	0.724830449258254	0.06584035228269601	295.91872140241765	185.82164543194455	940.049065208048	539.0706140150189	88.67421359823994	374.6795495657427	0.18245307163763902	0.1757390881942	0.006483916290363	0.29057523961807	0.17900179188247	0.039498072303281	0.076084442397194
100.0.	0.002152001496256	0.695898416628528	0.062717367185545	299.8959668944746	186.87088879088276	944.2698195727859	539.3893307559143	86.7716576370115	367.4062376143256	0.16049100184734102	0.15448748318806302	0.005749008520202	0.302742098409819	0.19275071336817	0.042480853442910006	0.076020739007365
105.0.	0.0020946222179	0.6674395365990281	0.059800181908249005	303.9856560042064	187.94531775411403	948.612132411023	539.7058885336306	84.83511612682884	359.87236585245364	0.14126079257948101	0.135899011156381	0.005127024056631	0.317327173448743	0.20731627718240703	0.045467298698554	0.075964752802438
110.0.	0.002043165199994	0.639679279931421	0.057085873366024005	308.1529946049577	189.0362001043068	953.0388579750219	540.0186099940817	82.87934960290535	352.14676727178414	0.124451140802266	0.11966747654996801	0.004599058933925	0.33390638604890405	0.22248176126615501	0.048436256953634	0.075916003695249
115.0.	0.001997371920719	0.612797670770593	0.054568976697421	312.3655268578137	190.1353701203316	957.515355730523	540.3258835021715	80.91816058416697	344.293567553414	0.109777848195791	0.10551369000374301	0.0041492931930490005	0.35209942351856205	0.23805783063790803	0.05137066785865901	0.07587402881268501
120.0.	0.001956961738598	0.586933769164239	0.052242056430997004	316.5931246109784	191.2352521475229	962.0094666616538	540.6262259954652	78.96430822267727	336.3724493512047	0.096983567855873	0.09318516072594701	0.0037646296390090005	0.37156804943673705	0.253881136833265	0.054257062161666	0.075838386863063
