copasi_path	atol:1e-3_rtol:1e-3_linSol:1_nonlinSol:2_solAlg:3	atol:1e-6_rtol:1e-3_linSol:1_nonlinSol:2_solAlg:3	atol:1e-6_rtol:1e-6_linSol:1_nonlinSol:2_solAlg:3	atol:1e-8_rtol:1e-6_linSol:1_nonlinSol:2_solAlg:3	atol:1e-6_rtol:1e-8_linSol:1_nonlinSol:2_solAlg:3	atol:1e-12_rtol:1e-10_linSol:1_nonlinSol:2_solAlg:3	atol:1e-10_rtol:1e-12_linSol:1_nonlinSol:2_solAlg:3	atol:1e-16_rtol:1e-8_linSol:1_nonlinSol:2_solAlg:3	atol:1e-14_rtol:1e-14_linSol:1_nonlinSol:2_solAlg:3	atol:1e-8_rtol:1e-16_linSol:1_nonlinSol:2_solAlg:3
copasi/models/eungdamrong2007/Eungdamrong2007.cps	0.022395436356110274	0.008587431106029898	6.278894833470486e-06	6.895894014906831e-06	4.363733429898486e-06	4.364683527248961e-06	4.364692575795156e-06	4.364764964164716e-06	4.364692575795156e-06	4.364683527248961e-06
copasi/models/froehlich2018/Froehlich2018.cps	3.797353228694198e-06	3.797353228694198e-06	3.797353228694198e-06	3.797353228694198e-06	3.797353228694198e-06	3.797353228694198e-06	3.797353228694198e-06	3.797353228694198e-06	3.797353228694198e-06	3.797353228694198e-06
copasi/models/holzhutter2004/Holzhutter2004.cps	0.00019551456472699524	7.09766567248616e-05	1.9763665254794226e-06	1.973901833965225e-06	1.9737275217854228e-06	1.973918048953333e-06	1.973918048953333e-06	1.9738977801056833e-06	1.973918048953333e-06	1.973913995183803e-06
copasi/models/hui2014/Hui2014.cps	0.0008175246058024625	0.0011801548259055177	4.274316450038752e-06	4.589404544414203e-06	4.310236372566666e-06	4.339392185274245e-06	4.339778099303177e-06	4.339093101966947e-06	4.3397973950800305e-06	4.339459720219025e-06
copasi/models/lai2014/Lai2014.cps	8.438720578540343e-08	2.1340387498665245e-08	5.817429580050554e-10	5.369538583110161e-10	5.482245121943037e-10	4.989399794999283e-10	4.988999849395361e-10	4.988899863265395e-10	4.989419792279479e-10	4.986711193869965e-10
copasi/models/leber2015/Leber2015.cps	0.006520516049487717	0.005399797716858183	0.000207558027333117	0.00021333710828940524	0.00019064084085294712	0.00019117340910158425	0.0001911704113423844	0.00019104629199713884	0.00019117034405260889	inf
copasi/models/levchenko2000/Levchenko2000a.cps	0.0002263666329902647	3.390184649582882e-05	9.843832236415102e-07	5.006865218122838e-07	8.009402139189431e-07	4.396961215755601e-07	4.3970145776212927e-07	4.4177901578171093e-07	4.3969434283436135e-07	4.4132391097417554e-07
copasi/models/ouzounoglou2014/Ouzounoglou2014.cps	0.0018323441831600996	0.002117982730363605	5.510133298260044e-06	4.789596370797112e-06	4.379864288419068e-06	4.3457720300714484e-06	4.345744632184167e-06	4.3453062639941915e-06	4.345726366870605e-06	4.346055143013087e-06
copasi/models/pathak2013/Pathak2013.cps	0.0006366828053519727	0.00046535039701392614	3.188055602459286e-06	2.9208894456559326e-06	2.4976380796034913e-06	2.4357889142404056e-06	2.43579875690622e-06	2.438800769761049e-06	2.43579875690622e-06	2.4356166675886545e-06
copasi/models/pathak2013a/Pathak2013a.cps	0.0004037276087998232	0.0003210565514656165	2.8506293383182288e-06	2.608787598409356e-06	2.470581634853811e-06	2.4283668044187386e-06	2.4283668044187386e-06	2.4290903721100304e-06	2.4283618821895464e-06	2.428701516003826e-06
copasi/models/pritchard2002/Pritchard2002.cps	0.0020677134479669557	0.0004048717733969216	5.494966835961735e-06	2.161641493225546e-06	3.1877379466440358e-06	2.1662638570587083e-06	2.166303622534081e-06	2.163206334135491e-06	2.166237346741793e-06	2.166215254811031e-06
copasi/models/proctor2010/Proctor2010a.cps	0.006532728034976729	0.004943221151148784	1.2459810438315462e-05	9.873435006360477e-06	4.894918929428114e-06	4.894357104192505e-06	4.894357104192505e-06	4.894435956769079e-06	4.894357104192505e-06	4.894357104192505e-06
copasi/models/proctor2013/Proctor2013a.cps	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf
copasi/models/sasagawa2005/Sasagawa2005.cps	0.0006878498039813842	1.9201471718264223e-05	8.214078009328559e-07	4.436390949493907e-07	6.69856325579172e-07	4.2620465306897515e-07	4.2621189011470036e-07	4.260436285881655e-07	4.2622184107140405e-07	4.2355679550554403e-07
copasi/models/sengupta2015/Sengupta2015.cps	0.007235873652987525	0.002358081997789642	1.3493666765844722e-05	1.1799990093332434e-05	4.380945029189415e-06	4.380926866028249e-06	4.380926866028249e-06	4.380926866028249e-06	4.380926866028249e-06	4.380926866028249e-06
