name	year	n_species	n_reactions	long_id	short_id	sbml_path	sedml_path	regrouped_path	start_time	end_time	n_timepoints	sedml_task	ref_trajectory_path	amici_path	amici_import	id	copasi_path	accepted	amici_min_error	amici_path_final	copasi_min_error	copasi_path_final
eungdamrong	2007	46	43	('eungdamrong', '2007', 46, 43)	eungdamrong2007	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/SolverStudyWork/Models/sedml/Eungdamrong2007/sbml_models/Eungdamrong2007.sbml		regrouped/eungdamrong2007/Eungdamrong2007.sbml	0	30000.0	51		/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/Cache/trajectories_reference_biomodels/trajectories_copasi_strictest_eungdamrong2007.tsv	amici/models/eungdamrong2007/Eungdamrong2007	OK	{eungdamrong2007}_{Eungdamrong2007.sbml}	copasi/models/eungdamrong2007/Eungdamrong2007.cps	True	4.3527057228968385e-06	amici/models_final/eungdamrong2007/Eungdamrong2007	4.363733429898486e-06	copasi/models_final/eungdamrong2007/Eungdamrong2007.cps
froehlich	2018	1396	2686	('froehlich', '2018', 1396, 2686)	froehlich2018	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/SolverStudyWork/Models/sedml/Froehlich2018/sbml_models/Froehlich2018.sbml		regrouped/froehlich2018/Froehlich2018.sbml	0	100000000.0	2		/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/Cache/trajectories_reference_biomodels/trajectories_copasi_strictest_froehlich2018.tsv	amici/models/froehlich2018/Froehlich2018	OK	{froehlich2018}_{Froehlich2018.sbml}	copasi/models/froehlich2018/Froehlich2018.cps	True	3.7973550112637832e-06	amici/models_final/froehlich2018/Froehlich2018	3.7973532286941977e-06	copasi/models_final/froehlich2018/Froehlich2018.cps
holzhutter	2004	45	38	('holzhutter', '2004', 45, 38)	holzhutter2004	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/SolverStudyWork/Models/sedml/Holzhutter2004/sbml_models/Holzhutter2004.sbml		regrouped/holzhutter2004/Holzhutter2004.sbml	0	1e-05	51		/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/Cache/trajectories_reference_biomodels/trajectories_copasi_strictest_holzhutter2004.tsv	amici/models/holzhutter2004/Holzhutter2004	OK	{holzhutter2004}_{Holzhutter2004.sbml}	copasi/models/holzhutter2004/Holzhutter2004.cps	True	1.9496979927117127e-06	amici/models_final/holzhutter2004/Holzhutter2004	1.9737275217854228e-06	copasi/models_final/holzhutter2004/Holzhutter2004.cps
hui	2014	65	117	('hui', '2014', 65, 117)	hui2014	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/SolverStudyWork/Models/sedml/Hui2014/sbml_models/Hui2014.sbml		regrouped/hui2014/Hui2014.sbml	0	1000.0	51		/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/Cache/trajectories_reference_biomodels/trajectories_copasi_strictest_hui2014.tsv	amici/models/hui2014/Hui2014	OK	{hui2014}_{Hui2014.sbml}	copasi/models/hui2014/Hui2014.cps	True	3.989513377365711e-06	amici/models_final/hui2014/Hui2014	4.274316450038752e-06	copasi/models_final/hui2014/Hui2014.cps
lai	2014	195	576	('lai', '2014', 195, 576)	lai2014	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/SolverStudyWork/Models/sedml/Lai2014/sbml_models/Lai2014.sbml		regrouped/lai2014/Lai2014.sbml	0	1.0	51		/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/Cache/trajectories_reference_biomodels/trajectories_copasi_strictest_lai2014.tsv	amici/models/lai2014/Lai2014	OK	{lai2014}_{Lai2014.sbml}	copasi/models/lai2014/Lai2014.cps	True	4.984646406170201e-10	amici/models_final/lai2014/Lai2014	4.986711193869965e-10	copasi/models_final/lai2014/Lai2014.cps
leber	2015	23	30	('leber', '2015', 23, 30)	leber2015	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/SolverStudyWork/Models/sedml/Leber2015/sbml_models/Leber2015.sbml		regrouped/leber2015/Leber2015.sbml	0	70.0	51		/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/Cache/trajectories_reference_biomodels/trajectories_copasi_strictest_leber2015.tsv	amici/models/leber2015/Leber2015	OK	{leber2015}_{Leber2015.sbml}	copasi/models/leber2015/Leber2015.cps	False	4.3475579640807604e-06		0.00019064084085294712	
levchenko	2000	86	300	('levchenko', '2000', 86, 300)	levchenko2000	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/SolverStudyWork/Models/sedml/Levchenko2000a/sbml_models/Levchenko2000a.sbml		regrouped/levchenko2000/Levchenko2000a.sbml	0	500.0	1001		/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/Cache/trajectories_reference_biomodels/trajectories_copasi_strictest_levchenko2000a.tsv	amici/models/levchenko2000/Levchenko2000a	OK	{levchenko2000}_{Levchenko2000a.sbml}	copasi/models/levchenko2000/Levchenko2000a.cps	True	4.3945704869195755e-07	amici/models_final/levchenko2000/Levchenko2000a	4.3969434283436135e-07	copasi/models_final/levchenko2000/Levchenko2000a.cps
ouzounoglou	2014	90	136	('ouzounoglou', '2014', 90, 136)	ouzounoglou2014	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/SolverStudyWork/Models/sedml/Ouzounoglou2014/sbml_models/Ouzounoglou2014.sbml		regrouped/ouzounoglou2014/Ouzounoglou2014.sbml	0	600000.0	51		/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/Cache/trajectories_reference_biomodels/trajectories_copasi_strictest_ouzounoglou2014.tsv	amici/models/ouzounoglou2014/Ouzounoglou2014	OK	{ouzounoglou2014}_{Ouzounoglou2014.sbml}	copasi/models/ouzounoglou2014/Ouzounoglou2014.cps	True	4.314972446714188e-06	amici/models_final/ouzounoglou2014/Ouzounoglou2014	4.3453062639941915e-06	copasi/models_final/ouzounoglou2014/Ouzounoglou2014.cps
pathak	2013	57	86	('pathak', '2013', 57, 86)	pathak2013	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/SolverStudyWork/Models/sedml/Pathak2013/sbml_models/Pathak2013.sbml		regrouped/pathak2013/Pathak2013.sbml	0	150.0	51		/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/Cache/trajectories_reference_biomodels/trajectories_copasi_strictest_pathak2013.tsv	amici/models/pathak2013/Pathak2013	OK	{pathak2013}_{Pathak2013.sbml}	copasi/models/pathak2013/Pathak2013.cps	True	2.3992799957319915e-06	amici/models_final/pathak2013/Pathak2013	2.4356166675886545e-06	copasi/models_final/pathak2013/Pathak2013.cps
pathak	2013	52	88	('pathak', '2013', 52, 88)	pathak2013a	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/SolverStudyWork/Models/sedml/Pathak2013a/sbml_models/Pathak2013a.sbml		regrouped/pathak2013a/Pathak2013a.sbml	0	120.0	51		/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/Cache/trajectories_reference_biomodels/trajectories_copasi_strictest_pathak2013a.tsv	amici/models/pathak2013a/Pathak2013a	OK	{pathak2013a}_{Pathak2013a.sbml}	copasi/models/pathak2013a/Pathak2013a.cps	True	2.4102620786320982e-06	amici/models_final/pathak2013a/Pathak2013a	2.4283618821895464e-06	copasi/models_final/pathak2013a/Pathak2013a.cps
