	median_intern	median_extern	failure	n_species	n_reactions	n_submodels	run_0	run_1	run_2	run_3	run_4	run_5	run_6	run_7	run_8	run_9	run_10	run_11	run_12	run_13	run_14	run_15	run_16	run_17	run_18	run_19	run_20	run_21	run_22	run_23	run_24
aguda1999	0.005792	0.2232496738433838	False	12.0	27.0	1.0	0.005792	0.006101	0.007726	0.004033	0.007593000000000002	0.007887	0.007049	0.006221	0.005794	0.006109000000000001	0.005503	0.005723	0.005677000000000001	0.006033	0.005369	0.005691	0.005723	0.006191	0.006093	0.006294	0.005311	0.00158	0.003917	0.005792	0.0053560000000000005
alexander2010	0.0010589999999999998	0.19823503494262693	False	5.0	12.0	3.0	0.0008280000000000001	0.0012733333333333331	0.0010453333333333332	0.0008730000000000001	0.0010833333333333333	0.0010883333333333333	0.0010890000000000001	0.0011256666666666663	0.0010526666666666668	0.001025	0.0010366666666666666	0.0010589999999999998	0.001032	0.001153	0.0008913333333333332	0.0010393333333333333	0.001052	0.0010423333333333337	0.0010333333333333334	0.0010866666666666666	0.001097	0.001141	0.0010896666666666663	0.0011220000000000002	0.001326
alsheihk2011	0.0013557999999999999	0.1926679134368897	False	5.0	10.0	10.0	0.0013479999999999998	0.0016225000000000002	0.0013519	0.0016458999999999998	0.0014059999999999995	0.0015283	0.0013195	0.0013877000000000002	0.0012917000000000002	0.0013755	0.0012040999999999998	0.001329	0.0013335	0.0013114999999999995	0.0014386000000000002	0.0011603	0.0012781	0.0014147	0.0012462999999999999	0.0014081	0.0013481	0.0013591	0.0013557999999999999	0.0013888	0.0013789000000000002
bachar2004	0.000989	0.1915225982666016	False	4.0	8.0	1.0	0.001027	0.000858	0.0012109999999999998	0.000972	0.0008789999999999999	0.000893	0.0010949999999999998	0.000903	0.001007	0.001077	0.000989	0.001427	0.000909	0.00095	0.000877	0.001022	0.00085	0.001255	0.001267	0.000867	0.000915	0.001062	0.000685	0.001276	0.001218
bachmann2011	0.0088655	0.24785852432250974	False	26.0	36.0	2.0	0.0090435	0.0088375	0.0092615	0.009008000000000002	0.0093015	0.009541	0.0093835	0.0102315	0.008601000000000001	0.0087075	0.008462	0.008796499999999999	0.007434	0.008255499999999999	0.0083155	0.0090565	0.0088655	0.009028	0.0090475	0.0092935	0.0085495	0.008999	0.008531	0.008420500000000001	0.0080865
bai2003	0.004635	0.204556941986084	False	6.0	12.0	1.0	0.005236	0.004713	0.004635	0.0071579999999999986	0.00455	0.004772	0.004661	0.004508	0.004501	0.005307	0.0045590000000000006	0.004879	0.004512	0.004357	0.004674	0.004456	0.00444	0.004558	0.004453	0.0048270000000000006	0.004684000000000001	0.004435000000000001	0.004947999999999999	0.004479	0.0047810000000000005
balagadde2008	0.0012599999999999998	0.1963064670562744	False	7.0	8.0	2.0	0.0009310000000000001	0.0013265	0.0013055000000000002	0.001266	0.0012690000000000002	0.0012245	0.0012599999999999998	0.0009735	0.001215	0.0024725000000000003	0.0011835	0.001256	0.0012109999999999998	0.001255	0.0012285	0.0011765	0.0012425	0.001318	0.0014	0.0016815000000000005	0.0015815	0.000771	0.0013050000000000002	0.0016465	0.0013385
band2012a	0.000465	0.18397927284240725	False	1.0	3.0	2.0	0.0004415000000000001	0.0005740000000000001	0.000463	0.00046550000000000004	0.0004894999999999999	0.00048049999999999997	0.0005115	0.000465	0.000493	0.0004570000000000001	0.000266	0.00043499999999999995	0.0004894999999999999	0.0004750000000000001	0.00045149999999999997	0.000468	0.0005755000000000001	0.0002595	0.00045599999999999997	0.00044349999999999994	0.0004475	0.000465	0.0004345	0.000391	0.000471
becker2010	0.000909	0.1914823055267334	False	6.0	8.0	2.0	0.0011380000000000001	0.0008994999999999999	0.000922	0.0008759999999999999	0.0009645	0.0004515	0.0009689999999999999	0.0009369999999999999	0.000981	0.000867	0.000904	0.000909	0.000893	0.0007235000000000001	0.0010325	0.0014565	0.0008045000000000001	0.0009625	0.0009199999999999999	0.0008675000000000001	0.0009345000000000001	0.0008060000000000001	0.001046	0.0008979999999999998	0.0008895
beuke2017	0.02441973333333334	0.2909855922063192	False	33.0	57.0	30.0	0.024325866666666668	0.024105733333333327	0.02490986666666667	0.02449643333333333	0.0251745	0.02452313333333334	0.02487616666666666	0.0248291	0.02441973333333334	0.02362323333333333	0.024180133333333333	0.02399343333333333	0.02446256666666666	0.0243216	0.02424406666666666	0.0242292	0.02370740000000001	0.02443903333333334	0.024134033333333336	0.0248059	0.024717733333333332	0.02435976666666666	0.02479540000000001	0.0244043	0.025018266666666674
