	"median_intern"	"median_extern"	"failure"	"n_species"	"n_reactions"	"n_submodels"	"run_0"	"run_1"	"run_2"	"run_3"	"run_4"	"run_5"	"run_6"	"run_7"	"run_8"	"run_9"	"run_10"	"run_11"	"run_12"	"run_13"	"run_14"	"run_15"	"run_16"	"run_17"	"run_18"	"run_19"	"run_20"	"run_21"	"run_22"	"run_23"	"run_24"
"aguda1999"	"0.007614"	"0.227078914642334"	"False"	"12.0"	"27.0"	"1.0"	"0.0077909999999999984"	"0.007585"	"0.003544"	"0.007614"	"0.0064930000000000005"	"0.008329999999999999"	"0.007210999999999999"	"0.009777"	"0.006564"	"0.0077230000000000016"	"0.006633"	"0.002916"	"0.006243"	"0.007365999999999998"	"0.007504999999999999"	"0.009648"	"0.007888"	"0.007704000000000002"	"0.007126"	"0.007943"	"0.007243"	"0.007897"	"0.008138"	"0.008829"	"0.008054"
"alexander2010"	"nan"	"nan"	"True"	"5.0"	"12.0"	"3.0"	"nan"	"nan"	"nan"	"nan"	"nan"	"nan"	"nan"	"nan"	"nan"	"nan"	"nan"	"nan"	"nan"	"nan"	"nan"	"nan"	"nan"	"nan"	"nan"	"nan"	"nan"	"nan"	"nan"	"nan"	"nan"
"alsheihk2011"	"0.001556"	"0.1919248580932617"	"False"	"5.0"	"10.0"	"10.0"	"0.0015902999999999998"	"0.0014318"	"0.0013578"	"0.0015155"	"0.0016400999999999998"	"0.0015117000000000002"	"0.0015167"	"0.0015859000000000001"	"0.0014869000000000002"	"0.0016131999999999993"	"0.0011892"	"0.0014826000000000002"	"0.0015114"	"0.0014880999999999998"	"0.0016425"	"0.0016237000000000003"	"0.0015459999999999998"	"0.001556"	"0.0015302"	"0.0016"	"0.0016981"	"0.0015625"	"0.0016171000000000002"	"0.0018941"	"0.0016695000000000002"
"bachar2004"	0.001	"0.18674516677856445"	"False"	"4.0"	"8.0"	"1.0"	"0.00097"	"0.001169"	"0.00103"	"0.001113"	"0.001037"	"0.000986"	"0.000924"	"0.000989"	"2.7e-05"	0.001	"0.000928"	"0.0008640000000000001"	"0.000921"	"0.001446"	"0.001044"	"0.0008529999999999999"	"0.000985"	"0.001084"	"0.000992"	"0.001072"	"0.001126"	"0.001085"	"0.001112"	"0.001124"	"0.000971"
"bachmann2011"	"0.0094265"	"0.24800515174865725"	"False"	"26.0"	"36.0"	"2.0"	"0.0073939999999999995"	"0.009002"	"0.0103805"	"0.0090365"	"0.0092725"	"0.009309"	"0.009229"	"0.007851"	"0.009345000000000001"	"0.0092545"	"0.009659"	"0.01059"	"0.0095785"	"0.009176"	"0.009464499999999999"	"0.009526"	"0.0096935"	"0.010395"	"0.007378"	"0.0099625"	"0.0097625"	"0.010221"	"0.0087495"	"0.00948"	"0.0094265"
"bai2003"	"0.005716"	"0.20281004905700686"	"False"	"6.0"	"12.0"	"1.0"	"0.005667"	"0.006055"	"0.005511"	"0.005502"	"0.005443"	"0.00588"	"0.005618"	"0.005465"	"0.006532"	"0.005568"	"0.006174"	"0.005975"	"0.005629"	"0.005707"	"0.006097999999999999"	"0.007375"	"0.006423999999999999"	"0.0058590000000000005"	"0.006093"	"0.005573"	"0.006171"	"0.005661"	"0.005978"	"0.005716"	"0.005579"
"balagadde2008"	"0.0013855"	"0.19392991065979004"	"False"	"7.0"	"8.0"	"2.0"	"0.0013644999999999998"	"0.001428"	"0.0015155"	"0.0013905"	"0.0013585000000000001"	"0.001383"	"0.0013935"	"0.0010860000000000002"	"0.0013805"	"0.0013449999999999998"	"0.0013855"	"0.001395"	"0.0013595"	"0.0016120000000000002"	"0.0013809999999999998"	"0.001419"	"0.0015695"	"0.001376"	"0.00134"	"0.001356"	"0.0013800000000000002"	"0.001491"	"0.0014895"	"0.0014175000000000001"	"0.0014135"
"band2012a"	"0.0004415"	"0.18416380882263186"	"False"	"1.0"	"3.0"	"2.0"	"0.000468"	"0.00045099999999999996"	"0.0004445"	"0.0005070000000000001"	"0.0004415"	"0.0004485"	"0.00045"	"0.0002345"	"0.000442"	"0.0004425"	"0.000251"	"0.000433"	"0.0004195000000000001"	"0.000434"	"0.0004315"	"0.00043"	"0.0003735"	"0.00043949999999999995"	"0.000379"	"0.000444"	"0.0005015"	"0.000425"	"0.00044249999999999997"	"0.0004575"	"0.00044"
"becker2010"	"0.0009445"	"0.1887955665588379"	"False"	"6.0"	"8.0"	"2.0"	"0.001001"	"0.000964"	"0.00093"	"0.0009445"	"0.0009865"	"0.000897"	"0.0008845000000000002"	"0.0009544999999999999"	"0.0009095000000000002"	"0.0010355"	"0.0009484999999999999"	"0.0009225"	"0.001025"	"0.0009544999999999999"	"0.00088"	"0.000414"	"0.000916"	"0.0009295"	"0.0009289999999999999"	"0.0009404999999999999"	"0.0009715"	"0.0009765"	"0.0010475"	"0.0010625"	"0.000848"
"beuke2017"	"0.0201851"	"0.2866613705952962"	"False"	"33.0"	"57.0"	"30.0"	"0.02060643333333333"	"0.020496633333333337"	"0.01966126666666667"	"0.01971449999999999"	"0.01954483333333333"	"0.019568433333333336"	"0.01991946666666667"	"0.02010820000000001"	"0.02041463333333333"	"0.0204975"	"0.0201851"	"0.020441133333333337"	"0.020259400000000004"	"0.0203081"	"0.0202814"	"0.01991736666666666"	"0.019818433333333337"	"0.019829900000000008"	"0.019353899999999997"	"0.01993586666666667"	"0.020150966666666662"	"0.0209055"	"0.020391033333333333"	"0.020882366666666676"	"0.020451"
